# group	order	row-major I(i,j) = index of g_j * g_i^-1, 1-based
Z12sZ2	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 3 1 2 6 4 5 9 7 8 12 10 11 14 15 13 17 18 16 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 11 12 10 15 13 14 18 16 17 21 19 20 24 22 23 4 5 6 1 2 3 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 6 4 5 3 1 2 12 10 11 9 7 8 17 18 16 14 15 13 23 24 22 20 21 19 5 6 4 2 3 1 11 12 10 8 9 7 18 16 17 15 13 14 24 22 23 21 19 20 10 11 12 7 8 9 1 2 3 4 5 6 22 23 24 19 20 21 13 14 15 16 17 18 12 10 11 9 7 8 3 1 2 6 4 5 23 24 22 20 21 19 14 15 13 17 18 16 11 12 10 8 9 7 2 3 1 5 6 4 24 22 23 21 19 20 15 13 14 18 16 17 7 8 9 10 11 12 4 5 6 1 2 3 19 20 21 22 23 24 16 17 18 13 14 15 9 7 8 12 10 11 6 4 5 3 1 2 20 21 19 23 24 22 17 18 16 14 15 13 8 9 7 11 12 10 5 6 4 2 3 1 21 19 20 24 22 23 18 16 17 15 13 14 13 14 15 16 17 18 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 14 15 13 17 18 16 20 21 19 23 24 22 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 2 3 1 5 6 4 8 9 7 11 12 10 16 17 18 13 14 15 22 23 24 19 20 21 4 5 6 1 2 3 10 11 12 7 8 9 17 18 16 14 15 13 23 24 22 20 21 19 6 4 5 3 1 2 12 10 11 9 7 8 18 16 17 15 13 14 24 22 23 21 19 20 5 6 4 2 3 1 11 12 10 8 9 7 22 23 24 19 20 21 13 14 15 16 17 18 10 11 12 7 8 9 1 2 3 4 5 6 23 24 22 20 21 19 14 15 13 17 18 16 12 10 11 9 7 8 3 1 2 6 4 5 24 22 23 21 19 20 15 13 14 18 16 17 11 12 10 8 9 7 2 3 1 5 6 4 19 20 21 22 23 24 16 17 18 13 14 15 7 8 9 10 11 12 4 5 6 1 2 3 20 21 19 23 24 22 17 18 16 14 15 13 9 7 8 12 10 11 6 4 5 3 1 2 21 19 20 24 22 23 18 16 17 15 13 14 8 9 7 11 12 10 5 6 4 2 3 1
Z13	13	1 2 3 4 5 6 7 8 9 10 11 12 13 13 1 2 3 4 5 6 7 8 9 10 11 12 12 13 1 2 3 4 5 6 7 8 9 10 11 11 12 13 1 2 3 4 5 6 7 8 9 10 10 11 12 13 1 2 3 4 5 6 7 8 9 9 10 11 12 13 1 2 3 4 5 6 7 8 8 9 10 11 12 13 1 2 3 4 5 6 7 7 8 9 10 11 12 13 1 2 3 4 5 6 6 7 8 9 10 11 12 13 1 2 3 4 5 5 6 7 8 9 10 11 12 13 1 2 3 4 4 5 6 7 8 9 10 11 12 13 1 2 3 3 4 5 6 7 8 9 10 11 12 13 1 2 2 3 4 5 6 7 8 9 10 11 12 13 1
Z16	16	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 4 3 1 2 8 7 5 6 12 11 9 10 16 15 13 14 3 4 2 1 7 8 6 5 11 12 10 9 15 16 14 13 8 7 5 6 1 2 3 4 16 15 13 14 9 10 11 12 7 8 6 5 2 1 4 3 15 16 14 13 10 9 12 11 6 5 8 7 4 3 1 2 14 13 16 15 12 11 9 10 5 6 7 8 3 4 2 1 13 14 15 16 11 12 10 9 16 15 13 14 9 10 11 12 1 2 3 4 5 6 7 8 15 16 14 13 10 9 12 11 2 1 4 3 6 5 8 7 14 13 16 15 12 11 9 10 4 3 1 2 8 7 5 6 13 14 15 16 11 12 10 9 3 4 2 1 7 8 6 5 12 11 9 10 16 15 13 14 8 7 5 6 1 2 3 4 11 12 10 9 15 16 14 13 7 8 6 5 2 1 4 3 10 9 12 11 14 13 16 15 6 5 8 7 4 3 1 2 9 10 11 12 13 14 15 16 5 6 7 8 3 4 2 1
Z17	17	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 15 16 17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 1 2 3 4 5 6 7 8 9 10 11 12 13 13 14 15 16 17 1 2 3 4 5 6 7 8 9 10 11 12 12 13 14 15 16 17 1 2 3 4 5 6 7 8 9 10 11 11 12 13 14 15 16 17 1 2 3 4 5 6 7 8 9 10 10 11 12 13 14 15 16 17 1 2 3 4 5 6 7 8 9 9 10 11 12 13 14 15 16 17 1 2 3 4 5 6 7 8 8 9 10 11 12 13 14 15 16 17 1 2 3 4 5 6 7 7 8 9 10 11 12 13 14 15 16 17 1 2 3 4 5 6 6 7 8 9 10 11 12 13 14 15 16 17 1 2 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 1 2 3 4 4 5 6 7 8 9 10 11 12 13 14 15 16 17 1 2 3 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 1 2 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 1
Z19	19	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 18 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 17 18 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 18 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 15 16 17 18 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 1 2 3 4 5 6 7 8 9 10 11 12 13 13 14 15 16 17 18 19 1 2 3 4 5 6 7 8 9 10 11 12 12 13 14 15 16 17 18 19 1 2 3 4 5 6 7 8 9 10 11 11 12 13 14 15 16 17 18 19 1 2 3 4 5 6 7 8 9 10 10 11 12 13 14 15 16 17 18 19 1 2 3 4 5 6 7 8 9 9 10 11 12 13 14 15 16 17 18 19 1 2 3 4 5 6 7 8 8 9 10 11 12 13 14 15 16 17 18 19 1 2 3 4 5 6 7 7 8 9 10 11 12 13 14 15 16 17 18 19 1 2 3 4 5 6 6 7 8 9 10 11 12 13 14 15 16 17 18 19 1 2 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 1 2 3 4 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 1 2 3 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 1 2 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 1
Z23	23	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 12 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 11 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 10 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 9 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 8 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 7 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 6 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 4 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 3 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1 2 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 1
Z25	25	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 5 1 2 3 4 10 6 7 8 9 15 11 12 13 14 20 16 17 18 19 25 21 22 23 24 4 5 1 2 3 9 10 6 7 8 14 15 11 12 13 19 20 16 17 18 24 25 21 22 23 3 4 5 1 2 8 9 10 6 7 13 14 15 11 12 18 19 20 16 17 23 24 25 21 22 2 3 4 5 1 7 8 9 10 6 12 13 14 15 11 17 18 19 20 16 22 23 24 25 21 25 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 24 25 21 22 23 5 1 2 3 4 10 6 7 8 9 15 11 12 13 14 20 16 17 18 19 23 24 25 21 22 4 5 1 2 3 9 10 6 7 8 14 15 11 12 13 19 20 16 17 18 22 23 24 25 21 3 4 5 1 2 8 9 10 6 7 13 14 15 11 12 18 19 20 16 17 21 22 23 24 25 2 3 4 5 1 7 8 9 10 6 12 13 14 15 11 17 18 19 20 16 20 16 17 18 19 25 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 19 20 16 17 18 24 25 21 22 23 5 1 2 3 4 10 6 7 8 9 15 11 12 13 14 18 19 20 16 17 23 24 25 21 22 4 5 1 2 3 9 10 6 7 8 14 15 11 12 13 17 18 19 20 16 22 23 24 25 21 3 4 5 1 2 8 9 10 6 7 13 14 15 11 12 16 17 18 19 20 21 22 23 24 25 2 3 4 5 1 7 8 9 10 6 12 13 14 15 11 15 11 12 13 14 20 16 17 18 19 25 21 22 23 24 1 2 3 4 5 6 7 8 9 10 14 15 11 12 13 19 20 16 17 18 24 25 21 22 23 5 1 2 3 4 10 6 7 8 9 13 14 15 11 12 18 19 20 16 17 23 24 25 21 22 4 5 1 2 3 9 10 6 7 8 12 13 14 15 11 17 18 19 20 16 22 23 24 25 21 3 4 5 1 2 8 9 10 6 7 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 2 3 4 5 1 7 8 9 10 6 10 6 7 8 9 15 11 12 13 14 20 16 17 18 19 25 21 22 23 24 1 2 3 4 5 9 10 6 7 8 14 15 11 12 13 19 20 16 17 18 24 25 21 22 23 5 1 2 3 4 8 9 10 6 7 13 14 15 11 12 18 19 20 16 17 23 24 25 21 22 4 5 1 2 3 7 8 9 10 6 12 13 14 15 11 17 18 19 20 16 22 23 24 25 21 3 4 5 1 2 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 2 3 4 5 1
Z27	27	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 9 7 8 1 2 3 4 5 6 18 16 17 10 11 12 13 14 15 27 25 26 19 20 21 22 23 24 8 9 7 3 1 2 6 4 5 17 18 16 12 10 11 15 13 14 26 27 25 21 19 20 24 22 23 7 8 9 2 3 1 5 6 4 16 17 18 11 12 10 14 15 13 25 26 27 20 21 19 23 24 22 6 4 5 9 7 8 1 2 3 15 13 14 18 16 17 10 11 12 24 22 23 27 25 26 19 20 21 5 6 4 8 9 7 3 1 2 14 15 13 17 18 16 12 10 11 23 24 22 26 27 25 21 19 20 4 5 6 7 8 9 2 3 1 13 14 15 16 17 18 11 12 10 22 23 24 25 26 27 20 21 19 27 25 26 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 26 27 25 21 19 20 24 22 23 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 25 26 27 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 24 22 23 27 25 26 19 20 21 9 7 8 1 2 3 4 5 6 18 16 17 10 11 12 13 14 15 23 24 22 26 27 25 21 19 20 8 9 7 3 1 2 6 4 5 17 18 16 12 10 11 15 13 14 22 23 24 25 26 27 20 21 19 7 8 9 2 3 1 5 6 4 16 17 18 11 12 10 14 15 13 21 19 20 24 22 23 27 25 26 6 4 5 9 7 8 1 2 3 15 13 14 18 16 17 10 11 12 20 21 19 23 24 22 26 27 25 5 6 4 8 9 7 3 1 2 14 15 13 17 18 16 12 10 11 19 20 21 22 23 24 25 26 27 4 5 6 7 8 9 2 3 1 13 14 15 16 17 18 11 12 10 18 16 17 10 11 12 13 14 15 27 25 26 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 17 18 16 12 10 11 15 13 14 26 27 25 21 19 20 24 22 23 3 1 2 6 4 5 9 7 8 16 17 18 11 12 10 14 15 13 25 26 27 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 15 13 14 18 16 17 10 11 12 24 22 23 27 25 26 19 20 21 9 7 8 1 2 3 4 5 6 14 15 13 17 18 16 12 10 11 23 24 22 26 27 25 21 19 20 8 9 7 3 1 2 6 4 5 13 14 15 16 17 18 11 12 10 22 23 24 25 26 27 20 21 19 7 8 9 2 3 1 5 6 4 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 6 4 5 9 7 8 1 2 3 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 5 6 4 8 9 7 3 1 2 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 4 5 6 7 8 9 2 3 1
Z29	29	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 12 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 11 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 10 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 9 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 8 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 7 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 6 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 4 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 3 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1 2 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 1
Z2xA4	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 2 1 4 3 7 8 5 6 12 11 10 9 14 13 16 15 19 20 17 18 24 23 22 21 3 4 1 2 8 7 6 5 10 9 12 11 15 16 13 14 20 19 18 17 22 21 24 23 4 3 2 1 6 5 8 7 11 12 9 10 16 15 14 13 18 17 20 19 23 24 21 22 9 10 11 12 1 2 3 4 5 6 7 8 21 22 23 24 13 14 15 16 17 18 19 20 12 11 10 9 2 1 4 3 7 8 5 6 24 23 22 21 14 13 16 15 19 20 17 18 10 9 12 11 3 4 1 2 8 7 6 5 22 21 24 23 15 16 13 14 20 19 18 17 11 12 9 10 4 3 2 1 6 5 8 7 23 24 21 22 16 15 14 13 18 17 20 19 5 6 7 8 9 10 11 12 1 2 3 4 17 18 19 20 21 22 23 24 13 14 15 16 7 8 5 6 12 11 10 9 2 1 4 3 19 20 17 18 24 23 22 21 14 13 16 15 8 7 6 5 10 9 12 11 3 4 1 2 20 19 18 17 22 21 24 23 15 16 13 14 6 5 8 7 11 12 9 10 4 3 2 1 18 17 20 19 23 24 21 22 16 15 14 13 13 14 15 16 17 18 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 14 13 16 15 19 20 17 18 24 23 22 21 2 1 4 3 7 8 5 6 12 11 10 9 15 16 13 14 20 19 18 17 22 21 24 23 3 4 1 2 8 7 6 5 10 9 12 11 16 15 14 13 18 17 20 19 23 24 21 22 4 3 2 1 6 5 8 7 11 12 9 10 21 22 23 24 13 14 15 16 17 18 19 20 9 10 11 12 1 2 3 4 5 6 7 8 24 23 22 21 14 13 16 15 19 20 17 18 12 11 10 9 2 1 4 3 7 8 5 6 22 21 24 23 15 16 13 14 20 19 18 17 10 9 12 11 3 4 1 2 8 7 6 5 23 24 21 22 16 15 14 13 18 17 20 19 11 12 9 10 4 3 2 1 6 5 8 7 17 18 19 20 21 22 23 24 13 14 15 16 5 6 7 8 9 10 11 12 1 2 3 4 19 20 17 18 24 23 22 21 14 13 16 15 7 8 5 6 12 11 10 9 2 1 4 3 20 19 18 17 22 21 24 23 15 16 13 14 8 7 6 5 10 9 12 11 3 4 1 2 18 17 20 19 23 24 21 22 16 15 14 13 6 5 8 7 11 12 9 10 4 3 2 1
Z2xD4oZ4	32	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 10 9 12 11 14 13 16 15 1 2 3 4 5 6 7 8 26 25 28 27 30 29 32 31 17 18 19 20 21 22 23 24 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 25 26 27 28 29 30 31 32 18 17 20 19 22 21 24 23 12 11 10 9 16 15 14 13 3 4 1 2 7 8 5 6 28 27 26 25 32 31 30 29 19 20 17 18 23 24 21 22 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 27 28 25 26 31 32 29 30 20 19 18 17 24 23 22 21 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 26 25 28 27 30 29 32 31 17 18 19 20 21 22 23 24 10 9 12 11 14 13 16 15 1 2 3 4 5 6 7 8 25 26 27 28 29 30 31 32 18 17 20 19 22 21 24 23 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 28 27 26 25 32 31 30 29 19 20 17 18 23 24 21 22 12 11 10 9 16 15 14 13 3 4 1 2 7 8 5 6 27 28 25 26 31 32 29 30 20 19 18 17 24 23 22 21 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1
