# Created by Octave 5.2.0, Thu Sep 16 00:12:35 2021 CEST <x@x-gama770>
# name: F_norm
# type: scalar
1.0778566085026447e-14


# name: H
# type: complex matrix
# rows: 15
# columns: 15
 (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0)
 (1,0) (-0.41484180160379891,0.9098935540172346) (-0.41484180160379891,-0.9098935540172346) (0.44003182896748833,0.89798217660236834) (0.44003182896748833,-0.89798217660236834) (-0.96592187009563613,-0.25883380936606637) (-0.96592187009563613,0.25883380936606637) (-0.99950953190417458,-0.031316060299752577) (-0.99950953190417458,0.031316060299752577) (0.860188770942789,0.5099757625063509) (0.860188770942789,-0.5099757625063509) (0.14153611284497564,-0.98993309307282695) (0.14153611284497564,0.98993309307282695) (0.43851649084835648,0.89872314271640041) (0.43851649084835648,-0.89872314271640041)
 (1,0) (-0.41484180160379891,-0.9098935540172346) (-0.41484180160379891,0.9098935540172346) (0.44003182896748833,-0.89798217660236834) (0.44003182896748833,0.89798217660236834) (-0.96592187009563613,0.25883380936606637) (-0.96592187009563613,-0.25883380936606637) (-0.99950953190417458,0.031316060299752577) (-0.99950953190417458,-0.031316060299752577) (0.860188770942789,-0.5099757625063509) (0.860188770942789,0.5099757625063509) (0.14153611284497564,0.98993309307282695) (0.14153611284497564,-0.98993309307282695) (0.43851649084835648,-0.89872314271640041) (0.43851649084835648,0.89872314271640041)
 (1,0) (0.43851649084835648,0.89872314271640041) (0.43851649084835648,-0.89872314271640041) (-0.41484180160379891,0.9098935540172346) (-0.41484180160379891,-0.9098935540172346) (0.44003182896748833,0.89798217660236834) (0.44003182896748833,-0.89798217660236834) (-0.96592187009563613,-0.25883380936606637) (-0.96592187009563613,0.25883380936606637) (-0.99950953190417458,-0.031316060299752577) (-0.99950953190417458,0.031316060299752577) (0.860188770942789,0.5099757625063509) (0.860188770942789,-0.5099757625063509) (0.14153611284497564,-0.98993309307282695) (0.14153611284497564,0.98993309307282695)
 (1,0) (0.43851649084835648,-0.89872314271640041) (0.43851649084835648,0.89872314271640041) (-0.41484180160379891,-0.9098935540172346) (-0.41484180160379891,0.9098935540172346) (0.44003182896748833,-0.89798217660236834) (0.44003182896748833,0.89798217660236834) (-0.96592187009563613,0.25883380936606637) (-0.96592187009563613,-0.25883380936606637) (-0.99950953190417458,0.031316060299752577) (-0.99950953190417458,-0.031316060299752577) (0.860188770942789,-0.5099757625063509) (0.860188770942789,0.5099757625063509) (0.14153611284497564,0.98993309307282695) (0.14153611284497564,-0.98993309307282695)
 (1,0) (0.14153611284497564,-0.98993309307282695) (0.14153611284497564,0.98993309307282695) (0.43851649084835648,0.89872314271640041) (0.43851649084835648,-0.89872314271640041) (-0.41484180160379891,0.9098935540172346) (-0.41484180160379891,-0.9098935540172346) (0.44003182896748833,0.89798217660236834) (0.44003182896748833,-0.89798217660236834) (-0.96592187009563613,-0.25883380936606637) (-0.96592187009563613,0.25883380936606637) (-0.99950953190417458,-0.031316060299752577) (-0.99950953190417458,0.031316060299752577) (0.860188770942789,0.5099757625063509) (0.860188770942789,-0.5099757625063509)
 (1,0) (0.14153611284497564,0.98993309307282695) (0.14153611284497564,-0.98993309307282695) (0.43851649084835648,-0.89872314271640041) (0.43851649084835648,0.89872314271640041) (-0.41484180160379891,-0.9098935540172346) (-0.41484180160379891,0.9098935540172346) (0.44003182896748833,-0.89798217660236834) (0.44003182896748833,0.89798217660236834) (-0.96592187009563613,0.25883380936606637) (-0.96592187009563613,-0.25883380936606637) (-0.99950953190417458,0.031316060299752577) (-0.99950953190417458,-0.031316060299752577) (0.860188770942789,-0.5099757625063509) (0.860188770942789,0.5099757625063509)
 (1,0) (0.860188770942789,0.5099757625063509) (0.860188770942789,-0.5099757625063509) (0.14153611284497564,-0.98993309307282695) (0.14153611284497564,0.98993309307282695) (0.43851649084835648,0.89872314271640041) (0.43851649084835648,-0.89872314271640041) (-0.41484180160379891,0.9098935540172346) (-0.41484180160379891,-0.9098935540172346) (0.44003182896748833,0.89798217660236834) (0.44003182896748833,-0.89798217660236834) (-0.96592187009563613,-0.25883380936606637) (-0.96592187009563613,0.25883380936606637) (-0.99950953190417458,-0.031316060299752577) (-0.99950953190417458,0.031316060299752577)
 (1,0) (0.860188770942789,-0.5099757625063509) (0.860188770942789,0.5099757625063509) (0.14153611284497564,0.98993309307282695) (0.14153611284497564,-0.98993309307282695) (0.43851649084835648,-0.89872314271640041) (0.43851649084835648,0.89872314271640041) (-0.41484180160379891,-0.9098935540172346) (-0.41484180160379891,0.9098935540172346) (0.44003182896748833,-0.89798217660236834) (0.44003182896748833,0.89798217660236834) (-0.96592187009563613,0.25883380936606637) (-0.96592187009563613,-0.25883380936606637) (-0.99950953190417458,0.031316060299752577) (-0.99950953190417458,-0.031316060299752577)
 (1,0) (-0.99950953190417458,-0.031316060299752577) (-0.99950953190417458,0.031316060299752577) (0.860188770942789,0.5099757625063509) (0.860188770942789,-0.5099757625063509) (0.14153611284497564,-0.98993309307282695) (0.14153611284497564,0.98993309307282695) (0.43851649084835648,0.89872314271640041) (0.43851649084835648,-0.89872314271640041) (-0.41484180160379891,0.9098935540172346) (-0.41484180160379891,-0.9098935540172346) (0.44003182896748833,0.89798217660236834) (0.44003182896748833,-0.89798217660236834) (-0.96592187009563613,-0.25883380936606637) (-0.96592187009563613,0.25883380936606637)
