# Created by Octave 5.2.0, Fri Sep 17 14:10:09 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
3.1867849336602724e-13


# name: H
# type: complex matrix
# rows: 27
# columns: 27
 (1,0) (1,0) (1,-5.5511151231257827e-17) (1,-5.7245874707234634e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-8.3266726846886741e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-1.1102230246251565e-16) (0.99999999999999989,-1.1102230246251565e-16) (1.0000000000000002,-1.2325951644078309e-32) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,-5.2041704279304213e-17) (1.0000000000000002,-5.5511151231257839e-17) (1,0) (1,-1.1102230246251565e-16)
 (1,0) (-0.93001678204403904,-0.36751705418450054) (0.46343577381833717,-0.88613051157569345) (0.14674344887353385,-0.98917458530468672) (-0.42148893027316525,-0.90683354683049999) (0.60809143505989505,0.7938669955394273) (-0.85981558911662803,0.51060469319428192) (0.029971637793269577,0.99955074955101131) (0.81359756658739857,0.58142841317144722) (-0.63182978572054194,-0.77510716799442192) (-0.64237157481028306,0.76639334540153425) (-0.16188279663867822,-0.98680999191964114) (-0.86585285624395592,-0.50029874208734915) (0.8211124441625075,-0.57076646191018643) (0.075417422299720094,0.99715205079951041) (-0.42796181535151206,-0.90379681599408035) (-0.96932225831862751,0.24579332685830962) (0.7388978399859869,0.67381746939660625) (0.87677257522115504,-0.48090524153939546) (-0.037926258358154177,0.9992805406525973) (-0.88145828953689764,-0.47226188053524726) (-0.42284825462817993,0.90620050405961727) (-0.010419414147879752,-0.99994571643105568) (0.97684636327542307,0.2139420074589824) (0.93097981554511033,0.36507065487052442) (0.77021606187946789,0.637783049338005) (-0.98888777931326177,0.14866391601490259)
 (1,-2.7755575615628914e-17) (0.86504570584226648,0.50169306035050709) (0.84545865429761058,-0.53404088221153734) (0.71206534752322437,0.70211319661193472) (0.99041117556298941,-0.13815101635506497) (-0.5901725240940543,0.80727714683648433) (0.86256876524363812,0.5059398434854343) (0.40469659349598458,0.91445101958100861) (0.67408419970801092,-0.73865451444096242) (-0.085683479134920887,0.99632240836153951) (-0.98676206146474332,-0.16217470226224551) (-0.77492022966758733,-0.63205904601701124) (0.48866807686084324,-0.87246977635739753) (0.99784109916456121,0.065674506606906075) (-0.50873177944306414,-0.86092507024984288) (-0.93286565950908462,0.36022445962022559) (-0.51529980450382196,-0.85700998330143263) (0.80195113595495315,0.59738963461091577) (-0.92608573311576647,-0.37731315232766138) (-0.30937383882652347,-0.95094049648216039) (-0.62802095766032628,0.77819642555039092) (-0.88085164238384306,0.47339242084098715) (-0.83898366274290626,-0.54415660765123641) (-0.34703340416876077,0.93785276903735959) (-0.7394560258567181,-0.67320486170569871) (-0.34876601296142928,-0.93720983146944725) (0.77021606187946812,0.63778304933800523)
 (1,0) (-0.95071001084928619,0.31008140104003695) (0.31058361286698727,-0.95054606380674289) (-0.89467989796333303,-0.44670782417629712) (-0.34134004242516447,-0.93993987862904704) (0.99622385061628727,0.086821883550499135) (-0.56152849608417277,-0.82745739955930575) (0.18995999235132741,0.98179183196127817) (0.46866614785251953,0.88337536860447041) (-0.80459456263587747,0.59382454460621847) (-0.99579291951370275,-0.091632207473013427) (0.63755518035214509,0.77040469365531705) (0.86953578369044693,0.49386994328653017) (-0.7092917596459094,-0.70491503012661794) (0.64527543130293896,0.76395000998547646) (0.096616687757814623,0.9953216644114159) (0.25933474226728731,-0.96578749808286601) (-0.47380872211599206,-0.88062778450762758) (0.85092046120638654,-0.52529455422678195) (-0.26363427664879391,-0.96462270768205893) (0.49192194098960018,0.87063930761999409) (-0.91146001815905286,-0.41138866695316167) (0.93027956781947352,0.36685136731054863) (-0.99506629844148653,-0.09921220542837017) (-0.036490184278834159,0.99933401145527845) (-0.73945602585671821,-0.67320486170569849) (0.93097981554511045,0.36507065487052448)
 (1,0) (-0.99999654384843695,-0.002629123652973353) (0.20564112123215661,0.97862747215596979) (-0.99600884428564851,-0.089254591505238456) (0.33886764453496676,0.94083405523361308) (0.1938560061899649,-0.98102999386566936) (-0.68027007229140901,0.7329615465661482) (0.54037240963700417,-0.8414259675711806) (-0.055624450738690712,0.9984517617191232) (0.025393045249653245,-0.99967754463774483) (-0.30689026183048784,-0.95174490657613386) (0.43004812997041975,0.9028059624908038) (-0.51506680595813803,-0.85715003669140677) (0.89399506117849192,-0.44807681326806337) (0.32697944231182019,-0.94503145149008394) (0.053441962430110623,-0.99857095724421119) (-0.65849284979336697,-0.75258698286046055) (0.58751761618798926,-0.80921137576580504) (-0.9797093973482689,-0.20042329392436653) (0.7763376869488845,0.63031721840899613) (0.1480946962243333,0.98897318515226817) (-0.89982920542758404,0.43624236504443548) (-0.039838259515982632,0.99920614143365749) (0.97643520827704222,0.21581075978035169) (-0.99506629844148664,-0.099212205428370115) (-0.34703340416876072,0.93785276903735948) (0.97684636327542307,0.21394200745898245)
 (1,0) (-0.98711084767247603,-0.16003804050078119) (-0.26566057827867262,0.96406662484946815) (0.96230232075931788,-0.27198206459476804) (0.53230555265814616,0.84655230116591662) (-0.34835948448733223,0.93736101346691569) (0.52813719303787032,0.84915905773304945) (-0.87635896642293731,-0.48165855330318841) (0.82812492785977931,-0.56054357891000817) (0.66457823987621711,-0.74721868491294519) (0.87402254045513517,0.48588537617050465) (-0.77116271988922702,0.63663809142483119) (-0.13579014576778081,-0.99073762233619056) (-0.978721075651933,-0.20519516581713726) (0.68580606320115178,0.72778433871342785) (-0.94773386910745172,0.31906192713425441) (0.39904880314321062,0.91692968798592944) (-0.19382527344906114,-0.9810360662954255) (-0.089189097518068861,-0.99601471117846385) (0.024114349544611058,-0.99970920679267494) (-0.57498688656706931,-0.81816262458994637) (-0.99738489074807579,-0.072272952807067969) (0.62680561361194176,0.77917566873238542) (-0.039838259515982577,0.9992061414336576) (0.93027956781947385,0.36685136731054868) (-0.83898366274290659,-0.54415660765123652) (-0.010419414147879835,-0.99994571643105612)
 (1,0) (0.37718733406374566,-0.92613698501997244) (-0.79425411504608301,-0.60758571472045486) (-0.41376328753530678,0.91038450222308531) (0.76476543165987221,-0.64430880370990606) (-0.93368042842449761,-0.35810732689662583) (0.9856442693931512,-0.16883534645459297) (-0.54464174230935447,-0.8386688098017171) (0.90587842040728117,-0.42353782291598191) (0.29768065268085869,-0.95466550635261749) (-0.9907853852809575,0.13544120611417643) (0.93757794062971911,0.34777522229816193) (0.15513832884410778,0.98789275679268829) (0.74301629903329292,-0.6692733218729614) (0.98999236080549013,0.14112096069249475) (0.92744720542438275,0.37395411637058301) (0.53343628536942944,0.84584025055046097) (-0.94298671168978809,-0.33283037958768741) (0.77357870607415202,-0.63370023316126711) (0.040941362767226541,0.9991615509089421) (-0.86462572866992782,-0.50241650980236963) (0.16482681314994085,0.98632252416075128) (-0.99738489074807568,-0.072272952807067914) (-0.89982920542758393,0.43624236504443537) (-0.91146001815905275,-0.41138866695316156) (-0.88085164238384284,0.4733924208409872) (-0.42284825462817993,0.9062005040596175)
 (1,5.5511151231257827e-17) (0.060211833309738227,0.99818562158021529) (-0.41872412366899231,0.90811348864425179) (0.93458468277501705,0.35574073525858585) (-0.43053799427083739,-0.90257245442637102) (-0.217803272986268,-0.97599269171263137) (-0.56977663505739251,-0.82179960217967596) (0.80435326941041019,-0.59415134266345204) (-0.9241221095806158,0.38209727372002039) (-0.012951056680270023,0.99991613154847236) (0.53394954500818637,-0.84551634128829767) (0.74180180092739245,-0.67061918265202891) (-0.42824955715808155,0.90366050970146206) (0.36255108042259976,-0.93196390170671484) (0.3197738407472675,-0.94749390012482049) (-0.74033423013706701,0.67223896620722157) (0.2971011916788458,0.95484599905063638) (0.966420584778239,-0.25696547105961515) (0.56379165792156904,0.82591704574857294) (0.46693224303137043,-0.88429309644353282) (-0.99989752525082276,-0.014315690597388853) (-0.86462572866992804,-0.50241650980236985) (-0.57498688656706909,-0.81816262458994637) (0.14809469622433319,0.98897318515226829) (0.49192194098960018,0.8706393076199942) (-0.62802095766032617,0.77819642555039104) (-0.88145828953689798,-0.47226188053524748)
 (1,-1.3877787807814457e-17) (0.99333529707909318,-0.11526052046034783) (-0.99753455026385618,0.070177069117239727) (-0.99617780490148922,-0.087348617743191678) (0.53392441135704449,0.84553221284409497) (0.019800458779249408,0.99980395169859582) (-0.94813174688284296,-0.31787763455909535) (-0.4284088266291266,0.90358501385661061) (-0.8739223796221699,0.48606550422296441) (-0.99999560470065929,-0.0029648911210489737) (0.9761835638645211,0.21694619065739937) (0.99584520644228436,-0.091062202948983956) (0.76293551595504405,-0.6464745923038332) (-0.61053763302577957,-0.79198724652564656) (-0.98078705839590252,0.19508138323046639) (0.82044880921109808,-0.57171999393417283) (-0.093238658285156331,0.995643788009135) (-0.054120819457620171,-0.99853439445080494) (-0.31207224685722901,0.95005837333370335) (0.49506279787487589,-0.86885719549319296) (0.46693224303137026,-0.88429309644353271) (0.04094136276722652,0.99916155090894221) (0.024114349544611058,-0.99970920679267472) (0.77633768694888461,0.63031721840899613) (-0.26363427664879391,-0.96462270768205893) (-0.30937383882652358,-0.95094049648216017) (-0.037926258358154233,0.99928054065259753)
 (1,-1.3877787807814457e-17) (-0.33198058385131712,0.94328621952498826) (-0.9465544593689933,-0.32254403644878943) (0.99923549234963294,0.039095150962592404) (0.92658726889480447,-0.37607982280636709) (0.95049491694447852,0.31074010501174537) (-0.8289183955669176,0.55936955002106459) (-0.96751716164900559,-0.25280534392028231) (0.5188604058070263,0.85485898210510247) (0.3347758656341534,-0.94229778721426827) (-0.78838422094978955,-0.6151831598454176) (-0.99983526808362622,-0.018150391074108069) (-0.3846419355351699,0.92306585974553301) (-0.9753560012551542,-0.22063696611301437) (-0.69625275799050812,-0.71779669614077701) (0.77976107838678277,-0.62607720021821933) (0.78013034256472302,0.62561701432254113) (0.70042605354471976,0.71372497750588215) (-0.82883756545976883,0.55948931185745365) (-0.31207224685722901,0.95005837333370335) (0.56379165792156904,0.82591704574857294) (0.77357870607415213,-0.63370023316126711) (-0.089189097518068722,-0.99601471117846363) (-0.97970939734826878,-0.2004232939243667) (0.85092046120638654,-0.52529455422678195) (-0.92608573311576636,-0.37731315232766138) (0.87677257522115537,-0.48090524153939568)
