# Created by Octave 5.2.0, Tue Sep 14 15:52:11 2021 UTC <root@0x00>
# name: H
# type: complex matrix
# rows: 35
# columns: 35
 (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0)
 (1,0) (-0.3303512329265082,-0.94385807349618844) (-0.3303512329265082,0.94385807349618844) (0.99435554355931433,0.10609926009572337) (0.99435554355931433,-0.10609926009572337) (-0.63365330178620483,-0.77361714894089617) (-0.63365330178620483,0.77361714894089617) (-0.55273103841967419,0.83335970574986906) (-0.55273103841967419,-0.83335970574986906) (-0.60343236684126456,-0.79741418262302655) (-0.60343236684126456,0.79741418262302655) (0.16465799329966113,0.9863507212155973) (0.16465799329966113,-0.9863507212155973) (-0.46241279258411,0.88666476712146669) (-0.46241279258411,-0.88666476712146669) (-0.82436113106308195,-0.56606424157722246) (-0.82436113106308195,0.56606424157722246) (-0.77035694356556839,-0.6376128758896854) (-0.77035694356556839,0.6376128758896854) (0.86058272693208182,0.5093106813195083) (0.86058272693208182,-0.5093106813195083) (0.73523759686764756,0.67780946891607119) (0.73523759686764756,-0.67780946891607119) (0.33765649003918002,0.94126940603337439) (0.33765649003918002,-0.94126940603337439) (0.027938906702680143,0.99960963255275759) (0.027938906702680143,-0.99960963255275759) (0.99847179871149216,0.055263615316383151) (0.99847179871149216,-0.055263615316383151) (-0.99269528668404639,-0.12064853001706613) (-0.99269528668404639,0.12064853001706613) (-0.4444522213152643,0.89580255802711739) (-0.4444522213152643,-0.89580255802711739) (0.99554525907366553,-0.094284872253975291) (0.99554525907366553,0.094284872253975291)
 (1,0) (-0.3303512329265082,0.94385807349618844) (-0.3303512329265082,-0.94385807349618844) (0.99435554355931433,-0.10609926009572337) (0.99435554355931433,0.10609926009572337) (-0.63365330178620483,0.77361714894089617) (-0.63365330178620483,-0.77361714894089617) (-0.55273103841967419,-0.83335970574986906) (-0.55273103841967419,0.83335970574986906) (-0.60343236684126456,0.79741418262302655) (-0.60343236684126456,-0.79741418262302655) (0.16465799329966113,-0.9863507212155973) (0.16465799329966113,0.9863507212155973) (-0.46241279258411,-0.88666476712146669) (-0.46241279258411,0.88666476712146669) (-0.82436113106308195,0.56606424157722246) (-0.82436113106308195,-0.56606424157722246) (-0.77035694356556839,0.6376128758896854) (-0.77035694356556839,-0.6376128758896854) (0.86058272693208182,-0.5093106813195083) (0.86058272693208182,0.5093106813195083) (0.73523759686764756,-0.67780946891607119) (0.73523759686764756,0.67780946891607119) (0.33765649003918002,-0.94126940603337439) (0.33765649003918002,0.94126940603337439) (0.027938906702680143,-0.99960963255275759) (0.027938906702680143,0.99960963255275759) (0.99847179871149216,-0.055263615316383151) (0.99847179871149216,0.055263615316383151) (-0.99269528668404639,0.12064853001706613) (-0.99269528668404639,-0.12064853001706613) (-0.4444522213152643,-0.89580255802711739) (-0.4444522213152643,0.89580255802711739) (0.99554525907366553,0.094284872253975291) (0.99554525907366553,-0.094284872253975291)
 (1,0) (0.99554525907366553,-0.094284872253975291) (0.99554525907366553,0.094284872253975291) (-0.3303512329265082,-0.94385807349618844) (-0.3303512329265082,0.94385807349618844) (0.99435554355931433,0.10609926009572337) (0.99435554355931433,-0.10609926009572337) (-0.63365330178620483,-0.77361714894089617) (-0.63365330178620483,0.77361714894089617) (-0.55273103841967419,0.83335970574986906) (-0.55273103841967419,-0.83335970574986906) (-0.60343236684126456,-0.79741418262302655) (-0.60343236684126456,0.79741418262302655) (0.16465799329966113,0.9863507212155973) (0.16465799329966113,-0.9863507212155973) (-0.46241279258411,0.88666476712146669) (-0.46241279258411,-0.88666476712146669) (-0.82436113106308195,-0.56606424157722246) (-0.82436113106308195,0.56606424157722246) (-0.77035694356556839,-0.6376128758896854) (-0.77035694356556839,0.6376128758896854) (0.86058272693208182,0.5093106813195083) (0.86058272693208182,-0.5093106813195083) (0.73523759686764756,0.67780946891607119) (0.73523759686764756,-0.67780946891607119) (0.33765649003918002,0.94126940603337439) (0.33765649003918002,-0.94126940603337439) (0.027938906702680143,0.99960963255275759) (0.027938906702680143,-0.99960963255275759) (0.99847179871149216,0.055263615316383151) (0.99847179871149216,-0.055263615316383151) (-0.99269528668404639,-0.12064853001706613) (-0.99269528668404639,0.12064853001706613) (-0.4444522213152643,0.89580255802711739) (-0.4444522213152643,-0.89580255802711739)
 (1,0) (0.99554525907366553,0.094284872253975291) (0.99554525907366553,-0.094284872253975291) (-0.3303512329265082,0.94385807349618844) (-0.3303512329265082,-0.94385807349618844) (0.99435554355931433,-0.10609926009572337) (0.99435554355931433,0.10609926009572337) (-0.63365330178620483,0.77361714894089617) (-0.63365330178620483,-0.77361714894089617) (-0.55273103841967419,-0.83335970574986906) (-0.55273103841967419,0.83335970574986906) (-0.60343236684126456,0.79741418262302655) (-0.60343236684126456,-0.79741418262302655) (0.16465799329966113,-0.9863507212155973) (0.16465799329966113,0.9863507212155973) (-0.46241279258411,-0.88666476712146669) (-0.46241279258411,0.88666476712146669) (-0.82436113106308195,0.56606424157722246) (-0.82436113106308195,-0.56606424157722246) (-0.77035694356556839,0.6376128758896854) (-0.77035694356556839,-0.6376128758896854) (0.86058272693208182,-0.5093106813195083) (0.86058272693208182,0.5093106813195083) (0.73523759686764756,-0.67780946891607119) (0.73523759686764756,0.67780946891607119) (0.33765649003918002,-0.94126940603337439) (0.33765649003918002,0.94126940603337439) (0.027938906702680143,-0.99960963255275759) (0.027938906702680143,0.99960963255275759) (0.99847179871149216,-0.055263615316383151) (0.99847179871149216,0.055263615316383151) (-0.99269528668404639,0.12064853001706613) (-0.99269528668404639,-0.12064853001706613) (-0.4444522213152643,-0.89580255802711739) (-0.4444522213152643,0.89580255802711739)
 (1,0) (-0.4444522213152643,0.89580255802711739) (-0.4444522213152643,-0.89580255802711739) (0.99554525907366553,-0.094284872253975291) (0.99554525907366553,0.094284872253975291) (-0.3303512329265082,-0.94385807349618844) (-0.3303512329265082,0.94385807349618844) (0.99435554355931433,0.10609926009572337) (0.99435554355931433,-0.10609926009572337) (-0.63365330178620483,-0.77361714894089617) (-0.63365330178620483,0.77361714894089617) (-0.55273103841967419,0.83335970574986906) (-0.55273103841967419,-0.83335970574986906) (-0.60343236684126456,-0.79741418262302655) (-0.60343236684126456,0.79741418262302655) (0.16465799329966113,0.9863507212155973) (0.16465799329966113,-0.9863507212155973) (-0.46241279258411,0.88666476712146669) (-0.46241279258411,-0.88666476712146669) (-0.82436113106308195,-0.56606424157722246) (-0.82436113106308195,0.56606424157722246) (-0.77035694356556839,-0.6376128758896854) (-0.77035694356556839,0.6376128758896854) (0.86058272693208182,0.5093106813195083) (0.86058272693208182,-0.5093106813195083) (0.73523759686764756,0.67780946891607119) (0.73523759686764756,-0.67780946891607119) (0.33765649003918002,0.94126940603337439) (0.33765649003918002,-0.94126940603337439) (0.027938906702680143,0.99960963255275759) (0.027938906702680143,-0.99960963255275759) (0.99847179871149216,0.055263615316383151) (0.99847179871149216,-0.055263615316383151) (-0.99269528668404639,-0.12064853001706613) (-0.99269528668404639,0.12064853001706613)
 (1,0) (-0.4444522213152643,-0.89580255802711739) (-0.4444522213152643,0.89580255802711739) (0.99554525907366553,0.094284872253975291) (0.99554525907366553,-0.094284872253975291) (-0.3303512329265082,0.94385807349618844) (-0.3303512329265082,-0.94385807349618844) (0.99435554355931433,-0.10609926009572337) (0.99435554355931433,0.10609926009572337) (-0.63365330178620483,0.77361714894089617) (-0.63365330178620483,-0.77361714894089617) (-0.55273103841967419,-0.83335970574986906) (-0.55273103841967419,0.83335970574986906) (-0.60343236684126456,0.79741418262302655) (-0.60343236684126456,-0.79741418262302655) (0.16465799329966113,-0.9863507212155973) (0.16465799329966113,0.9863507212155973) (-0.46241279258411,-0.88666476712146669) (-0.46241279258411,0.88666476712146669) (-0.82436113106308195,0.56606424157722246) (-0.82436113106308195,-0.56606424157722246) (-0.77035694356556839,0.6376128758896854) (-0.77035694356556839,-0.6376128758896854) (0.86058272693208182,-0.5093106813195083) (0.86058272693208182,0.5093106813195083) (0.73523759686764756,-0.67780946891607119) (0.73523759686764756,0.67780946891607119) (0.33765649003918002,-0.94126940603337439) (0.33765649003918002,0.94126940603337439) (0.027938906702680143,-0.99960963255275759) (0.027938906702680143,0.99960963255275759) (0.99847179871149216,-0.055263615316383151) (0.99847179871149216,0.055263615316383151) (-0.99269528668404639,0.12064853001706613) (-0.99269528668404639,-0.12064853001706613)
 (1,0) (-0.99269528668404639,-0.12064853001706613) (-0.99269528668404639,0.12064853001706613) (-0.4444522213152643,0.89580255802711739) (-0.4444522213152643,-0.89580255802711739) (0.99554525907366553,-0.094284872253975291) (0.99554525907366553,0.094284872253975291) (-0.3303512329265082,-0.94385807349618844) (-0.3303512329265082,0.94385807349618844) (0.99435554355931433,0.10609926009572337) (0.99435554355931433,-0.10609926009572337) (-0.63365330178620483,-0.77361714894089617) (-0.63365330178620483,0.77361714894089617) (-0.55273103841967419,0.83335970574986906) (-0.55273103841967419,-0.83335970574986906) (-0.60343236684126456,-0.79741418262302655) (-0.60343236684126456,0.79741418262302655) (0.16465799329966113,0.9863507212155973) (0.16465799329966113,-0.9863507212155973) (-0.46241279258411,0.88666476712146669) (-0.46241279258411,-0.88666476712146669) (-0.82436113106308195,-0.56606424157722246) (-0.82436113106308195,0.56606424157722246) (-0.77035694356556839,-0.6376128758896854) (-0.77035694356556839,0.6376128758896854) (0.86058272693208182,0.5093106813195083) (0.86058272693208182,-0.5093106813195083) (0.73523759686764756,0.67780946891607119) (0.73523759686764756,-0.67780946891607119) (0.33765649003918002,0.94126940603337439) (0.33765649003918002,-0.94126940603337439) (0.027938906702680143,0.99960963255275759) (0.027938906702680143,-0.99960963255275759) (0.99847179871149216,0.055263615316383151) (0.99847179871149216,-0.055263615316383151)
 (1,0) (-0.99269528668404639,0.12064853001706613) (-0.99269528668404639,-0.12064853001706613) (-0.4444522213152643,-0.89580255802711739) (-0.4444522213152643,0.89580255802711739) (0.99554525907366553,0.094284872253975291) (0.99554525907366553,-0.094284872253975291) (-0.3303512329265082,0.94385807349618844) (-0.3303512329265082,-0.94385807349618844) (0.99435554355931433,-0.10609926009572337) (0.99435554355931433,0.10609926009572337) (-0.63365330178620483,0.77361714894089617) (-0.63365330178620483,-0.77361714894089617) (-0.55273103841967419,-0.83335970574986906) (-0.55273103841967419,0.83335970574986906) (-0.60343236684126456,0.79741418262302655) (-0.60343236684126456,-0.79741418262302655) (0.16465799329966113,-0.9863507212155973) (0.16465799329966113,0.9863507212155973) (-0.46241279258411,-0.88666476712146669) (-0.46241279258411,0.88666476712146669) (-0.82436113106308195,0.56606424157722246) (-0.82436113106308195,-0.56606424157722246) (-0.77035694356556839,0.6376128758896854) (-0.77035694356556839,-0.6376128758896854) (0.86058272693208182,-0.5093106813195083) (0.86058272693208182,0.5093106813195083) (0.73523759686764756,-0.67780946891607119) (0.73523759686764756,0.67780946891607119) (0.33765649003918002,-0.94126940603337439) (0.33765649003918002,0.94126940603337439) (0.027938906702680143,-0.99960963255275759) (0.027938906702680143,0.99960963255275759) (0.99847179871149216,-0.055263615316383151) (0.99847179871149216,0.055263615316383151)
 (1,0) (0.99847179871149216,0.055263615316383151) (0.99847179871149216,-0.055263615316383151) (-0.99269528668404639,-0.12064853001706613) (-0.99269528668404639,0.12064853001706613) (-0.4444522213152643,0.89580255802711739) (-0.4444522213152643,-0.89580255802711739) (0.99554525907366553,-0.094284872253975291) (0.99554525907366553,0.094284872253975291) (-0.3303512329265082,-0.94385807349618844) (-0.3303512329265082,0.94385807349618844) (0.99435554355931433,0.10609926009572337) (0.99435554355931433,-0.10609926009572337) (-0.63365330178620483,-0.77361714894089617) (-0.63365330178620483,0.77361714894089617) (-0.55273103841967419,0.83335970574986906) (-0.55273103841967419,-0.83335970574986906) (-0.60343236684126456,-0.79741418262302655) (-0.60343236684126456,0.79741418262302655) (0.16465799329966113,0.9863507212155973) (0.16465799329966113,-0.9863507212155973) (-0.46241279258411,0.88666476712146669) (-0.46241279258411,-0.88666476712146669) (-0.82436113106308195,-0.56606424157722246) (-0.82436113106308195,0.56606424157722246) (-0.77035694356556839,-0.6376128758896854) (-0.77035694356556839,0.6376128758896854) (0.86058272693208182,0.5093106813195083) (0.86058272693208182,-0.5093106813195083) (0.73523759686764756,0.67780946891607119) (0.73523759686764756,-0.67780946891607119) (0.33765649003918002,0.94126940603337439) (0.33765649003918002,-0.94126940603337439) (0.027938906702680143,0.99960963255275759) (0.027938906702680143,-0.99960963255275759)
