# Created by Octave 5.2.0, Tue Sep 14 14:55:24 2021 UTC <root@0x00>
# name: H
# type: complex matrix
# rows: 27
# columns: 27
 (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0)
 (1,0) (0.37175285803305919,-0.92833173625824739) (0.37175285803305919,0.92833173625824739) (-0.74121045208537883,-0.67127272082171485) (-0.74121045208537883,0.67127272082171485) (-0.69586361362901816,0.71817395610476187) (-0.69586361362901816,-0.71817395610476187) (0.67528992381216257,0.73755238376522347) (0.67528992381216257,-0.73755238376522347) (0.0061163316193685322,-0.99998129506882372) (0.0061163316193685322,0.99998129506882372) (0.8965831000314185,0.44287554091194886) (0.8965831000314185,-0.44287554091194886) (0.7869942218240672,-0.61696036729722825) (0.7869942218240672,0.61696036729722825) (-0.75940206205773508,0.65062163208923507) (-0.75940206205773508,-0.65062163208923507) (0.62375021090199168,0.78162374221854414) (0.62375021090199168,-0.78162374221854414) (-0.77642112074503933,0.63021444228216272) (-0.77642112074503933,-0.63021444228216272) (-0.54096592055215853,0.84104451297250338) (-0.54096592055215853,-0.84104451297250338) (-0.97256202461863839,0.23264373679447098) (-0.97256202461863839,-0.23264373679447098) (0.62593854746590039,0.77987238366047995) (0.62593854746590039,-0.77987238366047995)
 (1,0) (0.37175285803305919,0.92833173625824739) (0.37175285803305919,-0.92833173625824739) (-0.74121045208537883,0.67127272082171485) (-0.74121045208537883,-0.67127272082171485) (-0.69586361362901816,-0.71817395610476187) (-0.69586361362901816,0.71817395610476187) (0.67528992381216257,-0.73755238376522347) (0.67528992381216257,0.73755238376522347) (0.0061163316193685322,0.99998129506882372) (0.0061163316193685322,-0.99998129506882372) (0.8965831000314185,-0.44287554091194886) (0.8965831000314185,0.44287554091194886) (0.7869942218240672,0.61696036729722825) (0.7869942218240672,-0.61696036729722825) (-0.75940206205773508,-0.65062163208923507) (-0.75940206205773508,0.65062163208923507) (0.62375021090199168,-0.78162374221854414) (0.62375021090199168,0.78162374221854414) (-0.77642112074503933,-0.63021444228216272) (-0.77642112074503933,0.63021444228216272) (-0.54096592055215853,-0.84104451297250338) (-0.54096592055215853,0.84104451297250338) (-0.97256202461863839,-0.23264373679447098) (-0.97256202461863839,0.23264373679447098) (0.62593854746590039,-0.77987238366047995) (0.62593854746590039,0.77987238366047995)
 (1,0) (0.62593854746590039,0.77987238366047995) (0.62593854746590039,-0.77987238366047995) (0.37175285803305919,-0.92833173625824739) (0.37175285803305919,0.92833173625824739) (-0.74121045208537883,-0.67127272082171485) (-0.74121045208537883,0.67127272082171485) (-0.69586361362901816,0.71817395610476187) (-0.69586361362901816,-0.71817395610476187) (0.67528992381216257,0.73755238376522347) (0.67528992381216257,-0.73755238376522347) (0.0061163316193685322,-0.99998129506882372) (0.0061163316193685322,0.99998129506882372) (0.8965831000314185,0.44287554091194886) (0.8965831000314185,-0.44287554091194886) (0.7869942218240672,-0.61696036729722825) (0.7869942218240672,0.61696036729722825) (-0.75940206205773508,0.65062163208923507) (-0.75940206205773508,-0.65062163208923507) (0.62375021090199168,0.78162374221854414) (0.62375021090199168,-0.78162374221854414) (-0.77642112074503933,0.63021444228216272) (-0.77642112074503933,-0.63021444228216272) (-0.54096592055215853,0.84104451297250338) (-0.54096592055215853,-0.84104451297250338) (-0.97256202461863839,0.23264373679447098) (-0.97256202461863839,-0.23264373679447098)
 (1,0) (0.62593854746590039,-0.77987238366047995) (0.62593854746590039,0.77987238366047995) (0.37175285803305919,0.92833173625824739) (0.37175285803305919,-0.92833173625824739) (-0.74121045208537883,0.67127272082171485) (-0.74121045208537883,-0.67127272082171485) (-0.69586361362901816,-0.71817395610476187) (-0.69586361362901816,0.71817395610476187) (0.67528992381216257,-0.73755238376522347) (0.67528992381216257,0.73755238376522347) (0.0061163316193685322,0.99998129506882372) (0.0061163316193685322,-0.99998129506882372) (0.8965831000314185,-0.44287554091194886) (0.8965831000314185,0.44287554091194886) (0.7869942218240672,0.61696036729722825) (0.7869942218240672,-0.61696036729722825) (-0.75940206205773508,-0.65062163208923507) (-0.75940206205773508,0.65062163208923507) (0.62375021090199168,-0.78162374221854414) (0.62375021090199168,0.78162374221854414) (-0.77642112074503933,-0.63021444228216272) (-0.77642112074503933,0.63021444228216272) (-0.54096592055215853,-0.84104451297250338) (-0.54096592055215853,0.84104451297250338) (-0.97256202461863839,-0.23264373679447098) (-0.97256202461863839,0.23264373679447098)
 (1,0) (-0.97256202461863839,0.23264373679447098) (-0.97256202461863839,-0.23264373679447098) (0.62593854746590039,0.77987238366047995) (0.62593854746590039,-0.77987238366047995) (0.37175285803305919,-0.92833173625824739) (0.37175285803305919,0.92833173625824739) (-0.74121045208537883,-0.67127272082171485) (-0.74121045208537883,0.67127272082171485) (-0.69586361362901816,0.71817395610476187) (-0.69586361362901816,-0.71817395610476187) (0.67528992381216257,0.73755238376522347) (0.67528992381216257,-0.73755238376522347) (0.0061163316193685322,-0.99998129506882372) (0.0061163316193685322,0.99998129506882372) (0.8965831000314185,0.44287554091194886) (0.8965831000314185,-0.44287554091194886) (0.7869942218240672,-0.61696036729722825) (0.7869942218240672,0.61696036729722825) (-0.75940206205773508,0.65062163208923507) (-0.75940206205773508,-0.65062163208923507) (0.62375021090199168,0.78162374221854414) (0.62375021090199168,-0.78162374221854414) (-0.77642112074503933,0.63021444228216272) (-0.77642112074503933,-0.63021444228216272) (-0.54096592055215853,0.84104451297250338) (-0.54096592055215853,-0.84104451297250338)
 (1,0) (-0.97256202461863839,-0.23264373679447098) (-0.97256202461863839,0.23264373679447098) (0.62593854746590039,-0.77987238366047995) (0.62593854746590039,0.77987238366047995) (0.37175285803305919,0.92833173625824739) (0.37175285803305919,-0.92833173625824739) (-0.74121045208537883,0.67127272082171485) (-0.74121045208537883,-0.67127272082171485) (-0.69586361362901816,-0.71817395610476187) (-0.69586361362901816,0.71817395610476187) (0.67528992381216257,-0.73755238376522347) (0.67528992381216257,0.73755238376522347) (0.0061163316193685322,0.99998129506882372) (0.0061163316193685322,-0.99998129506882372) (0.8965831000314185,-0.44287554091194886) (0.8965831000314185,0.44287554091194886) (0.7869942218240672,0.61696036729722825) (0.7869942218240672,-0.61696036729722825) (-0.75940206205773508,-0.65062163208923507) (-0.75940206205773508,0.65062163208923507) (0.62375021090199168,-0.78162374221854414) (0.62375021090199168,0.78162374221854414) (-0.77642112074503933,-0.63021444228216272) (-0.77642112074503933,0.63021444228216272) (-0.54096592055215853,-0.84104451297250338) (-0.54096592055215853,0.84104451297250338)
 (1,0) (-0.54096592055215853,0.84104451297250338) (-0.54096592055215853,-0.84104451297250338) (-0.97256202461863839,0.23264373679447098) (-0.97256202461863839,-0.23264373679447098) (0.62593854746590039,0.77987238366047995) (0.62593854746590039,-0.77987238366047995) (0.37175285803305919,-0.92833173625824739) (0.37175285803305919,0.92833173625824739) (-0.74121045208537883,-0.67127272082171485) (-0.74121045208537883,0.67127272082171485) (-0.69586361362901816,0.71817395610476187) (-0.69586361362901816,-0.71817395610476187) (0.67528992381216257,0.73755238376522347) (0.67528992381216257,-0.73755238376522347) (0.0061163316193685322,-0.99998129506882372) (0.0061163316193685322,0.99998129506882372) (0.8965831000314185,0.44287554091194886) (0.8965831000314185,-0.44287554091194886) (0.7869942218240672,-0.61696036729722825) (0.7869942218240672,0.61696036729722825) (-0.75940206205773508,0.65062163208923507) (-0.75940206205773508,-0.65062163208923507) (0.62375021090199168,0.78162374221854414) (0.62375021090199168,-0.78162374221854414) (-0.77642112074503933,0.63021444228216272) (-0.77642112074503933,-0.63021444228216272)
 (1,0) (-0.54096592055215853,-0.84104451297250338) (-0.54096592055215853,0.84104451297250338) (-0.97256202461863839,-0.23264373679447098) (-0.97256202461863839,0.23264373679447098) (0.62593854746590039,-0.77987238366047995) (0.62593854746590039,0.77987238366047995) (0.37175285803305919,0.92833173625824739) (0.37175285803305919,-0.92833173625824739) (-0.74121045208537883,0.67127272082171485) (-0.74121045208537883,-0.67127272082171485) (-0.69586361362901816,-0.71817395610476187) (-0.69586361362901816,0.71817395610476187) (0.67528992381216257,-0.73755238376522347) (0.67528992381216257,0.73755238376522347) (0.0061163316193685322,0.99998129506882372) (0.0061163316193685322,-0.99998129506882372) (0.8965831000314185,-0.44287554091194886) (0.8965831000314185,0.44287554091194886) (0.7869942218240672,0.61696036729722825) (0.7869942218240672,-0.61696036729722825) (-0.75940206205773508,-0.65062163208923507) (-0.75940206205773508,0.65062163208923507) (0.62375021090199168,-0.78162374221854414) (0.62375021090199168,0.78162374221854414) (-0.77642112074503933,-0.63021444228216272) (-0.77642112074503933,0.63021444228216272)
 (1,0) (-0.77642112074503933,0.63021444228216272) (-0.77642112074503933,-0.63021444228216272) (-0.54096592055215853,0.84104451297250338) (-0.54096592055215853,-0.84104451297250338) (-0.97256202461863839,0.23264373679447098) (-0.97256202461863839,-0.23264373679447098) (0.62593854746590039,0.77987238366047995) (0.62593854746590039,-0.77987238366047995) (0.37175285803305919,-0.92833173625824739) (0.37175285803305919,0.92833173625824739) (-0.74121045208537883,-0.67127272082171485) (-0.74121045208537883,0.67127272082171485) (-0.69586361362901816,0.71817395610476187) (-0.69586361362901816,-0.71817395610476187) (0.67528992381216257,0.73755238376522347) (0.67528992381216257,-0.73755238376522347) (0.0061163316193685322,-0.99998129506882372) (0.0061163316193685322,0.99998129506882372) (0.8965831000314185,0.44287554091194886) (0.8965831000314185,-0.44287554091194886) (0.7869942218240672,-0.61696036729722825) (0.7869942218240672,0.61696036729722825) (-0.75940206205773508,0.65062163208923507) (-0.75940206205773508,-0.65062163208923507) (0.62375021090199168,0.78162374221854414) (0.62375021090199168,-0.78162374221854414)
