# Created by Octave 5.2.0, Fri Sep 17 14:08:09 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
4.2259577484784727e-14


# name: H
# type: complex matrix
# rows: 25
# columns: 25
 (1,0) (-0.44380840527600923,-0.89612169899314764) (0.44212737466031155,0.89695227552862655) (-0.93221235815696446,0.36191175623269251) (0.022106097340922504,-0.99975563037191928) (0.90696290865157647,-0.42121049646260406) (-0.95840943226407216,0.28539684677175198) (0.98134922324706719,0.19223345710978018) (0.9982614867825913,-0.05894068210167458) (-0.77543201879090584,0.6314310605551966) (-0.56623280606254645,-0.82424535748679506) (0.89477435632293267,-0.4465185900574376) (0.99222258634613258,-0.12447625936134254) (-0.45403290308340361,-0.89098491733455099) (-0.51911994239794468,0.8547014013120342) (0.4937365040770717,0.86961155957229086) (-0.36182335172793523,-0.93224667451504661) (0.6118108736287744,-0.79100408021045998) (0.25823886619258146,0.96608109803865339) (-0.68554501771793042,0.72803023885146601) (-0.95436351660583418,-0.29864741447356563) (-0.94521480206045694,-0.32644904344447362) (-0.051942574019400112,0.99865007335114098) (0.9961273368823137,-0.087922287935141619) (-0.94958048596887212,0.31352336542452663)
 (1,-3.4694469519536142e-18) (0.93258931011485602,0.36093930051948631) (0.90576881986274349,-0.42377216162043163) (0.49637785206932211,-0.86810657639200395) (0.91817823850796054,0.39616754325716574) (0.022106097340922403,-0.9997556303719195) (-0.38419838665327743,0.92325056170739417) (0.2658227500648076,0.96402192171546719) (-0.88345062466108304,0.46852427235517041) (-0.3204990946630587,0.94724882175707092) (0.22457790345938472,0.97445613820109267) (-0.99665365279769125,-0.081740420631529032) (0.79884070673220908,0.60154262132253289) (-0.85071895171934719,0.52562083785323344) (-0.85854703479131889,-0.51273481357426243) (0.79635178561412534,-0.60483372388549372) (0.028317365919547616,-0.99959898298636662) (0.38942546169921816,-0.92105798394039762) (-0.83854472745247188,-0.5448327633886012) (-0.96412941977426936,0.2654325939400255) (0.81261202942844357,0.58280501853380262) (-0.76366893076780817,-0.64560805770990237) (-0.99724813300467341,-0.074136099295101815) (-0.62991356099927764,-0.77666524685298555) (0.89660419647073553,0.44283282948655267)
 (0.99999999999999989,-5.5511151231257827e-17) (-0.91776455279000679,0.39712494965962342) (-0.37661899005669913,-0.92636825092868558) (0.9718415017543407,-0.23563551402084498) (0.49637785206932206,-0.86810657639200384) (-0.93221235815696435,0.36191175623269262) (-0.99729495180059446,-0.073503599320375701) (-0.93485200495248888,0.35503764425242557) (0.9877046936141729,-0.15633118119087042) (0.77076778825480186,0.6371161719724282) (-0.99998494720680453,-0.0054868351354952216) (-0.94910733916620105,0.31495278811411409) (0.9161309431243394,0.40087915267585128) (0.84679216901437138,-0.53192388787864764) (-0.31594073544208412,-0.94877892666749053) (-0.99074880985671165,-0.13570849556129189) (0.6352133834027468,-0.77233668665034627) (-0.020893440171548178,0.99978170825325541) (0.89613796210568664,-0.44377556588107331) (0.20740455129197083,0.97825525917491307) (-0.92440982424777851,-0.38140067754815377) (-0.97060521097573038,-0.24067722041514056) (0.94468028150823158,-0.32799263060246964) (-0.13353561105932987,0.99104401545996512) (0.79091764974295742,0.61192260239762031)
 (1,0) (-0.82072613995972499,0.57132180352828277) (0.97859798648430363,0.20578139091975084) (-0.37661899005669919,-0.92636825092868547) (0.90576881986274338,-0.42377216162043158) (0.4421273746603116,0.89695227552862644) (0.49565535732299693,0.86851929555825769) (-0.7729370503544547,-0.63448271543782453) (0.43551072389139972,0.90018354204883655) (-0.68100504363746495,-0.73227872462630939) (-0.16942681928860248,0.98554277071355301) (-0.28417287758687804,-0.95877305742495378) (0.98209933592001508,-0.18836372895402587) (0.54571109523822281,-0.83797338891751183) (0.50433151286126865,0.86351011872187355) (-0.79766891536431594,-0.60309559894059572) (-0.9563475999604889,0.29223153158037724) (-0.46277688106367537,0.88647479284691255) (-0.50738089043202228,0.86172189946896949) (-0.99205430143884588,-0.1258104248330944) (-0.24867216476744142,0.96858771129406473) (0.98246675711599907,-0.18643784798686353) (0.54645820392350153,-0.83748637682334937) (-0.45660888767661167,-0.8896675354843111) (-0.29233060569353614,-0.95631732023154881)
 (1.0000000000000002,2.7755575615628914e-17) (0.34011263911725265,-0.9403847046356596) (-0.8207261399597251,0.57132180352828266) (-0.91776455279000713,0.39712494965962353) (0.93258931011485602,0.36093930051948642) (-0.44380840527600929,-0.89612169899314775) (-0.3418752859449059,0.93974533191715759) (-0.49728298129969795,-0.86758840270584736) (-0.015955620509374269,-0.99987270098456071) (0.087500539726351592,0.9961644721368037) (0.30932676191522501,0.95095581094130821) (0.73912455428011248,-0.67356877396463755) (-0.69819754891557473,-0.71590514922598725) (0.59749920376430876,0.80186950403480062) (-0.99998112926730698,0.0061433793046889174) (-0.98465200957330512,0.17452913809232992) (0.92068834501480112,-0.39029856693806431) (-0.43625554799035582,0.89982281414044707) (0.36788053678268406,-0.92987306158232386) (-0.48157475221705004,0.87640501939861515) (0.99957168522436546,-0.02926510033677987) (0.80943027851397109,0.58721599452398721) (-0.45120359232044993,-0.89242104316130999) (0.98428522613091807,-0.17658593834280126) (-0.998731514521084,-0.050352377326411513)


# name: N
# type: scalar
25


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 24
 (5.5511151231257827e-16,3.6082248300317588e-16) (-5.5511151231257827e-16,7.7715611723760958e-16) (1.1102230246251565e-16,-4.4408920985006262e-16) (1.2212453270876722e-15,4.4408920985006262e-16) (8.3266726846886741e-17,1.3322676295501878e-15) (-1.1102230246251565e-16,-1.2212453270876722e-15) (0,6.6613381477509392e-16) (-3.3306690738754696e-16,-2.2204460492503131e-16) (-3.3306690738754696e-16,-5.5511151231257827e-16) (-8.8817841970012523e-16,0) (-4.4408920985006262e-16,2.2204460492503131e-16) (-3.3306690738754696e-16,-8.8817841970012523e-16) (6.106226635438361e-16,6.6613381477509392e-16) (-3.3306690738754696e-16,-8.8817841970012523e-16) (-7.7715611723760958e-16,4.4408920985006262e-16) (0,2.2204460492503131e-16) (-4.4408920985006262e-16,-7.7715611723760958e-16) (-6.6613381477509392e-16,-3.3306690738754696e-16) (4.4408920985006262e-16,-2.2204460492503131e-16) (3.3306690738754696e-16,-9.9920072216264089e-16) (-2.2204460492503131e-16,2.2204460492503131e-16) (-2.7755575615628914e-16,-3.3306690738754696e-16) (-2.2204460492503131e-16,-5.5511151231257827e-16) (-5.5511151231257827e-16,-3.668940151690947e-16)


# name: is_convergent
# type: scalar
1.8152391636090698e-14


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 25
 1.953271437584549 1.9532714375845492 1.9532714375845488 1.953271437584549 1.9532714375845492 1.9532714375845488 1.9532714375845492 1.9532714375845492 1.953271437584549 1.9532714375845492 1.9532714375845495 1.953271437584549 1.953271437584549 1.953271437584549 1.9532714375845492 1.953271437584549 1.953271437584549 1.9532714375845492 1.9532714375845492 1.9532714375845492 1.9532714375845492 1.9532714375845492 1.9532714375845492 1.953271437584549 1.953271437584549


# name: spectrum
# type: scalar
4.9999999999999911


# name: x
# type: complex matrix
# rows: 1
# columns: 25
 (1.5513958753219177,1.1867772103127663) (-1.3241467403661595,-1.4359333963876202) (1.9040284339964926,-0.43582683650330017) (1.5427402845978202,-1.1980073969565661) (1.2205959564343152,-1.5249310869740347) (-1.8323871858763119,0.67648097528304563) (-1.1674889655618033,-1.5659625870930129) (-1.9394882539786058,0.2316346726261653) (-0.87845772221575003,-1.7445862945590072) (1.8604249009560738,-0.59505335625151701) (-0.43448504882555516,-1.9043350680042279) (-1.8239414146733284,0.69893277553929922) (1.1644342521880295,-1.5682353717522493) (1.951810679394675,0.075527350572542853) (-0.81220248962687602,-1.7763998493378443) (-0.50615292940309797,-1.8865520191450522) (-0.51099204195052128,-1.8852470506400076) (0.92405186838874775,1.7208711321336285) (1.9364043768965522,0.25613941129682988) (-1.2298773540299839,1.5174554368836723) (0.41554499801608591,1.9085574823691904) (-0.13815494344606147,-1.9483794600860036) (-1.3021225499180324,1.4559348109989583) (-1.7718276595493887,-0.82212897634090598) (1.7756356146954475,0.81387190190393688)


# name: x0
# type: complex matrix
# rows: 1
# columns: 25
