# Created by Octave 5.2.0, Sun Sep 19 15:27:26 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.4262968204697004e-06


# name: H
# type: complex matrix
# rows: 23
# columns: 23
 (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0)
 (1,0) (-0.45874529185504737,0.88856780221851761) (-0.45874529185504737,-0.88856780221851761) (0.8522984133174728,0.52305582883267721) (0.8522984133174728,-0.52305582883267721) (0.62524971389821427,-0.78042472742665658) (0.62524971389821427,0.78042472742665658) (0.86429156185417777,0.50299113906851278) (0.86429156185417777,-0.50299113906851278) (-0.75391490314066956,-0.65697205065719066) (-0.75391490314066956,0.65697205065719066) (-0.9983258064115782,-0.057841086038825769) (-0.9983258064115782,0.057841086038825769) (0.84446419111231619,0.53561200168886824) (0.84446419111231619,-0.53561200168886824) (-0.87428970544107831,0.48540444380242598) (-0.87428970544107831,-0.48540444380242598) (-0.15740176003360776,-0.98753464266933022) (-0.15740176003360776,0.98753464266933022) (-0.29066489538834733,0.95682492497960547) (-0.29066489538834733,-0.95682492497960547) (-0.15296151798052143,0.9882321273902791) (-0.15296151798052143,-0.9882321273902791)
 (1,0) (-0.45874529185504737,-0.88856780221851761) (-0.45874529185504737,0.88856780221851761) (0.8522984133174728,-0.52305582883267721) (0.8522984133174728,0.52305582883267721) (0.62524971389821427,0.78042472742665658) (0.62524971389821427,-0.78042472742665658) (0.86429156185417777,-0.50299113906851278) (0.86429156185417777,0.50299113906851278) (-0.75391490314066956,0.65697205065719066) (-0.75391490314066956,-0.65697205065719066) (-0.9983258064115782,0.057841086038825769) (-0.9983258064115782,-0.057841086038825769) (0.84446419111231619,-0.53561200168886824) (0.84446419111231619,0.53561200168886824) (-0.87428970544107831,-0.48540444380242598) (-0.87428970544107831,0.48540444380242598) (-0.15740176003360776,0.98753464266933022) (-0.15740176003360776,-0.98753464266933022) (-0.29066489538834733,-0.95682492497960547) (-0.29066489538834733,0.95682492497960547) (-0.15296151798052143,-0.9882321273902791) (-0.15296151798052143,0.9882321273902791)
 (1,0) (-0.15296151798052143,0.9882321273902791) (-0.15296151798052143,-0.9882321273902791) (-0.45874529185504737,0.88856780221851761) (-0.45874529185504737,-0.88856780221851761) (0.8522984133174728,0.52305582883267721) (0.8522984133174728,-0.52305582883267721) (0.62524971389821427,-0.78042472742665658) (0.62524971389821427,0.78042472742665658) (0.86429156185417777,0.50299113906851278) (0.86429156185417777,-0.50299113906851278) (-0.75391490314066956,-0.65697205065719066) (-0.75391490314066956,0.65697205065719066) (-0.9983258064115782,-0.057841086038825769) (-0.9983258064115782,0.057841086038825769) (0.84446419111231619,0.53561200168886824) (0.84446419111231619,-0.53561200168886824) (-0.87428970544107831,0.48540444380242598) (-0.87428970544107831,-0.48540444380242598) (-0.15740176003360776,-0.98753464266933022) (-0.15740176003360776,0.98753464266933022) (-0.29066489538834733,0.95682492497960547) (-0.29066489538834733,-0.95682492497960547)
 (1,0) (-0.15296151798052143,-0.9882321273902791) (-0.15296151798052143,0.9882321273902791) (-0.45874529185504737,-0.88856780221851761) (-0.45874529185504737,0.88856780221851761) (0.8522984133174728,-0.52305582883267721) (0.8522984133174728,0.52305582883267721) (0.62524971389821427,0.78042472742665658) (0.62524971389821427,-0.78042472742665658) (0.86429156185417777,-0.50299113906851278) (0.86429156185417777,0.50299113906851278) (-0.75391490314066956,0.65697205065719066) (-0.75391490314066956,-0.65697205065719066) (-0.9983258064115782,0.057841086038825769) (-0.9983258064115782,-0.057841086038825769) (0.84446419111231619,-0.53561200168886824) (0.84446419111231619,0.53561200168886824) (-0.87428970544107831,-0.48540444380242598) (-0.87428970544107831,0.48540444380242598) (-0.15740176003360776,0.98753464266933022) (-0.15740176003360776,-0.98753464266933022) (-0.29066489538834733,-0.95682492497960547) (-0.29066489538834733,0.95682492497960547)
 (1,0) (-0.29066489538834733,0.95682492497960547) (-0.29066489538834733,-0.95682492497960547) (-0.15296151798052143,0.9882321273902791) (-0.15296151798052143,-0.9882321273902791) (-0.45874529185504737,0.88856780221851761) (-0.45874529185504737,-0.88856780221851761) (0.8522984133174728,0.52305582883267721) (0.8522984133174728,-0.52305582883267721) (0.62524971389821427,-0.78042472742665658) (0.62524971389821427,0.78042472742665658) (0.86429156185417777,0.50299113906851278) (0.86429156185417777,-0.50299113906851278) (-0.75391490314066956,-0.65697205065719066) (-0.75391490314066956,0.65697205065719066) (-0.9983258064115782,-0.057841086038825769) (-0.9983258064115782,0.057841086038825769) (0.84446419111231619,0.53561200168886824) (0.84446419111231619,-0.53561200168886824) (-0.87428970544107831,0.48540444380242598) (-0.87428970544107831,-0.48540444380242598) (-0.15740176003360776,-0.98753464266933022) (-0.15740176003360776,0.98753464266933022)
 (1,0) (-0.29066489538834733,-0.95682492497960547) (-0.29066489538834733,0.95682492497960547) (-0.15296151798052143,-0.9882321273902791) (-0.15296151798052143,0.9882321273902791) (-0.45874529185504737,-0.88856780221851761) (-0.45874529185504737,0.88856780221851761) (0.8522984133174728,-0.52305582883267721) (0.8522984133174728,0.52305582883267721) (0.62524971389821427,0.78042472742665658) (0.62524971389821427,-0.78042472742665658) (0.86429156185417777,-0.50299113906851278) (0.86429156185417777,0.50299113906851278) (-0.75391490314066956,0.65697205065719066) (-0.75391490314066956,-0.65697205065719066) (-0.9983258064115782,0.057841086038825769) (-0.9983258064115782,-0.057841086038825769) (0.84446419111231619,-0.53561200168886824) (0.84446419111231619,0.53561200168886824) (-0.87428970544107831,-0.48540444380242598) (-0.87428970544107831,0.48540444380242598) (-0.15740176003360776,0.98753464266933022) (-0.15740176003360776,-0.98753464266933022)
 (1,0) (-0.15740176003360776,-0.98753464266933022) (-0.15740176003360776,0.98753464266933022) (-0.29066489538834733,0.95682492497960547) (-0.29066489538834733,-0.95682492497960547) (-0.15296151798052143,0.9882321273902791) (-0.15296151798052143,-0.9882321273902791) (-0.45874529185504737,0.88856780221851761) (-0.45874529185504737,-0.88856780221851761) (0.8522984133174728,0.52305582883267721) (0.8522984133174728,-0.52305582883267721) (0.62524971389821427,-0.78042472742665658) (0.62524971389821427,0.78042472742665658) (0.86429156185417777,0.50299113906851278) (0.86429156185417777,-0.50299113906851278) (-0.75391490314066956,-0.65697205065719066) (-0.75391490314066956,0.65697205065719066) (-0.9983258064115782,-0.057841086038825769) (-0.9983258064115782,0.057841086038825769) (0.84446419111231619,0.53561200168886824) (0.84446419111231619,-0.53561200168886824) (-0.87428970544107831,0.48540444380242598) (-0.87428970544107831,-0.48540444380242598)
 (1,0) (-0.15740176003360776,0.98753464266933022) (-0.15740176003360776,-0.98753464266933022) (-0.29066489538834733,-0.95682492497960547) (-0.29066489538834733,0.95682492497960547) (-0.15296151798052143,-0.9882321273902791) (-0.15296151798052143,0.9882321273902791) (-0.45874529185504737,-0.88856780221851761) (-0.45874529185504737,0.88856780221851761) (0.8522984133174728,-0.52305582883267721) (0.8522984133174728,0.52305582883267721) (0.62524971389821427,0.78042472742665658) (0.62524971389821427,-0.78042472742665658) (0.86429156185417777,-0.50299113906851278) (0.86429156185417777,0.50299113906851278) (-0.75391490314066956,0.65697205065719066) (-0.75391490314066956,-0.65697205065719066) (-0.9983258064115782,0.057841086038825769) (-0.9983258064115782,-0.057841086038825769) (0.84446419111231619,-0.53561200168886824) (0.84446419111231619,0.53561200168886824) (-0.87428970544107831,-0.48540444380242598) (-0.87428970544107831,0.48540444380242598)
 (1,0) (-0.87428970544107831,0.48540444380242598) (-0.87428970544107831,-0.48540444380242598) (-0.15740176003360776,-0.98753464266933022) (-0.15740176003360776,0.98753464266933022) (-0.29066489538834733,0.95682492497960547) (-0.29066489538834733,-0.95682492497960547) (-0.15296151798052143,0.9882321273902791) (-0.15296151798052143,-0.9882321273902791) (-0.45874529185504737,0.88856780221851761) (-0.45874529185504737,-0.88856780221851761) (0.8522984133174728,0.52305582883267721) (0.8522984133174728,-0.52305582883267721) (0.62524971389821427,-0.78042472742665658) (0.62524971389821427,0.78042472742665658) (0.86429156185417777,0.50299113906851278) (0.86429156185417777,-0.50299113906851278) (-0.75391490314066956,-0.65697205065719066) (-0.75391490314066956,0.65697205065719066) (-0.9983258064115782,-0.057841086038825769) (-0.9983258064115782,0.057841086038825769) (0.84446419111231619,0.53561200168886824) (0.84446419111231619,-0.53561200168886824)
