# Created by Octave 5.1.0, Fri Sep 17 14:57:30 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2894591547313836e-14


# name: H
# type: complex matrix
# rows: 12
# columns: 12
 (1,0) (1,1.1102230246251568e-16) (1.0000000000000002,5.5511151231257852e-17) (1,1.1102230246251568e-16) (1.0000000000000004,5.5511151231257864e-17) (1.0000000000000002,1.110223024625157e-16) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,4.8572257327350623e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000004,4.8572257327350636e-17) (1.0000000000000002,5.5511151231257852e-17) (1,0)
 (0.99999999999999989,-2.7755575615628914e-17) (-0.26761656732981742,-0.96352549156242118) (-0.70062926922203661,0.71352549156242095) (-0.5,-0.86602540378443849) (-0.50000000000000022,0.86602540378443882) (0.96824583655185414,0.25000000000000011) (-1.1102230246251565e-16,1.0000000000000002) (0.71352549156242118,0.70062926922203661) (-0.96352549156242129,0.2676165673298172) (-0.8660254037844386,-0.50000000000000022) (0.8660254037844386,-0.50000000000000011) (0.25000000000000011,-0.96824583655185437)
 (1,0) (0.86602540378443849,-0.5) (-0.24999999999999989,0.96824583655185414) (2.2204460492503131e-16,0.99999999999999978) (0.25000000000000017,0.96824583655185426) (-0.8660254037844386,-0.49999999999999994) (-1,-5.5511151231257827e-17) (-0.86602540378443882,-0.49999999999999994) (0.25,-0.96824583655185414) (-2.4980018054066022e-16,1.0000000000000002) (-0.25000000000000006,-0.96824583655185426) (0.8660254037844386,-0.50000000000000011)
 (1,0) (0.25000000000000017,-0.96824583655185414) (-0.70062926922203672,0.71352549156242107) (0.96824583655185414,0.24999999999999989) (-0.5,-0.8660254037844386) (-0.5,0.8660254037844386) (0.86602540378443882,-0.49999999999999978) (-0.26761656732981742,-0.96352549156242118) (0.71352549156242107,0.70062926922203694) (-0.9635254915624214,0.26761656732981726) (-2.2204460492503131e-16,1) (-0.8660254037844386,-0.50000000000000011)
 (1,0) (0.71352549156242118,0.70062926922203672) (-0.87500000000000011,-0.48412291827592713) (-0.96352549156242095,0.26761656732981765) (0.24999999999999972,-0.96824583655185437) (0.71352549156242118,0.70062926922203661) (1.0000000000000002,-8.3266726846886741e-17) (-0.9635254915624214,0.26761656732981765) (-0.875,-0.48412291827592724) (0.71352549156242118,0.70062926922203717) (0.24999999999999994,-0.96824583655185437) (-0.96352549156242118,0.26761656732981742)
 (1,5.5511151231257827e-17) (1.1102230246251565e-16,1.0000000000000002) (0.96824583655185448,0.24999999999999978) (0.24999999999999972,-0.96824583655185426) (-0.49999999999999978,0.86602540378443893) (-0.70062926922203661,0.7135254915624214) (0.8660254037844386,-0.50000000000000033) (-0.50000000000000044,-0.8660254037844386) (-0.96352549156242129,0.26761656732981748) (-0.26761656732981748,-0.9635254915624214) (-0.86602540378443893,-0.5) (0.7135254915624214,0.70062926922203683)
 (1,0) (-0.86602540378443849,-0.50000000000000022) (-1,5.5511151231257827e-17) (-0.8660254037844386,-0.49999999999999967) (1,-1.6653345369377348e-16) (1.1102230246251564e-16,0.99999999999999978) (-1,1.6653345369377348e-16) (0.8660254037844386,-0.50000000000000022) (1,-5.5511151231257827e-17) (0.86602540378443893,-0.49999999999999983) (-1,-5.5511151231257827e-17) (-5.5511151231257827e-17,1)
 (1,-1.3877787807814457e-17) (-0.96352549156242107,0.26761656732981753) (-0.26761656732981742,-0.96352549156242118) (0.86602540378443826,-0.50000000000000022) (-0.50000000000000044,-0.86602540378443849) (0.24999999999999972,-0.96824583655185414) (2.6367796834847468e-16,0.99999999999999989) (-0.70062926922203639,0.7135254915624214) (0.71352549156242107,0.70062926922203639) (-0.5,0.86602540378443871) (-0.86602540378443871,-0.5) (0.96824583655185414,0.25)
 (1,0) (-0.50000000000000011,-0.86602540378443871) (0.24999999999999983,-0.96824583655185426) (-0.49999999999999983,0.86602540378443849) (0.25000000000000033,0.96824583655185414) (-0.50000000000000033,-0.86602540378443837) (1,-2.2204460492503131e-16) (-0.49999999999999967,0.86602540378443882) (0.24999999999999972,-0.96824583655185414) (-0.50000000000000011,-0.8660254037844386) (0.25000000000000022,0.96824583655185426) (-0.5,0.86602540378443871)
 (1,0) (-0.70062926922203661,0.71352549156242095) (-0.26761656732981759,-0.96352549156242107) (0.71352549156242118,0.70062926922203628) (-0.49999999999999983,0.8660254037844386) (0.86602540378443826,-0.50000000000000011) (-0.86602540378443871,-0.49999999999999967) (0.24999999999999956,-0.96824583655185414) (-0.96352549156242084,0.26761656732981765) (0.96824583655185426,0.24999999999999983) (2.7755575615628914e-16,0.99999999999999978) (-0.50000000000000022,-0.86602540378443849)
