# Created by Octave 5.1.0, Fri Sep 17 15:02:04 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
4.5087712956533299e-14


# name: H
# type: complex matrix
# rows: 15
# columns: 15
 (1,0) (0.99999999999999989,-4.8572257327350599e-17) (0.99999999999999989,6.9388939039072276e-18) (1,2.0816681711721685e-17) (1,-4.8572257327350599e-17) (1,6.9388939039072284e-18) (1,6.9388939039072284e-18) (1,6.9388939039072284e-18) (1,6.9388939039072284e-18) (1,6.9388939039072284e-18) (1,0) (1,6.9388939039072284e-18) (0.99999999999999989,6.9388939039072276e-18) (1,6.9388939039072284e-18) (1,6.2450045135165055e-17)
 (0.99999999999999989,1.1102230246251565e-16) (0.24999999999999989,-0.96824583655185337) (-0.25000000000000028,-0.96824583655185414) (-0.25000000000000006,0.96824583655185359) (-0.99999999999999933,-1.1102230246251565e-16) (0.99999999999999956,0) (-0.87499999999999978,0.48412291827592679) (-0.99999999999999933,5.5511151231257827e-17) (-0.24999999999999978,0.96824583655185414) (-0.24999999999999933,-0.96824583655185315) (0.25000000000000017,-0.96824583655185426) (0.99999999999999911,2.2204460492503131e-16) (-0.2499999999999995,0.96824583655185403) (0.87499999999999967,-0.48412291827592679) (-0.25000000000000039,0.96824583655185303)
 (1,-5.5511151231257827e-17) (-1,6.106226635438361e-16) (0.25000000000000089,0.96824583655185426) (-0.25000000000000089,-0.96824583655185437) (-0.99999999999999978,4.4408920985006262e-16) (0.25000000000000061,0.96824583655185426) (0.68750000000000067,0.72618437741389041) (-0.68750000000000044,-0.7261843774138903) (-1.0000000000000004,8.8817841970012523e-16) (-0.25000000000000067,-0.96824583655185392) (0.25000000000000017,0.96824583655185403) (-1.0000000000000002,4.4408920985006262e-16) (0.99999999999999978,-1.0547118733938987e-15) (0.87499999999999978,-0.48412291827592835) (0.87499999999999978,-0.48412291827592702)
 (1,0) (0.68749999999999956,-0.72618437741389019) (-0.24999999999999922,0.9682458365518547) (-0.87500000000000022,-0.4841229182759263) (-0.24999999999999922,0.96824583655185448) (-0.87499999999999989,-0.48412291827592652) (-0.25000000000000039,-0.96824583655185403) (-0.25000000000000061,-0.96824583655185381) (1.0000000000000004,-8.3266726846886741e-16) (-0.24999999999999922,0.96824583655185403) (-0.87500000000000033,-0.48412291827592663) (-0.24999999999999978,0.96824583655185359) (0.68749999999999956,-0.72618437741389152) (0.99999999999999978,-9.9920072216264089e-16) (-0.24999999999999933,0.96824583655185403)
 (1,5.5511151231257827e-17) (-0.99999999999999933,-7.2164496600635175e-16) (-0.25000000000000028,0.9682458365518537) (-0.24999999999999989,0.96824583655185426) (0.24999999999999989,-0.96824583655185381) (0.99999999999999978,0) (-0.24999999999999944,-0.9682458365518537) (0.87499999999999967,-0.48412291827592657) (-0.25000000000000022,-0.96824583655185426) (-0.87499999999999956,0.48412291827592668) (0.25,-0.96824583655185381) (-0.25000000000000017,0.96824583655185359) (-0.24999999999999978,0.96824583655185348) (-1.0000000000000002,3.3306690738754696e-16) (0.99999999999999922,3.8857805861880479e-16)
 (1,1.2325951644078309e-32) (0.24999999999999983,-0.96824583655185426) (0.24999999999999997,0.9682458365518547) (-0.875,-0.48412291827592735) (0.24999999999999989,-0.9682458365518547) (0.24999999999999978,-0.96824583655185448) (-0.87500000000000044,0.48412291827592757) (0.24999999999999994,0.96824583655185414) (0.25000000000000039,0.9682458365518547) (-0.875,0.48412291827592724) (0.25000000000000017,0.9682458365518547) (0.25000000000000006,-0.96824583655185414) (-0.87500000000000044,-0.48412291827592674) (0.25000000000000022,0.96824583655185403) (0.25000000000000022,-0.96824583655185448)
 (1,0) (0.99999999999999889,0) (-0.25000000000000044,-0.9682458365518537) (-0.24999999999999972,-0.9682458365518537) (-0.25,0.96824583655185337) (0.99999999999999978,-3.3306690738754696e-16) (-0.87499999999999933,0.48412291827592702) (0.68749999999999989,0.72618437741389008) (-0.25000000000000022,-0.96824583655185359) (0.68749999999999944,0.72618437741388997) (-0.87499999999999956,0.48412291827592718) (-0.87499999999999933,0.48412291827592668) (-0.24999999999999922,0.96824583655185381) (-0.2500000000000005,-0.9682458365518537) (-0.24999999999999933,-0.96824583655185315)
 (1,-5.5511151231257827e-17) (0.87500000000000033,0.48412291827592702) (1.0000000000000004,-6.106226635438361e-16) (-0.24999999999999944,0.96824583655185514) (-1.0000000000000002,5.5511151231257827e-17) (-0.87500000000000022,-0.48412291827592713) (-0.25000000000000072,-0.96824583655185481) (0.25000000000000056,0.96824583655185426) (-0.25000000000000111,-0.96824583655185492) (-0.25000000000000017,-0.96824583655185392) (0.25000000000000039,0.96824583655185448) (-0.25000000000000033,-0.96824583655185437) (1.0000000000000004,-8.3266726846886741e-16) (-1.0000000000000004,8.8817841970012523e-16) (-0.24999999999999967,0.96824583655185448)
 (1,0) (-0.99999999999999911,-2.9143354396410359e-16) (-1.0000000000000002,2.4286128663675299e-16) (0.99999999999999978,-2.7061686225238191e-16) (-1,3.7470027081099033e-16) (0.24999999999999972,0.96824583655185426) (-0.24999999999999967,-0.96824583655185414) (0.875,-0.48412291827592741) (0.25000000000000056,0.96824583655185426) (0.6875,0.7261843774138903) (0.24999999999999989,0.96824583655185414) (0.87499999999999978,-0.48412291827592674) (-0.25000000000000056,-0.96824583655185392) (-0.68750000000000044,-0.7261843774138903) (-0.99999999999999956,-9.7144514654701197e-17)
 (1,0) (-0.25,0.96824583655185381) (-0.24999999999999978,-0.96824583655185392) (-0.25,0.9682458365518547) (0.99999999999999933,-1.1102230246251565e-16) (1.0000000000000002,-1.6653345369377348e-16) (0.68749999999999978,0.72618437741389075) (-0.24999999999999956,-0.96824583655185392) (-0.25000000000000056,-0.96824583655185448) (-0.87499999999999944,0.48412291827592702) (-0.87500000000000011,0.48412291827592746) (-0.24999999999999956,-0.9682458365518537) (-0.25000000000000017,-0.96824583655185381) (0.68750000000000033,0.72618437741389019) (-0.87499999999999956,0.48412291827592679)
