# Created by Octave 5.2.0, Tue Sep 14 15:08:38 2021 UTC <root@0x00>
# name: H
# type: complex matrix
# rows: 31
# columns: 31
 (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0)
 (1,0) (0.4779786984457729,0.87837142703533166) (0.4779786984457729,-0.87837142703533166) (-0.81739731994232934,0.57607431929491315) (-0.81739731994232934,-0.57607431929491315) (-0.78777873833970913,-0.61595832604154033) (-0.78777873833970913,0.61595832604154033) (0.97319550381389974,-0.22997937158886589) (0.97319550381389974,0.22997937158886589) (0.88971483978544907,-0.45651670710451875) (0.88971483978544907,0.45651670710451875) (0.14573553848291443,-0.98932358347665761) (0.14573553848291443,0.98932358347665761) (-0.088185953118568972,0.99610402954338539) (-0.088185953118568972,-0.99610402954338539) (-0.68049589678966549,-0.73275189146970399) (-0.68049589678966549,0.73275189146970399) (0.7762468367871177,-0.63042909861299534) (0.7762468367871177,0.63042909861299534) (-0.014586637344831928,-0.99989360934599958) (-0.014586637344831928,0.99989360934599958) (0.80834987368089117,0.58870237108413914) (0.80834987368089117,-0.58870237108413914) (-0.57818314777929047,-0.81590700917692283) (-0.57818314777929047,0.81590700917692283) (0.30309829269243999,-0.95295929869377327) (0.30309829269243999,0.95295929869377327) (-0.95337521510957957,0.30178750672412324) (-0.95337521510957957,-0.30178750672412324) (-0.95431667526451003,0.29879706041407383) (-0.95431667526451003,-0.29879706041407383)
 (1,0) (0.4779786984457729,-0.87837142703533166) (0.4779786984457729,0.87837142703533166) (-0.81739731994232934,-0.57607431929491315) (-0.81739731994232934,0.57607431929491315) (-0.78777873833970913,0.61595832604154033) (-0.78777873833970913,-0.61595832604154033) (0.97319550381389974,0.22997937158886589) (0.97319550381389974,-0.22997937158886589) (0.88971483978544907,0.45651670710451875) (0.88971483978544907,-0.45651670710451875) (0.14573553848291443,0.98932358347665761) (0.14573553848291443,-0.98932358347665761) (-0.088185953118568972,-0.99610402954338539) (-0.088185953118568972,0.99610402954338539) (-0.68049589678966549,0.73275189146970399) (-0.68049589678966549,-0.73275189146970399) (0.7762468367871177,0.63042909861299534) (0.7762468367871177,-0.63042909861299534) (-0.014586637344831928,0.99989360934599958) (-0.014586637344831928,-0.99989360934599958) (0.80834987368089117,-0.58870237108413914) (0.80834987368089117,0.58870237108413914) (-0.57818314777929047,0.81590700917692283) (-0.57818314777929047,-0.81590700917692283) (0.30309829269243999,0.95295929869377327) (0.30309829269243999,-0.95295929869377327) (-0.95337521510957957,-0.30178750672412324) (-0.95337521510957957,0.30178750672412324) (-0.95431667526451003,-0.29879706041407383) (-0.95431667526451003,0.29879706041407383)
 (1,0) (-0.95431667526451003,0.29879706041407383) (-0.95431667526451003,-0.29879706041407383) (0.4779786984457729,0.87837142703533166) (0.4779786984457729,-0.87837142703533166) (-0.81739731994232934,0.57607431929491315) (-0.81739731994232934,-0.57607431929491315) (-0.78777873833970913,-0.61595832604154033) (-0.78777873833970913,0.61595832604154033) (0.97319550381389974,-0.22997937158886589) (0.97319550381389974,0.22997937158886589) (0.88971483978544907,-0.45651670710451875) (0.88971483978544907,0.45651670710451875) (0.14573553848291443,-0.98932358347665761) (0.14573553848291443,0.98932358347665761) (-0.088185953118568972,0.99610402954338539) (-0.088185953118568972,-0.99610402954338539) (-0.68049589678966549,-0.73275189146970399) (-0.68049589678966549,0.73275189146970399) (0.7762468367871177,-0.63042909861299534) (0.7762468367871177,0.63042909861299534) (-0.014586637344831928,-0.99989360934599958) (-0.014586637344831928,0.99989360934599958) (0.80834987368089117,0.58870237108413914) (0.80834987368089117,-0.58870237108413914) (-0.57818314777929047,-0.81590700917692283) (-0.57818314777929047,0.81590700917692283) (0.30309829269243999,-0.95295929869377327) (0.30309829269243999,0.95295929869377327) (-0.95337521510957957,0.30178750672412324) (-0.95337521510957957,-0.30178750672412324)
 (1,0) (-0.95431667526451003,-0.29879706041407383) (-0.95431667526451003,0.29879706041407383) (0.4779786984457729,-0.87837142703533166) (0.4779786984457729,0.87837142703533166) (-0.81739731994232934,-0.57607431929491315) (-0.81739731994232934,0.57607431929491315) (-0.78777873833970913,0.61595832604154033) (-0.78777873833970913,-0.61595832604154033) (0.97319550381389974,0.22997937158886589) (0.97319550381389974,-0.22997937158886589) (0.88971483978544907,0.45651670710451875) (0.88971483978544907,-0.45651670710451875) (0.14573553848291443,0.98932358347665761) (0.14573553848291443,-0.98932358347665761) (-0.088185953118568972,-0.99610402954338539) (-0.088185953118568972,0.99610402954338539) (-0.68049589678966549,0.73275189146970399) (-0.68049589678966549,-0.73275189146970399) (0.7762468367871177,0.63042909861299534) (0.7762468367871177,-0.63042909861299534) (-0.014586637344831928,0.99989360934599958) (-0.014586637344831928,-0.99989360934599958) (0.80834987368089117,-0.58870237108413914) (0.80834987368089117,0.58870237108413914) (-0.57818314777929047,0.81590700917692283) (-0.57818314777929047,-0.81590700917692283) (0.30309829269243999,0.95295929869377327) (0.30309829269243999,-0.95295929869377327) (-0.95337521510957957,-0.30178750672412324) (-0.95337521510957957,0.30178750672412324)
 (1,0) (-0.95337521510957957,0.30178750672412324) (-0.95337521510957957,-0.30178750672412324) (-0.95431667526451003,0.29879706041407383) (-0.95431667526451003,-0.29879706041407383) (0.4779786984457729,0.87837142703533166) (0.4779786984457729,-0.87837142703533166) (-0.81739731994232934,0.57607431929491315) (-0.81739731994232934,-0.57607431929491315) (-0.78777873833970913,-0.61595832604154033) (-0.78777873833970913,0.61595832604154033) (0.97319550381389974,-0.22997937158886589) (0.97319550381389974,0.22997937158886589) (0.88971483978544907,-0.45651670710451875) (0.88971483978544907,0.45651670710451875) (0.14573553848291443,-0.98932358347665761) (0.14573553848291443,0.98932358347665761) (-0.088185953118568972,0.99610402954338539) (-0.088185953118568972,-0.99610402954338539) (-0.68049589678966549,-0.73275189146970399) (-0.68049589678966549,0.73275189146970399) (0.7762468367871177,-0.63042909861299534) (0.7762468367871177,0.63042909861299534) (-0.014586637344831928,-0.99989360934599958) (-0.014586637344831928,0.99989360934599958) (0.80834987368089117,0.58870237108413914) (0.80834987368089117,-0.58870237108413914) (-0.57818314777929047,-0.81590700917692283) (-0.57818314777929047,0.81590700917692283) (0.30309829269243999,-0.95295929869377327) (0.30309829269243999,0.95295929869377327)
 (1,0) (-0.95337521510957957,-0.30178750672412324) (-0.95337521510957957,0.30178750672412324) (-0.95431667526451003,-0.29879706041407383) (-0.95431667526451003,0.29879706041407383) (0.4779786984457729,-0.87837142703533166) (0.4779786984457729,0.87837142703533166) (-0.81739731994232934,-0.57607431929491315) (-0.81739731994232934,0.57607431929491315) (-0.78777873833970913,0.61595832604154033) (-0.78777873833970913,-0.61595832604154033) (0.97319550381389974,0.22997937158886589) (0.97319550381389974,-0.22997937158886589) (0.88971483978544907,0.45651670710451875) (0.88971483978544907,-0.45651670710451875) (0.14573553848291443,0.98932358347665761) (0.14573553848291443,-0.98932358347665761) (-0.088185953118568972,-0.99610402954338539) (-0.088185953118568972,0.99610402954338539) (-0.68049589678966549,0.73275189146970399) (-0.68049589678966549,-0.73275189146970399) (0.7762468367871177,0.63042909861299534) (0.7762468367871177,-0.63042909861299534) (-0.014586637344831928,0.99989360934599958) (-0.014586637344831928,-0.99989360934599958) (0.80834987368089117,-0.58870237108413914) (0.80834987368089117,0.58870237108413914) (-0.57818314777929047,0.81590700917692283) (-0.57818314777929047,-0.81590700917692283) (0.30309829269243999,0.95295929869377327) (0.30309829269243999,-0.95295929869377327)
 (1,0) (0.30309829269243999,-0.95295929869377327) (0.30309829269243999,0.95295929869377327) (-0.95337521510957957,0.30178750672412324) (-0.95337521510957957,-0.30178750672412324) (-0.95431667526451003,0.29879706041407383) (-0.95431667526451003,-0.29879706041407383) (0.4779786984457729,0.87837142703533166) (0.4779786984457729,-0.87837142703533166) (-0.81739731994232934,0.57607431929491315) (-0.81739731994232934,-0.57607431929491315) (-0.78777873833970913,-0.61595832604154033) (-0.78777873833970913,0.61595832604154033) (0.97319550381389974,-0.22997937158886589) (0.97319550381389974,0.22997937158886589) (0.88971483978544907,-0.45651670710451875) (0.88971483978544907,0.45651670710451875) (0.14573553848291443,-0.98932358347665761) (0.14573553848291443,0.98932358347665761) (-0.088185953118568972,0.99610402954338539) (-0.088185953118568972,-0.99610402954338539) (-0.68049589678966549,-0.73275189146970399) (-0.68049589678966549,0.73275189146970399) (0.7762468367871177,-0.63042909861299534) (0.7762468367871177,0.63042909861299534) (-0.014586637344831928,-0.99989360934599958) (-0.014586637344831928,0.99989360934599958) (0.80834987368089117,0.58870237108413914) (0.80834987368089117,-0.58870237108413914) (-0.57818314777929047,-0.81590700917692283) (-0.57818314777929047,0.81590700917692283)
 (1,0) (0.30309829269243999,0.95295929869377327) (0.30309829269243999,-0.95295929869377327) (-0.95337521510957957,-0.30178750672412324) (-0.95337521510957957,0.30178750672412324) (-0.95431667526451003,-0.29879706041407383) (-0.95431667526451003,0.29879706041407383) (0.4779786984457729,-0.87837142703533166) (0.4779786984457729,0.87837142703533166) (-0.81739731994232934,-0.57607431929491315) (-0.81739731994232934,0.57607431929491315) (-0.78777873833970913,0.61595832604154033) (-0.78777873833970913,-0.61595832604154033) (0.97319550381389974,0.22997937158886589) (0.97319550381389974,-0.22997937158886589) (0.88971483978544907,0.45651670710451875) (0.88971483978544907,-0.45651670710451875) (0.14573553848291443,0.98932358347665761) (0.14573553848291443,-0.98932358347665761) (-0.088185953118568972,-0.99610402954338539) (-0.088185953118568972,0.99610402954338539) (-0.68049589678966549,0.73275189146970399) (-0.68049589678966549,-0.73275189146970399) (0.7762468367871177,0.63042909861299534) (0.7762468367871177,-0.63042909861299534) (-0.014586637344831928,0.99989360934599958) (-0.014586637344831928,-0.99989360934599958) (0.80834987368089117,-0.58870237108413914) (0.80834987368089117,0.58870237108413914) (-0.57818314777929047,0.81590700917692283) (-0.57818314777929047,-0.81590700917692283)
 (1,0) (-0.57818314777929047,-0.81590700917692283) (-0.57818314777929047,0.81590700917692283) (0.30309829269243999,-0.95295929869377327) (0.30309829269243999,0.95295929869377327) (-0.95337521510957957,0.30178750672412324) (-0.95337521510957957,-0.30178750672412324) (-0.95431667526451003,0.29879706041407383) (-0.95431667526451003,-0.29879706041407383) (0.4779786984457729,0.87837142703533166) (0.4779786984457729,-0.87837142703533166) (-0.81739731994232934,0.57607431929491315) (-0.81739731994232934,-0.57607431929491315) (-0.78777873833970913,-0.61595832604154033) (-0.78777873833970913,0.61595832604154033) (0.97319550381389974,-0.22997937158886589) (0.97319550381389974,0.22997937158886589) (0.88971483978544907,-0.45651670710451875) (0.88971483978544907,0.45651670710451875) (0.14573553848291443,-0.98932358347665761) (0.14573553848291443,0.98932358347665761) (-0.088185953118568972,0.99610402954338539) (-0.088185953118568972,-0.99610402954338539) (-0.68049589678966549,-0.73275189146970399) (-0.68049589678966549,0.73275189146970399) (0.7762468367871177,-0.63042909861299534) (0.7762468367871177,0.63042909861299534) (-0.014586637344831928,-0.99989360934599958) (-0.014586637344831928,0.99989360934599958) (0.80834987368089117,0.58870237108413914) (0.80834987368089117,-0.58870237108413914)
