# Created by Octave 5.2.0, Fri Sep 17 14:17:28 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
8.2940857942169763e-14


# name: H
# type: complex matrix
# rows: 29
# columns: 29
 (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (0.99999999999999989,-1.3877787807814457e-17) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1.0000000000000002,0) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,0) (1,-2.7755575615628914e-17) (0.99999999999999989,-5.4210108624275222e-20) (0.99999999999999989,0)
 (1,0) (-0.97752384113159607,0.21082490369813855) (0.35644193783940015,-0.9343174754596496) (0.55079043688160811,0.83464357341308637) (0.77746716287377682,0.62892353323198213) (-0.97520242563161985,0.22131477366457852) (-0.061844607792670973,-0.9980857901437985) (0.97408595980934531,0.22617812206821727) (-0.99774525507617307,0.067114871474074717) (-0.69328102132902014,0.72066734730039628) (0.066463452612748455,-0.99778886016370838) (0.41689876190618352,0.90895292635047453) (-0.99998251635475066,0.0059132888327935382) (0.78333894545621818,-0.6215948009206147) (0.95376660406701641,-0.30054827393693323) (-0.22062784544905267,-0.9753580644114801) (-0.84213378226907276,0.53926866473139878) (0.56116598924332217,-0.82770328772849655) (0.83570554953589393,0.54917778039074927) (0.25502029786202207,-0.96693569986755823) (-0.25075752440933519,-0.96804992843969662) (0.10818924985569749,0.99413031651572736) (0.99697543239842457,0.077717354522487) (-0.89457211640926237,0.44692362719267004) (-0.88051438647865876,0.47401942492276627) (0.032193091083725117,0.99948166810926276) (0.99996633772132848,-0.0082050852642179713) (-0.98775556696364175,0.15600942257547806) (-0.88652831985185643,-0.46267433265812741)
 (0.99999999999999989,0) (0.76905929686727725,-0.63917743851141129) (-0.32306966463196835,-0.94637518553403899) (-0.76493009969705239,0.64411329948810803) (-0.37477362541612519,-0.92711635175551388) (0.99971191578679908,-0.024001779806656853) (-0.69329841896326128,-0.72065061039524636) (0.30957042884876407,0.95087651647434857) (0.94922834136641421,-0.31458791449571832) (-0.21613784293939237,0.9763628592124477) (-0.93884528881310159,-0.34433925665460136) (-0.66408444175322567,0.74765757818757295) (0.79375233055606409,0.60824110165033785) (0.40144734282720762,-0.91588210536999415) (-0.11349734625954233,0.9935382994087546) (0.84615839118618608,0.53293149374493209) (-0.95599597157019445,-0.29337979197886188) (-0.4392683431299339,-0.89835589981024888) (-0.64127934374857787,0.76730750242741208) (-0.35062583978731682,0.93651562745820693) (0.88855824814927242,-0.45876381684467638) (-0.66532026904534336,0.74655806177244588) (-0.4895861715826515,-0.87195491890065135) (0.64746946646026593,-0.76209139215822308) (-0.13222500507513263,0.99121972742317888) (0.84526354428440542,0.5343496427469232) (-0.49810612944489241,-0.86711607285843084) (0.79858006248869684,-0.60188859749587242) (-0.98775556696364164,0.15600942257547798)
 (1,0) (0.9984452874078944,-0.05574054227370645) (0.17147041352237735,0.98518926977838384) (-0.72783762863979917,0.68574950698924519) (0.99063650008301218,0.13652591220453522) (-0.43556491552578719,-0.90015732200711041) (-0.070702085539563975,0.99749747623758722) (0.37208509403062184,0.92819862249424956) (0.22335715807438308,0.97473667210018045) (0.56683480053524093,-0.82383148088803515) (-0.90431722163727613,-0.42686105778137828) (-0.078073922529997009,0.99694757265403877) (-0.76882687940939731,0.63945698017740671) (-0.99025570927280482,-0.13926101483406508) (-0.2614058646100027,0.96522897487979253) (-0.99885140411956863,-0.047915263626166882) (0.98889891035908117,0.14858985527491894) (0.86752442898332061,-0.49739457688756872) (-0.2794730934426225,0.96015352420413036) (-0.44405016726674623,-0.8960019246354185) (-0.96602242757049339,-0.25845825471594308) (-0.41537553151470979,-0.90965002491005909) (0.82054727418305051,-0.57157866547900937) (-0.72997763367033963,-0.68347103401757314) (0.35887140240898247,-0.93338701326567097) (0.96714059729572233,0.25424213864439005) (-0.75693759041101338,-0.65348717219450292) (-0.49810612944489246,-0.86711607285843084) (0.99996633772132837,-0.0082050852642179262)
 (1,2.7755575615628914e-17) (-0.97922077176231248,0.20279714038718899) (0.31161544015597936,-0.95020830214032281) (-0.73343976114145926,0.679754453296747) (-0.99773890273103538,0.067209240265529491) (-0.99695925689810694,0.077924579467418736) (-0.87549133630896914,0.48323381509155072) (-0.30231334920658337,0.9532086019814856) (-0.42613359849934324,-0.90466024353344943) (-0.8530573317161867,-0.52181719864839637) (-0.77921976296513329,-0.62675079657273769) (0.019192097602555774,-0.99981581473270076) (0.080358573804329342,-0.99676602049635221) (-0.21279323203569048,0.97709725227318323) (-0.98764645517223881,0.15669869044031659) (0.99873896614552948,0.050204357406085698) (0.87106510494846168,-0.49116757114158593) (0.68393374158353348,-0.72954412966149484) (0.9976209725354952,0.068937617868142287) (0.85288018844561042,0.52210667890478124) (-0.76137080138801028,0.6483166686070776) (0.16053201916138418,-0.98703063317405149) (-0.33570598922181627,-0.9419668193734857) (-0.48577498649034345,0.87408389900529937) (0.96460309504730035,0.2637060276618039) (0.94172810344319746,0.33637505731739159) (0.96714059729572233,0.25424213864438999) (0.84526354428440542,0.5343496427469232) (0.032193091083725145,0.99948166810926264)
 (1,0) (0.17924611237312799,0.98380426467825355) (0.98154011452183443,0.19125638181368945) (-0.23208403539900008,-0.97269573891989214) (0.035054104199551489,0.99938541603265718) (-0.25536360459669416,-0.96684509071897451) (0.99420713006344097,-0.10748107987462646) (0.24157994549832656,0.9703809200169925) (-0.96319467902138389,-0.26880478103057048) (0.35041669258272445,-0.93659390429330869) (0.79747909763648717,0.60334657439393313) (-0.96118128445855133,-0.27591762974954892) (0.99896602637777787,0.045462931526603911) (-0.84824535963974601,0.52960344584380992) (0.9982814010547767,-0.058602425786914936) (0.94019070148764206,-0.34064856499943624) (0.46810430421766636,0.88367322035517937) (-0.99344485144957928,-0.11431241021132449) (-0.20266287189876211,-0.97924856923752812) (-0.9362276576789389,-0.35139404234706084) (-0.94667077970432811,-0.32220247493462806) (-0.70980555485568031,0.70439766772471546) (-0.9634436692750652,-0.26791098546681263) (0.71548419550867204,-0.69862891865231824) (-0.9989605834467904,-0.04558237290496811) (0.96460309504730035,0.26370602766180384) (0.35887140240898241,-0.93338701326567086) (-0.13222500507513268,0.99121972742317865) (-0.88051438647865865,0.47401942492276622)
 (1,0) (0.96065890485263927,0.27773092828730406) (-0.77877425207225903,-0.62730428366885327) (0.10279915467689937,-0.99470213320255574) (-0.80743908766769112,0.58995094686453975) (-0.2334520262615713,0.97236832087145164) (0.98494475285033256,0.17286941265763828) (-0.81716945969847654,-0.57639749664281137) (-0.18167645219392564,0.98335836128963072) (-0.99924883043951673,0.038752740099994243) (0.60710941978895949,0.79461824318568997) (0.65297832102251441,-0.75737659871072005) (-0.71966195709160896,-0.69432461249409494) (-0.99137310491354158,0.13107008374943491) (0.93248983640515215,-0.36119621399052892) (-0.21115446703358656,0.97745270527619987) (0.9117280869437574,-0.41079422522459619) (-0.82392166874045536,-0.56670370016432936) (0.37185207337189247,0.92829199906550119) (0.85375449477052501,0.52067577498778028) (0.56418601291824899,-0.82564771108954826) (-0.6544868738142553,0.75607336416834769) (0.97804585073657724,-0.20838981226769299) (-0.95481765380960171,-0.29719227441763679) (0.71548419550867193,-0.69862891865231835) (-0.48577498649034345,0.87408389900529948) (-0.72997763367033974,-0.68347103401757303) (0.64746946646026582,-0.76209139215822308) (-0.89457211640926226,0.44692362719267009)
 (1,0) (0.96868820206492123,0.24828042045282156) (-0.89534786539952727,0.44536748862541553) (-0.52957489766571586,0.84826318307606985) (-0.94786637735069956,0.31866805721324137) (-0.92459047336909861,0.38096253956931936) (-0.80384468716790214,-0.59483923787182857) (-0.64847420188324922,-0.76123663173278922) (-0.53146149315297908,-0.84708245247768277) (0.15808403155583312,0.98742566250176722) (0.47157278101166034,-0.88182714417788732) (0.81438647193228719,-0.58032290522921981) (0.92032882930784687,-0.39114555595692058) (0.8472405172979578,0.53120947454717715) (0.99964603632398341,0.026604549643777398) (0.12833020925135968,0.99173149460602594) (-0.10630963873999383,0.99433307332652476) (-0.59381515543250829,0.80460149215538079) (-0.07633242925473932,0.99708242399716895) (-0.94269169650361184,-0.333665049627829) (-0.68710940680000943,0.72655396433227115) (-0.57812368950009796,-0.81594914035054567) (0.95043220623576374,-0.31093185965709347) (0.97804585073657724,-0.20838981226769304) (-0.96344366927506542,-0.26791098546681258) (-0.33570598922181627,-0.94196681937348581) (0.82054727418305051,-0.57157866547900937) (-0.4895861715826515,-0.87195491890065147) (0.99697543239842445,0.077717354522486848)
 (1,0) (-0.95818250040906494,0.2861578164402156) (0.51204663925887484,-0.85895764693242649) (-0.90126979469309121,-0.43325830306397212) (-0.91699125255381886,0.39890731096305876) (0.81079795661093212,-0.58532612580982268) (0.50597936226700946,0.86254558427938754) (-0.70567414500565706,-0.70853652063287098) (0.75163636732629291,0.65957772196499576) (0.99183051864025895,0.12756262106822164) (0.98557913198638736,-0.16921517246676948) (0.99985967033798029,-0.016752302278363551) (-0.76301323573409041,0.64638286030385483) (0.40807779144486073,-0.91294715954949135) (0.9843826533987714,0.17604201682437409) (-0.27024380105733536,-0.96279192351726905) (-0.70046534813722383,-0.71368641297070912) (0.81125033905635568,0.58469897159217521) (-0.90837295557350495,0.41816094220127187) (0.96728900337871804,0.2536769282820292) (-0.0089301455691894183,0.99996012545506652) (-0.84119560526046144,-0.54073094389953791) (-0.57812368950009785,-0.81594914035054555) (-0.6544868738142553,0.75607336416834758) (-0.70980555485568042,0.70439766772471568) (0.16053201916138415,-0.98703063317405149) (-0.41537553151470974,-0.90965002491005909) (-0.66532026904534325,0.74655806177244599) (0.10818924985569761,0.99413031651572736)
 (1,5.5511151231257827e-17) (0.10382985715474091,0.99459507376782563) (0.98336693841357947,0.18163002074300344) (0.062615265231731831,-0.99803773904595383) (-0.94469855185086415,0.32794000385875577) (-0.5012874015942238,-0.86528084516121773) (-0.83713887620083072,0.54699040389499598) (0.98124802735690564,-0.19274934191374421) (0.73702518424907781,-0.67586528079389718) (-0.023891533439234558,0.99971455657598685) (-0.95449782064532496,-0.29821789078344269) (0.88154915966735181,-0.4720922357863836) (-0.085630023906556607,0.99632700405326935) (0.95367065841310228,0.30085258064693399) (-0.97513176022673997,-0.22162592401860315) (-0.99802197488428313,-0.062866029364638087) (0.74195596930137886,-0.67044861072124828) (0.071792248314916485,0.99741960732777324) (0.96728234169546568,-0.25370232841686241) (0.99787850950373747,-0.065103611809175621) (-0.99379939218008584,-0.11118798542330044) (-0.0089301455691895848,0.99996012545506663) (-0.68710940680000943,0.72655396433227104) (0.56418601291824921,-0.82564771108954815) (-0.94667077970432811,-0.32220247493462822) (-0.76137080138801039,0.6483166686070776) (-0.96602242757049339,-0.25845825471594308) (0.88855824814927231,-0.45876381684467621) (-0.25075752440933502,-0.96804992843969651)
