# Created by Octave 5.2.0, Sun Sep 19 09:57:10 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.5722268417728117e-13


# name: H
# type: complex matrix
# rows: 65
# columns: 65
 (1,0) (1,5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,0) (0.99999999999999989,0) (1.0000000000000002,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (1,2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1.0000000000000002,-2.7755575615628914e-17) (1.0000000000000002,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1.0000000000000002,1.3877787807814457e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,-6.9388939039072284e-18) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (0.99999999999999989,-2.7755575615628914e-17) (1,-3.4694469519536142e-18) (0.99999999999999978,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,0) (1,0) (1.0000000000000002,0) (0.99999999999999989,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999978,0) (1,0) (1,1.1102230246251565e-16)
 (1,-5.5511151231257827e-17) (0.9285241798877093,0.37127193182875662) (-0.98944739773865908,-0.14489253641301353) (0.16569599991731643,-0.98617687846116153) (-0.84457239046994348,-0.53544138545305309) (-0.8225588938334959,-0.56867993298112363) (0.36529788158466464,-0.93089067978455797) (-0.825810364041761,-0.5639479077372429) (-0.26663918251606172,0.96379642370532093) (-0.41772602321727115,0.90857304028189412) (0.91168717766857454,-0.41088500833531094) (0.99562658665578097,0.093422159813178918) (0.29646494344066981,0.95504373581041846) (-0.79992778852861846,-0.60009626989318487) (-0.19180820887992089,0.98143242814076392) (0.89942343990868689,0.43707834050982886) (0.65830760923695253,0.75274902299553159) (-0.80351196579953887,0.59528860296242925) (-0.40760959041400369,-0.91315629648079866) (-0.92264941232017983,-0.38563980855874691) (-0.23082922816481688,-0.97299427923541004) (0.18399550172633594,0.9829270854669101) (0.96253105885889401,0.27117146002479015) (0.057671876807860678,-0.99833559218604417) (-0.28188130586004623,-0.9594492844369813) (0.78418487376297985,-0.62052726270595016) (0.59911381679203546,0.80066387112750337) (0.88557229068198051,0.4645015801655249) (-0.77200398088502464,0.63561769444979643) (0.66725050342425507,0.74483338115318021) (0.7099129398920313,0.70428944175946095) (-0.9805246776977905,-0.19639591753813007) (0.1622085171321187,-0.986756503383585) (0.27076318311440795,-0.9626459882375008) (0.92396248039547546,-0.38248311704105359) (-0.9840728139748196,0.17776584822648372) (-0.38323626056664589,-0.92365034974653304) (0.98645960632041763,0.16400440572791819) (0.8492654138810386,-0.52796615117398193) (0.84330730595153403,-0.5374316586588157) (0.91531256799402483,0.4027442151939421) (-0.99352200542793101,0.11363989057748303) (-0.41396471444050881,0.91029292823694297) (-0.99791146838206291,-0.064596449372658182) (-0.7438899188572613,0.66830216865018222) (0.53543205076362277,0.8445783083971915) (0.71714251374585625,0.6969265491988913) (0.36837534662368859,-0.92967715041291488) (-0.67440401020098728,0.73836253360041604) (-0.55938126084690132,0.82891049276344153) (-0.97265231045301337,0.2322659746291193) (0.98638281309136944,0.16446563786383073) (0.66442642635877103,0.74735368063328156) (-0.0047566712716696213,0.99998868697521459) (0.29599842529510523,-0.95518842760097245) (0.5446682739039177,-0.838651579264313) (-0.6411261854201814,-0.76743547896130526) (-0.72644430383064384,0.68722534399715673) (-0.96802772852089136,0.25084321161770495) (-0.81622189270372358,-0.57773854109895695) (-0.67034179561595919,-0.74205247594113655) (0.91630666145037099,0.40047734290678078) (-0.54803290154897655,-0.8364567764205213) (0.10612282092265718,0.99435302930066904) (-0.50190843476179292,-0.86492076117698069)
 (1,0) (-0.78715491964689366,0.61675532626455076) (0.86821163043050853,-0.49619407975629704) (-0.66919459024729799,-0.74308720913749504) (-0.30838847817248671,-0.95126050403160178) (-0.99220540349737973,-0.12461315047217703) (-0.066091352295980621,-0.99781357635165913) (-0.071819125118415261,-0.99741767242576218) (0.17502337477253765,0.98456427839081773) (0.94136355137178707,-0.33739393021910946) (-0.86112377476609259,-0.50839536242239258) (-0.19468652957654242,0.98086551331028171) (-0.9497458406932533,-0.31302210478793013) (0.64602097996636942,0.7633196535156761) (0.20686229211105694,0.97837006909581969) (-0.38908720547618897,-0.92120092625590111) (-0.96649701506430608,-0.25667785232034945) (0.67458851326689839,-0.73819397028718359) (-0.86196887165293301,0.50696120591359806) (-0.87668438817978256,-0.48106598666070777) (-0.7720250794690009,-0.63559206781620781) (-0.10761538576719748,0.99419260143403676) (-0.81656342700112838,-0.57725572295489036) (0.65386285036240577,0.75661309327551973) (0.29337318639210908,-0.95599799869358582) (0.90923010964929563,-0.41629389583217508) (-0.70667763584532817,0.70753566623602615) (-0.93359383768581417,-0.35833301025034436) (0.31463033190853007,-0.94921428257434504) (0.62667614964407015,-0.77927979793350444) (-0.83825874060679673,-0.54527266921816975) (0.99783004941888698,-0.065842178553729203) (-0.63219521599632678,-0.77480914351300567) (0.8208616059603312,-0.57112715209507137) (0.91811157787198749,0.39632200365032738) (-0.045378503708955964,-0.99896986511162433) (-0.99893253780141256,0.046192909863195464) (0.95614409615997131,0.29289668379555156) (-0.13394478300177592,0.99098879666049067) (0.56281601181363172,0.82658220211071409) (-0.36434397463534041,0.93126444587288026) (0.73551799809810836,-0.67750518409363591) (0.6684130899051155,0.74379025352816808) (0.5257068347961702,0.85066581208403558) (0.14100725572198114,0.99000856250527192) (0.71711699790646288,-0.69695280422251105) (-0.74391438574285706,-0.66827493345540678) (-0.10318722524318458,0.99466195088915155) (-0.99737841103588565,-0.07236231892035494) (0.95858521326318269,0.28480587935149482) (0.63326141465205321,0.77393796955110072) (0.4409109739383591,-0.8975508414907355) (-0.99936260908658814,0.03569839715796469) (-0.19490985555708856,-0.98082116015444698) (-0.73864710381968191,0.67409232010073872) (0.98583770939116111,-0.16770214889019169) (0.39478380858570372,-0.91877404429955833) (-0.59957721298229394,0.80031691577298592) (0.46657102091282782,0.88448373780661549) (-0.77594256631423131,0.6308035619602077) (-0.91827694097200196,-0.39593870697255895) (0.97943141263797751,0.20177737221496284) (0.93665875228440387,0.35024331795056973) (0.15984131254390127,0.98714272261119507) (0.10612282092265701,0.99435302930066927)
 (1,1.7347234759768071e-18) (0.46771297537281631,-0.88388040631519138) (-0.40125501894758686,-0.91596638026150934) (-0.96979121724802686,0.24393645678452966) (0.99809277324106971,-0.061731807068564404) (0.9219446569053289,0.38732163585799717) (0.82238050988780342,0.56893786739562024) (0.8024884463597699,0.5966676574602332) (0.29966958197782334,-0.95404305020121438) (-0.35352296426002439,0.93542584620097269) (-0.61410281850299275,-0.78922603118921553) (-0.66925223161945147,0.74303529557645187) (-0.00127182866475079,0.999999191225597) (0.87639163105000317,-0.48159911651239135) (0.39220995462277142,0.91987572611456758) (0.93926843821462824,0.34318333434747866) (-0.84783329147630415,-0.53026286864578398) (-0.26838721400433979,-0.96331111452063578) (-0.41404680781727099,0.91025559099427) (-0.029427261224115542,-0.99956692437117389) (0.9304111034146858,0.3665176375601415) (-0.81962029430114725,-0.57290712438378799) (0.88291711379508409,0.4695288810794912) (0.71134181314606226,0.70284623131242108) (-0.77839809431268581,-0.62777098274002718) (-0.96500379394121172,0.26223591988716488) (0.56905823103174347,-0.82229722709919362) (0.19534591312505215,0.98073440554787261) (-0.21432783971194788,-0.97676178115465284) (-0.29945464395143301,-0.95411053668635304) (-0.0057709513889518966,-0.99998334792138743) (0.77119633469535165,-0.63659737146210027) (-0.97939319726927254,-0.20196278157787195) (0.29921934592098837,0.95418435484271935) (-0.77960670449791447,-0.62626941990001561) (-0.32887747177824178,0.94437260049026905) (0.32628290777922453,0.9452721640306212) (-0.22297217359836158,0.97482480979959829) (-0.15203405665228517,-0.98837525546618632) (0.9471010826496451,-0.3209354128853189) (0.9970406053519667,-0.076876727813972007) (-0.93399327796662912,-0.35729057742004833) (0.97777226661281968,-0.20966972753077698) (-0.84666566260658338,0.53212522564050191) (-0.38171350368839896,0.92428069389224288) (0.56478686042655357,0.82523681588348685) (0.10608641633470893,-0.99435691392440118) (0.3478950511805165,0.93753348386289992) (-0.8133291052139463,0.58180389016564782) (-0.7162463831452115,-0.69784748952145903) (-0.16002918792010762,0.98711228288053943) (0.91543022554894271,-0.40247671007328134) (-0.16305832561479966,-0.98661643126784504) (-0.99716074452427461,-0.075302387610187524) (-0.20910350013617299,0.97789351477080677) (0.99835200369321775,-0.057387078003127798) (-0.72611604951622799,0.68757216540152866) (0.97001421221378525,-0.24304820119323853) (-0.87961478494787215,-0.47568669321425161) (-0.97207760693751877,-0.23465959620400573) (0.25694688473787347,-0.96642552657900249) (-0.79889188928725019,0.60147464554297514) (-0.96363329335235515,0.26722813463947587) (0.93665875228440398,0.35024331795056973) (-0.54803290154897666,-0.83645677642052152)
 (0.99999999999999989,0) (-0.81941472373514634,0.57320110827357396) (-0.35103828826029454,-0.93636110565063668) (0.32743519239171842,-0.94487363958542003) (-0.78246717381994557,0.62269183541638529) (0.90146394525149898,-0.43285419648145013) (0.21735917350509149,0.97609169123253137) (0.97727691679470141,0.21196657260106239) (-0.081448851137273293,-0.9966775228971595) (-0.96753749860201899,0.25272749909526721) (-0.86885045215799184,-0.49507463254023898) (0.99992410198962189,0.012320318999480162) (0.84801240733697192,-0.52997637400411945) (0.33903629112334166,0.94077329538062926) (-0.96362765830442354,-0.26724845397257668) (-0.80842462431983386,-0.5885997169497581) (-0.97766536379989111,-0.21016763886485051) (-0.48056294086488716,0.87696023847566229) (-0.11131134235033882,-0.99378558304302544) (0.1672000531470455,0.98592299000866424) (0.31233438952382009,-0.94997222544702986) (-0.71775449006220793,-0.69629626740026396) (0.99437377842390129,-0.10592822467583307) (0.42984816434182194,0.90290118817729237) (0.47692171994116261,0.87894577366772952) (0.55576436425673892,-0.83133986517085956) (0.9467781856898152,-0.32188673023581094) (-0.097491108426160517,0.99523639592703694) (0.95372441264644703,-0.30068213236271502) (0.3583539418730215,0.93358580341823283) (0.49121569233887541,0.87103796909207076) (-0.71657233139700394,-0.69751279119186205) (0.99860317868955861,0.052836460054674461) (-0.49100087463124142,-0.87115907910745904) (-0.99323943944223436,0.11608365921384547) (-0.8810388369386386,0.47304393855730997) (-0.49846556207514181,0.86690950128898292) (-0.91616521159771158,-0.40080082966246516) (-0.96924082933001765,-0.2461142311197371) (0.99021546642257452,-0.13954687405141594) (-0.61926536227011597,0.78518176946008) (0.37942259824360536,-0.92522348216097017) (0.19731178255781004,0.9803407879221695) (0.41997249096283457,-0.90753683497391535) (0.65412260399388067,0.75638853702595465) (0.39552644106404378,-0.91845459028697252) (-0.73104876427865317,-0.68232521882651653) (0.87408936649838831,-0.48576514837362106) (0.82195949470881968,-0.56954594990924212) (0.85110751721808742,0.5249914229155207) (-0.89922369376049183,0.43748914109922377) (-0.61694041120575815,-0.78700986589830568) (-0.84675748444100929,0.5319790997239785) (-0.40865301269974336,0.91268982420722933) (-0.57688603804429484,-0.81682464403907218) (-0.97923690877053937,0.20271920604994073) (0.98500855430289302,-0.17250550121699093) (0.8050691559196772,0.59318096242780516) (0.080864061006776788,-0.99672513946297769) (-0.99269877341039914,-0.1206198377941598) (-0.9966226780624603,-0.082117218484363819) (0.31350910123022396,0.94958519546474474) (-0.79889188928725008,0.60147464554297514) (0.97943141263797739,0.20177737221496281) (0.9163066614503711,0.40047734290678094)
 (0.99999999999999989,0) (0.9994988881034983,-0.031653952041889838) (0.6394293616365726,-0.76884984976069604) (-0.82292631753059031,0.56814811089674644) (-0.46760591204016083,0.88393705150598167) (0.8873106649677116,-0.46117218458462628) (-0.46686422494308749,-0.88432900860951602) (-0.031981729034691209,-0.99948845366414818) (-0.071392584100817863,0.99744829386560518) (0.99803901772835535,-0.062594880715750922) (-0.46163350501731437,0.88707074523142093) (-0.98017736433023472,-0.19812201910598956) (0.64475762340253873,0.76438707934155337) (-0.94701375287210654,0.32119301342197532) (-0.84462831326001453,0.53535316608715566) (-0.95207499851667887,-0.30586467138175005) (-0.48054876707652033,-0.87696800538060415) (0.66901315075321299,-0.74325056617486518) (0.94585554092655677,-0.32458788593927801) (0.12733243518277867,0.99186009646039464) (0.68735397599483039,-0.7263225947773464) (0.96121054859066801,-0.27581566539634206) (-0.80637681794564586,-0.59140208613079315) (-0.44436128856792401,-0.89584766853648401) (0.41567026577880162,-0.9095153820290125) (0.99996953780772213,-0.007805347949351199) (0.89375453972859975,-0.44855637629457212) (0.96723622161737355,-0.25387810380445597) (-0.84319558556893037,-0.5376069237622112) (0.99246470325989666,0.12253086461477697) (-0.0028798674520804091,0.999995853173131) (-0.66525979167496807,-0.74661195381575385) (-0.49931786905309095,0.86641887424286845) (-0.084888629421198014,-0.9963904458569397) (-0.96815632721729605,-0.25034641213549569) (0.76024941373016708,-0.64963130229610844) (0.96304221690397573,0.2693504937078734) (-0.27110303854192835,0.96255033244674226) (-0.84945176495913111,0.52766627617066486) (-0.74466923656805339,0.66743368817370285) (0.99055784801747015,-0.13709540375591422) (0.14140752851486427,-0.98995146895154285) (0.91951969067198391,0.39304393961298861) (-0.51928262089207633,-0.85460257408894769) (0.65224834024559486,0.75800534473502612) (0.11900001680692601,0.99289425217389116) (0.69304616766642224,-0.72089320255006195) (-0.65649419154691091,0.75433107881431405) (0.17816256435629618,0.98400106740896731) (0.41173026538612445,0.91130576019526599) (-0.99560967709982906,0.093602194766861546) (-0.76508307104732809,0.64393159139522571) (-0.23071906880830714,-0.97302040640894416) (-0.82387656572057977,-0.5667692691532098) (0.95250406578382862,0.30452586863068937) (-0.90003109472579168,0.43582568594185933) (0.96673365588243187,0.25578514144529158) (-0.2257601328400704,0.97418292041075771) (-0.99953232560460104,0.030579896524637329) (-0.2810327343922604,0.95969818286793096) (0.85512544883756481,0.51842112876536273) (-0.99662267806246008,-0.082117218484363791) (0.25694688473787342,-0.96642552657900238) (-0.91827694097200185,-0.39593870697255873) (-0.6703417956159593,-0.74205247594113677)
 (0.99999999999999989,2.7755575615628914e-17) (-0.897931822279741,0.44013457321299326) (0.75023300613942734,-0.66117352979304789) (0.99970978885799811,0.024090206754956239) (-0.64072780714728494,0.7677681141778625) (-0.25258746301744189,0.96757406617085984) (0.8084360150445844,0.5885840718018388) (-0.66141952792561332,-0.75001613854547022) (-0.82634504099446404,0.5631641618780947) (0.94482623940873389,-0.32757194221231722) (-0.24605585122582074,0.96925565155821303) (-0.25972040319982304,-0.96568385725439232) (0.8061843628358708,0.5916644092041714) (0.7790892375316012,0.62691304019172323) (0.82494889441699426,0.56520732620886904) (0.58273587700706642,-0.81266161324920794) (0.94702706630868916,0.32115375706779087) (-0.91940322297897037,0.39331630219949043) (0.86628389297474961,-0.49955201608292199) (0.71735224431508637,-0.69671066991693775) (-0.36539806664560065,0.93085135918236583) (-0.96552668364448069,0.26030409749078182) (-0.66675114736706353,0.74528042204575873) (-0.14511247475195432,-0.98941516547471808) (-0.011545973667945852,-0.99993334302445347) (0.88047457812008612,0.47409336346784714) (-0.99643452749711425,-0.084369617823019466) (-0.68353268294761405,0.7299199074846745) (-0.20926836895913248,-0.97785824624696194) (0.84095289556507224,0.5411083324443644) (-0.99767975798292974,-0.068081572478332353) (0.59363330241723988,0.80473567229320797) (0.16894183833387633,-0.98562602200853544) (-0.99923451967259458,0.039120003766359185) (0.96710700283136286,0.25436989812974858) (-0.723591566109684,0.6902284009332964) (0.9338637977892873,-0.35762886793234216) (-0.92158205570109697,0.38818360940377261) (-0.89913633657915415,-0.43766865119976106) (-0.37886556363304291,-0.92545171926633529) (0.40632192058016281,-0.91372999122062737) (0.46466376314847047,-0.88548720330488184) (-0.96445090244117782,0.26426209864526234) (0.9332119593342173,-0.35932636829989284) (-0.85602490147433818,0.51693458779215851) (-0.51490490485743434,-0.85724730326420739) (-0.18326519422860416,-0.98306351197893216) (0.9532928273407496,0.30204765408901862) (0.8137669213403731,0.58119136068270116) (0.91243261849757329,-0.40922697455282853) (0.99712016908608225,0.075837776877638624) (0.72162456547687748,-0.69228461379717787) (0.77017376941184557,-0.63783412021461272) (-0.48521528763971655,0.87439471901464882) (0.066902742509482055,-0.99775950160582827) (-0.049287129549963088,0.9987846508936371) (-0.91622122888048085,0.40067275893020482) (0.23349107571053326,-0.97235894481592422) (0.75911663042119293,0.65095463852558444) (-0.96872501599687166,0.24813674331275623) (-0.28103273439226034,0.95969818286793085) (-0.9926987734103988,-0.1206198377941598) (-0.97207760693751832,-0.23465959620400567) (-0.7759425663142312,0.63080356196020748) (-0.81622189270372358,-0.57773854109895706)
 (1,-5.5511151231257827e-17) (-0.97237986777485608,0.23340392615839523) (-0.60079627776189493,0.79940217201822295) (0.92147993164094277,0.38842597181831684) (0.9996400297878465,-0.026829290817176277) (-0.63220100466223628,0.77480442029202368) (-0.99991087728642492,-0.013350561197648436) (0.81820774452668721,0.57492267897218208) (-0.48121080648708636,0.87660490514258904) (0.7055678717045285,0.70864234873336618) (-0.19639880553983827,0.98052409923597716) (-0.27038013253649351,-0.96275364654180806) (-0.38122341702100837,0.92448293998041264) (0.78950887413744697,0.6137391446357493) (0.25189075131740718,-0.96775567650143612) (-0.90599283447403978,-0.42329302366291854) (-0.75677412675633982,0.65367646513560451) (0.60052998593744977,-0.79960223610865822) (-0.9914617316256914,-0.13039798588086021) (0.73635055421363238,-0.67660022266422315) (0.99880508854292716,-0.048871209323642473) (0.91023515527284715,-0.41409173151056372) (0.82268259149432033,-0.56850097066952232) (-0.98531459354391249,-0.17074879721214747) (0.49987980340145194,-0.86609478820238039) (0.96272875922965351,0.27046873414894357) (-0.69211496493195823,-0.72178727843959289) (0.99882829136241025,-0.048394672992468468) (0.52453779684317869,0.85138716203787346) (-0.013502661330005383,0.99990883491296723) (-0.74033960716035696,-0.67223304446423082) (-0.93932464482076905,0.3430294617555989) (-0.46373222851910328,0.88597540611052283) (0.98524210253588307,-0.17116658374423871) (0.49967950877292094,-0.86621036042779642) (0.85900420047616866,-0.51196853767033379) (-0.98001465536960253,0.1989253007055633) (-0.68445950382822063,0.72905088136509844) (-2.2764881490333622e-05,-0.99999999974088039) (0.74494778930988159,-0.66712277071189885) (0.556371408248442,0.83093372544604616) (-0.30640696875602541,-0.95190060904368812) (-0.95706204974261277,-0.28988313669902982) (-0.68313270232592171,0.7302942633027345) (-0.14412533132744521,-0.9895594418071878) (0.98825050482243848,-0.15284285955907501) (0.37625339472699332,0.92651680122727065) (0.91186100523407787,-0.41049909516769617) (0.41781754500891732,-0.9085309565902091) (0.56288800168076047,-0.82653317995337583) (0.29439996092306286,-0.95568230234136842) (-0.93057045539871253,0.3661128617503534) (-0.85948486950442415,0.51116118699776458) (-0.96432495995032375,-0.2647213093364541) (-0.98178551341302533,-0.18999264631117313) (0.99963576651047736,0.026987669647652424) (-0.30332800740209542,0.95288620512917244) (0.21341837081007697,0.97696089942268016) (-0.59224329760835004,-0.80575919258671069) (0.75911663042119293,0.65095463852558444) (-0.99953232560460081,0.030579896524637329) (0.080864061006776733,-0.99672513946297747) (-0.87961478494787193,-0.47568669321425144) (0.46657102091282776,0.88448373780661527) (-0.96802772852089114,0.25084321161770484)
 (1,-3.4694469519536142e-18) (-0.80570610896998707,-0.59231551217948253) (-0.98668335355395054,-0.16265288137481457) (-0.48493125081783578,-0.874552275155836) (0.34598836784172426,0.93823880186134856) (0.67368028248893075,0.73902292047380602) (-0.2560189872089027,-0.96667175307263786) (-0.64783233316713329,-0.76178295340813906) (0.90694116985759921,-0.42125730191573957) (0.37488117393601894,0.9270728695352658) (-0.81521339014529393,-0.57916071044902195) (0.51824161941088609,-0.85523425089877103) (-0.94884914525470565,0.31572978882172992) (-0.96036032896312995,0.27876161599802252) (0.89451424460846463,-0.44703944590220074) (-0.81949682707861704,0.57308372024345589) (0.027936450824256991,0.99960970119109183) (-0.45670727876026507,0.8896170308213488) (0.88797181302398021,0.45989787918069913) (-0.71075685080686313,-0.70343777196786161) (0.66127288168474663,0.75014543653104371) (0.019609458701363654,-0.99980771607816588) (-0.99488199517622,-0.10104363252666454) (0.28923489024066418,0.95725815654266977) (0.13893552219598973,-0.99030142919826569) (-0.10738882723645982,0.99421709891993781) (-0.11470967634468285,-0.99339905886451163) (0.027788627713787518,0.99961382151798206) (0.88529387951137839,-0.46503198481361763) (0.51556265665561218,-0.85685188163544734) (0.86666393491090021,-0.49889239714066069) (-0.3730955897505514,-0.92779290841689843) (0.06629081647198086,-0.99780034458376343) (-0.53191144541683466,-0.84679998478659291) (-0.95204496865495447,0.30595813056492904) (0.56304380614819549,-0.82642705204885081) (0.62662987588303476,0.77931700780286572) (0.97632358542790465,0.216315178702746) (0.43605416670060171,-0.89992042076121559) (0.3087324876333904,0.95114891109631095) (-0.99806150520815073,0.062235294019073281) (0.43527813801895826,0.9002960305159341) (-0.93271003476445413,-0.36062721895288347) (-0.81832974727418406,-0.57474901020025104) (-0.27026750577066921,0.962785269582216) (-0.89777838783450381,0.44044746149487279) (-0.64390142613135692,-0.76510845860309507) (-0.97012207100948,-0.24261732695806645) (0.54022723316517562,-0.84151918370688228) (-0.2884083499426407,-0.95750750581045696) (0.57860744602335301,-0.8156061693037463) (-0.65757471875531215,0.75338933444393219) (0.74996110606634658,0.66148192672796591) (0.27465161710031283,0.96154380515095783) (0.73248616883699291,-0.68078191255533826) (0.85247385133740838,-0.52276986598881614) (0.40357668524173229,0.91494582305691541) (0.19467698133438316,0.98086740843935227) (0.21341837081007695,0.97696089942268038) (0.23349107571053326,-0.97235894481592444) (-0.22576013284007038,0.97418292041075771) (0.80506915591967732,0.59318096242780527) (0.97001421221378514,-0.24304820119323856) (-0.59957721298229394,0.80031691577298592) (-0.72644430383064407,0.68722534399715673)
 (0.99999999999999989,0) (-0.41937362038094056,-0.90781372898220891) (-0.033793207562010347,-0.99942884645314856) (0.88547029524299159,-0.46469598259753608) (0.72869080877108239,-0.68484283248972233) (-0.84644375415305673,0.53247814138730565) (-0.9239794474877725,-0.38244212715153442) (0.89026178272970724,-0.45544918290729558) (-0.94834094097291222,-0.31725299001681773) (0.68439420360484093,-0.72911218209003714) (-0.050009700658835303,-0.99874873208430837) (0.10170020772328348,0.99481509224028219) (-0.53906711550397601,-0.84226281229923894) (-0.4712768742642332,-0.88198532175072775) (-0.61954465235375611,0.78496141544655762) (-0.73403111614122785,-0.67911583734769698) (0.54061629817025225,0.84126928991417105) (-0.091967611078359046,0.99576199892973427) (-0.68796268862634824,-0.725746056867005) (-0.060610476517677113,0.99816149501786544) (0.96487195115872315,-0.26272060799860802) (0.98878578615909729,-0.14934078173672416) (-0.86835872064173236,0.49593662123849391) (0.79352681678603243,-0.60853528331677498) (-0.98411454232835505,-0.17753469401176911) (-0.22567333982921314,0.97420303001496) (0.97526819737267689,0.22102475696955129) (-0.90260001221956776,0.43048021782799245) (-0.041050496670417706,0.99915707309867563) (-0.44082658334010094,-0.89759229242495919) (-0.87276784011950626,-0.488135531643756) (0.90770131023553358,0.41961688645322115) (0.8586082765883668,0.51263225354434561) (0.45521040345757802,0.89038389955343966) (0.19442956419711438,0.98091648195252623) (-0.96430182650015606,-0.26480556528982541) (0.5715281743321371,0.82058244311255801) (0.24274073075048969,-0.97009120067894616) (-0.9132937766787842,-0.40730145774328247) (-0.59838459227397789,0.80120901126304434) (0.75674244227732368,-0.6537131450844107) (-0.8356390354616926,-0.54927898413525045) (0.74242016816320244,0.66993454449261114) (-0.37050437062146996,-0.92883072265638811) (-0.80326713261634264,-0.5956189332604509) (0.89323145001488424,0.44959712710860045) (0.47778177977975711,0.87847855461046254) (0.90672801336344466,0.42171591122695523) (-0.98522964075259045,-0.17123829881928029) (0.34403660534946379,-0.93895623656250193) (0.22865100820880035,-0.97350845730537883) (-0.99952271965027462,0.030892279017869902) (0.73268900386492641,0.68056360732515064) (0.996339926523643,-0.085479534479678279) (-0.71095864307773882,-0.70323382159354453) (-0.55205476551095201,0.83380785309125471) (0.46921280637484974,0.88308512745591972) (0.40357668524173212,0.9149458230569153) (-0.30332800740209531,0.95288620512917233) (-0.91622122888048085,0.40067275893020488) (0.96673365588243176,0.25578514144529152) (0.98500855430289258,-0.1725055012169909) (-0.72611604951622766,0.68757216540152843) (0.39478380858570361,-0.91877404429955811) (-0.64112618542018118,-0.76743547896130537)
