# Created by Octave 5.2.0, Fri Sep 17 23:18:42 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
6.9290835252495789e-13


# name: H
# type: complex matrix
# rows: 50
# columns: 50
 (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1.0000000000000002,0) (1,5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (0.99999999999999989,6.9388939039072284e-18) (1,0) (0.99999999999999989,-8.6736173798840355e-19) (1,0) (1.0000000000000002,0) (1,1.1102230246251565e-16) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,6.9388939039072284e-18) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1.0000000000000002,5.5511151231257827e-17)
 (1,0) (-0.50297176343697358,-0.86430284344383757) (0.47894187974275088,-0.87784661292761312) (0.99663946206304332,0.081913263020651106) (-0.34154059596157976,0.93986702320605431) (0.32070095296517459,-0.94718049957081984) (0.95140585761411101,0.30793975725385203) (-0.83236162417551174,0.55423291728289459) (0.68014052563120087,0.73308175901062533) (-0.04653892739013693,-0.99891647710775944) (-0.985755262619465,-0.168186094009075) (0.097074121292793927,-0.99527715485448398) (0.99965549911444618,-0.026246582448941708) (0.97388574952393547,-0.22703864621293837) (0.73367856758815642,0.67949669569600801) (-0.7831607629317151,-0.62181928194951763) (0.85074218434529114,-0.52558323391771533) (-0.95966687530625849,-0.28113962445717894) (0.49379825689466539,0.86957649547799543) (-0.59768873218719243,0.80172824536526466) (-0.33866730082834018,-0.94090619051510727) (-0.99998967483744217,-0.0045442511489637016) (-0.91099146896257321,0.41242519743271594) (0.50010409686965107,0.8659652950864678) (0.89774498506268219,0.44051554092313983) (-0.9810029963778063,0.19399258000698077) (-0.68214150999952816,0.73122018594645499) (0.2185035781828629,0.97583614727129631) (-0.97697624806781269,0.21334809751047551) (-0.9021989995064067,-0.43132002653440582) (-0.2015171447959265,0.97948498730368472) (0.87173750072319012,-0.48997319297374464) (0.55453270038374358,0.83216193388373305) (-0.61552447099335528,-0.78811777394520988) (0.82319019766800505,-0.56776570736819709) (-0.88759868668845132,0.4606175977846913) (-0.9999873903114973,0.0050218739533282319) (-0.55785101343505228,-0.82994111044669117) (0.11238473818943956,-0.99366476772706946) (-0.84976768762706989,-0.52715735512742734) (-0.092533465409081445,0.99570957501642399) (0.64902775759220888,0.76076472701803799) (0.8512020458188585,-0.52483814380606231) (-0.13730697706181294,0.99052854277408264) (-0.79788372585928224,-0.60281138012558388) (0.84151394932969903,-0.54023538673760807) (0.63574430430449103,0.77189972117134498) (0.99580485406402253,-0.091502418670402541) (-0.98590787524831203,0.16728915542664294) (0.43937741505416061,-0.89830255879649312)
 (1,0) (0.55541102257651209,-0.83157597127412963) (-0.46398655059234645,-0.88584224378238841) (0.99200340464305536,0.12621111352249637) (-0.99970368073631599,0.024342364763153601) (-0.21834626347941674,0.97587135895289701) (0.98301144880515356,0.18354424948222137) (-0.66636261128227836,-0.74562783631317531) (-0.21774611650021289,-0.97600544504069009) (0.9488001640382161,0.31587695186741815) (-0.9452384293036209,0.32638062406892632) (-0.98225098631197372,0.1875713194738366) (0.92720055494088616,-0.37456525588649531) (0.65197854796049048,0.75823741202827133) (-0.063093154373432464,0.9980076421907853) (0.82104232691282231,-0.57086732032721665) (-0.33088613279417795,-0.94367068785912378) (-0.66188046966328695,-0.74960939420361228) (0.77354752448656017,-0.63373829564001849) (-0.3247455136705758,-0.94580143336264433) (0.1591113597495486,0.98726064197791807) (-0.69966961490203927,0.71446653524348669) (0.76784842438701695,0.64063156116942321) (0.16628128525496266,-0.98607836107175539) (-0.86659841489353351,0.49900619966491078) (-0.19274913369302837,-0.98124806825826905) (0.99494896343261807,0.10038207093081357) (0.075429400560853399,-0.99715114477747724) (0.62926677884083904,-0.77718937270608179) (0.22208347115254432,0.97502765696201432) (0.98124933165958916,0.19274270185304201) (-0.72203448087385846,0.69185707225496873) (-0.016029839091191166,0.99987151387501239) (0.99090647997215675,-0.13455239852633877) (-0.15037694897093234,-0.98862873376115856) (-0.99944190981287939,-0.033404624074865288) (0.80674239791306956,0.59090329446490031) (-0.49607695680138253,0.86827855722151759) (-0.80405066145195259,-0.5945607906839101) (-0.97740767487720748,-0.21136280914846439) (0.98143085802727226,0.19181624256525545) (-0.8765010998285756,-0.48139985666730017) (0.14245361488263059,0.98980147888698966) (-0.6450647463431658,0.76412791666397595) (0.94608879438759597,0.32390738357472582) (-0.36962211801697858,-0.92918216183514946) (0.14330328677520182,0.98967882062789603) (-0.32904101653359308,0.94431563019921538) (-0.6553270413133272,-0.75534526471245012) (-0.98590787524831192,0.16728915542664305)
 (1,0) (0.35129532988747741,0.93626470145960838) (0.30925619343469524,0.95097876255060654) (0.23031915276055809,0.97311514625539663) (0.5997459778806995,-0.80019045358959751) (0.45306824380487309,-0.8914758361591002) (0.64515471131332502,-0.76405196058266867) (0.97256765328451811,-0.23262020502236724) (-0.258628041764422,0.9659769852398673) (0.99520371149019859,-0.097824192489048334) (0.79094193173256888,0.61189121633436505) (-0.067114817712400576,-0.99774525869253494) (0.99890231049063472,-0.046842012088231744) (-0.90266048108224983,0.43035340813378681) (0.20353281833317169,-0.97906812421881961) (-0.78474095752632667,0.61982386980549853) (-0.54627738115316715,0.8376043354952486) (0.11555965145414435,-0.99330054210988727) (-0.47863452457861372,0.87801423216335517) (0.12201342198119219,-0.99252845040151838) (0.87363964560167773,-0.48657349869570421) (-0.012832865819691786,0.99991765538710897) (-0.4950564381175514,0.8688608191640157) (0.33318628231919128,-0.94286101906607389) (-0.71127436994867899,0.70291448317282001) (-0.8527321712628334,0.52234839340556405) (-0.74862957391276175,-0.66298850748953297) (0.04833128998650793,-0.9988313603447988) (0.028575967678661385,-0.99959162364999365) (0.96211171424643804,-0.27265555066746761) (0.98920977962120005,0.14650601319323697) (-0.98876762949647679,0.14946094760812573) (0.92603921385404608,0.37742731009371921) (-0.88748330700249967,0.46083986350131179) (-0.84153846204508931,0.54019720186130615) (-0.44534629903858847,-0.89535840529512734) (-0.98076208980357904,-0.19520687284037083) (-0.20695669433991595,0.97835010434296898) (-0.6968667849282888,-0.71720058844350532) (-0.20918918298091399,-0.97787518923622263) (-0.4561949021533821,0.88987988585497679) (-0.33839797212354356,-0.94100308844481195) (0.99306894296297887,0.11753329112380861) (0.98676407998168258,0.16216241999274952) (-0.998510396083093,0.054561789871542477) (-0.99735265022599373,0.072716511791931948) (-0.62200526451328564,0.78301305922555198) (-0.067298604017522912,-0.99773287902990049) (-0.32904101653359308,0.94431563019921561) (0.99580485406402264,-0.091502418670402541)
 (1,-5.5511151231257827e-17) (-0.42177592284886095,-0.90670009976010835) (0.97317967753213741,0.23004633280807912) (0.14031054077570521,0.99010754574805127) (-0.97849117739229907,-0.20628867095755288) (-0.48775188525049351,-0.87298230132952137) (0.76745470851318331,-0.64110316672197465) (-0.203973681518688,0.97897637216008093) (0.77776026744329196,0.62856102837078387) (0.95334217155597833,0.30189187457255701) (-0.9868034120055007,-0.16192290157448291) (0.74950054785620757,-0.66200372262038121) (-0.001784312234847707,-0.9999984081136577) (0.98307129419520678,-0.18322344426781839) (-0.92344894171182057,-0.38372132081931781) (-0.82356013312824938,0.56722897239278813) (-0.42639915902896891,0.9045351055538895) (0.81603952227610588,-0.57799610559534342) (0.95263714710673275,-0.30410929935196607) (-0.33297015639701083,-0.94293736533714068) (-0.9913595943088741,0.13117223323457788) (-0.91632637761808322,0.40043222857472455) (-0.31518426347123429,-0.949030494799874) (-0.99632046091835447,-0.085706120874992742) (0.7754859329367495,-0.63136484524973158) (0.63476913142654945,-0.7727018505141442) (0.28855310590091521,-0.95746389230870577) (0.5614637084689309,-0.82750136197610913) (0.074949620913382975,0.99718732158252921) (-0.53640010262061089,0.84396382026044181) (-0.018384065534275518,0.99983099878651005) (0.96286028472167007,-0.27000013352904512) (-0.60215197300862788,-0.79838148863924419) (-0.18336079318091947,-0.98304568536974091) (-0.54777003491601794,0.83662894334830473) (0.57537666650829045,-0.81788855697937657) (0.36622814440434337,0.93052509168004249) (0.29904838832368774,0.95423794801978201) (0.91603460283964244,0.40109924756900195) (0.12381845024168181,0.99230488831797425) (0.99965024278533909,-0.026446022370325839) (-0.99008148739416635,0.14049429995324897) (-0.72159835432464647,-0.69231193477793163) (-0.34024582146854454,0.94033652538503221) (-0.62040897891472069,-0.78427845748942593) (-0.86094335673546007,0.50870083201531857) (-0.62108203736086398,-0.78374556003059848) (-0.62200526451328564,0.78301305922555187) (0.14330328677520199,0.98967882062789614) (0.63574430430449103,0.7718997211713452)
 (1,-4.3368086899420177e-19) (-0.98691655769293907,-0.16123184595953599) (-0.68384407042963102,0.72962818430912668) (0.84314339444107533,-0.53768877281414662) (-0.78130436043229068,0.62415021939392845) (0.34061786366629593,0.94020182458417256) (-0.88115991885465983,-0.47281835561243729) (0.56001471505951617,0.82848266060118037) (-0.14591055161133615,0.98929778678033697) (-0.2461228463893827,-0.969238641659105) (-0.91864543600974058,0.39508298229419181) (0.58262741428707343,0.81273937773505178) (-0.06072884481542188,-0.99815430040018471) (-0.89687127882795792,-0.44229165627841605) (0.94954576774947352,-0.31362849830502393) (0.98329082503212406,0.1820416254806746) (0.45071432130127465,0.89266824776841347) (-0.15569833041511943,-0.98780465169280429) (0.90314767646292848,-0.42933002981344381) (0.5228680387136635,0.85241364025437982) (-0.0040205122099393285,0.99999191770812401) (0.53285029571822928,-0.84620952627171153) (-0.14758958417771995,-0.98904869174487409) (-0.15477272323676822,-0.98795010205064193) (-0.94280811504902262,0.33333595395293136) (0.18843658622366841,0.98208535931066898) (0.84907045857458907,0.52827961949704139) (0.68994059044316547,-0.72386599703186616) (0.48001433620661493,0.87726064372917212) (-0.48895250645549021,-0.87231040715498287) (-0.99365027984823184,0.11251276086530053) (0.98098978897084799,0.19405935673120456) (0.9852063947635803,-0.17137199221852328) (0.58125706425301915,0.81371999192348832) (-0.99508164788118492,0.099058134699086059) (-0.7038609468601873,-0.71033778407535031) (0.27037375630172816,0.96275543722343804) (-0.27421578045116701,-0.9616681890088481) (0.47758138940103784,-0.87858751214535935) (-0.9962918585159255,-0.08603797216859646) (-0.61114105491333515,0.79152170595594884) (0.99904170045045437,-0.043768490504740555) (0.0045131977157756523,0.99998981547132659) (0.020604784811750879,-0.99978769888554953) (0.11213798806913153,-0.9936926444488795) (-0.85199696789083335,0.52354671874134118) (-0.8609433567354603,0.50870083201531857) (-0.99735265022599362,0.072716511791931907) (-0.36962211801697858,-0.92918216183514957) (0.84151394932969914,-0.54023538673760818)
 (1,0) (0.043669225835125114,-0.99904604434178212) (-0.94319010480829624,0.33225355707910348) (-0.98640913396028229,0.16430770048822291) (-0.34438053038302074,0.9388301498637075) (-0.22129561264956527,0.97520677388031474) (-0.51084687936011619,0.85967171981404167) (0.88894388103614697,0.45801613112247042) (-0.71676729806277772,0.69731244103901147) (0.78345243124132402,0.62145175837071787) (-0.47153272890277187,0.88184856158725056) (-0.25880597301638486,0.96592932884918936) (0.077413012532367487,0.99699911007516206) (0.27723463808709697,-0.96080224575336803) (0.20371316194394945,-0.97903061629900046) (-0.60361526532338694,-0.79727574368506771) (0.97999128176893735,0.19904041714405041) (0.3784607998737316,-0.92561731993245155) (0.99479539222753866,-0.10189272595655385) (-0.69439666159583302,0.71959243767882963) (0.94765218404387586,-0.31930445984494649) (0.54742287420538704,-0.8368561386503135) (-0.64998713261106822,0.75994521344636534) (0.99489042552415063,-0.10096059231391147) (0.76529033241016597,-0.64368525470103655) (0.99936472379606844,0.035639147464664678) (-0.425000253127918,-0.90519323066470458) (-0.78766459890910612,0.61610427658421574) (-0.89884330177029981,0.43827014370439021) (0.49340588297586219,-0.86979919213851276) (0.96568328138741211,0.25972254436001568) (-0.99853729211124009,0.054067330830674498) (-0.17727212213399418,0.98416187424331203) (-0.26148128060181103,-0.96520854735898209) (0.60784590962406881,0.79405500448853461) (0.99997411657549384,-0.0071948717195274292) (0.21346800947433126,0.97695005447109029) (0.95684323209386235,-0.29060459252422732) (-0.91887949480994147,-0.39453830488030783) (-0.99859200341715049,-0.05304724979978731) (0.68129282078370945,-0.73201099195884956) (-0.86686734458902814,-0.49853887199010583) (0.99967257779146057,-0.025587833276331295) (-0.76229434098287951,-0.64723051357725525) (-0.94524452370482648,0.32636297339930764) (0.11213798806913144,-0.99369264444887939) (-0.62040897891472069,-0.78427845748942604) (-0.99851039608309311,0.054561789871542421) (0.94608879438759619,0.32390738357472598) (-0.79788372585928236,-0.602811380125584)
 (1,0) (0.92232457451595073,0.38641607011609957) (0.99460850268395518,-0.10370113976607148) (0.61870214211285157,-0.78562564834975424) (0.44709994028776651,0.8944840095802028) (-0.99951866013122881,-0.031023346845110378) (-0.11062348442859998,-0.99386238720100217) (0.64290999340709698,0.76594173432271573) (-0.79512404512768198,-0.60644682607776279) (-0.99443165677924461,-0.10538349014568757) (0.98151684096019298,0.19137578454841123) (-0.99827385220928588,0.058730877698474737) (-0.39996964555362147,-0.91652838615926857) (-0.81547324590320569,-0.57879476951341835) (-0.37182217610478613,0.92830397465307701) (0.22719141673754367,-0.9738501220212421) (0.96170165098666927,-0.27409840293134613) (0.98696146917210514,-0.16095669718791411) (-0.71418347649012581,0.69995854299270999) (-0.10826209911603546,-0.99412238577299283) (-0.97480771380394571,0.22304690338206001) (0.56738373124315999,-0.82345352116594117) (-0.47314127122790628,-0.88098657053376273) (0.89464002967748812,-0.44678766466708086) (-0.95767580356420279,0.28784901470677243) (0.029237687755539365,-0.9995724874238523) (0.13886383400392838,-0.99031148413301362) (-0.26145897275397278,0.96521459042351654) (-0.044973320802874639,0.99898818832655012) (-0.79320760433570303,0.60895130874645109) (-0.99741718854103611,-0.071825844950794138) (-0.62446956514500473,0.78104914199274766) (0.9605338238297948,0.27816321338184524) (-0.42497933230282442,0.90520305297510173) (0.99846411404116708,0.055402283093603233) (0.97839225117693995,-0.2067573525583053) (0.79045992389065389,-0.61251376206807084) (-0.11659291393315979,0.9931797885683008) (0.7374290285556856,0.67542462780344126) (-0.95116832713119737,-0.30867266393777038) (0.48055002549857917,0.87696731580676013) (-0.82318490851153558,0.56777337591582833) (0.77905920190268607,-0.62695036480629862) (-0.50972789747960667,-0.86033567317124537) (-0.76229434098287918,-0.64723051357725492) (0.02060478481175082,-0.99978769888554908) (-0.34024582146854454,0.9403365253850321) (0.98676407998168236,0.16216241999274955) (-0.64506474634316568,0.76412791666397584) (-0.13730697706181294,0.99052854277408253)
 (1,-5.5511151231257827e-17) (-0.78705510364693954,0.61688269859293832) (-0.72590331970549071,-0.68779675082145397) (-0.15894787839596008,-0.9872869754804966) (0.76940112394203597,-0.63876592776754659) (-0.27134793197772578,-0.96248132439617251) (-0.20485249071232697,0.97879285706882713) (0.6704111222309741,-0.74198984304976057) (0.99991299237411435,-0.013191197119506559) (0.89279397339867583,0.45046522736278477) (0.13640013189629585,-0.99065382653007061) (-0.98846284086921632,-0.15146356730500737) (0.22091876977323371,0.9752922111664184) (-0.71213498046075241,0.70204256965241618) (-0.94134163421444783,0.3374550750758909) (-0.61035108086587997,-0.79213102330728735) (-0.8951851207707231,0.44569451370945379) (0.13004342491831755,0.99150829932760254) (0.68524641857253699,-0.72831129734030264) (-0.96311009152960902,0.26910769515906868) (0.55778690071588943,0.82998420068683487) (-0.35052991846918619,-0.93655153422435022) (0.99918126466618151,0.040457389190218573) (-0.91451770166063995,-0.40454588534471841) (-0.14423587667728566,-0.98954333501829872) (-0.58505880995573456,-0.81099086856337621) (0.59894824234514488,-0.80078773903679568) (-0.21696937684686324,-0.97617841069688038) (-0.99611207605850449,0.088095016490232991) (-0.93827002428946837,-0.34590368821370215) (-0.83117796978427183,0.5560064590859517) (0.54627736542120653,0.83760434575547982) (0.051068995629635183,0.99869512749656453) (-0.8683592370500397,0.49593571703384687) (0.95456723556158862,-0.29799562545833386) (0.53203516965944164,0.84672225566914672) (0.34385912382730499,0.93902124734252901) (-0.18101969107117352,0.98347947179618223) (0.0916106190213552,-0.99579490583278396) (-0.91642337288711628,0.40021019680438141) (-0.96411122033815388,-0.26549869080294319) (0.9746898888060308,0.22356122351447033) (0.96195375872780409,0.27321230951304754) (0.77905920190268607,-0.62695036480629862) (0.99967257779146035,-0.025587833276331351) (0.0045131977157757963,0.99998981547132648) (-0.72159835432464647,-0.6923119347779314) (0.99306894296297865,0.11753329112380856) (0.14245361488263059,0.98980147888698966) (0.8512020458188585,-0.52483814380606231)
 (0.99999999999999989,-5.5511151231257827e-17) (0.025488506012694423,-0.99967511525557096) (-0.37759542166988574,0.92597067854978055) (-0.17688116431766471,-0.98423221533824456) (0.73748626024871766,0.67536213688980373) (0.18502876351936687,-0.98273310551262738) (0.55699114758268176,-0.83051842936477105) (0.17055888991537393,-0.98534748442914177) (0.85805122816048196,0.51356410491027005) (0.47307486264158838,-0.88102223260065471) (-0.37277311355298992,-0.92792252144885845) (-0.70627141625908829,-0.70794116039073574) (-0.7786254141676483,-0.62748901537178869) (-0.10056242671187987,0.9949307505217726) (-0.86715274245808249,-0.49804228861355659) (0.63763161953990155,0.77034142934345751) (-0.61104441708441803,-0.79159631148076992) (0.93030367209741283,0.36679023662315324) (-0.99555326975262304,0.094200249919314138) (-0.36839848352096177,0.9296679823138233) (0.065394912983567477,0.99785946172588447) (-0.034640817604470187,-0.99939982677389483) (0.22868485671399849,0.97350050657906473) (-0.069219011394892727,0.99760148780037006) (-0.14510224086376175,-0.98941666637282555) (-0.2109569162642605,0.97749536033695406) (0.77866582366530412,0.62743886957665795) (0.56163869284665935,0.82738260720025758) (-0.11853609444740104,0.99294974410246817) (0.61353179046311979,0.78967002101581341) (0.89509013256399572,-0.44588524822712999) (-0.85299072840702306,0.52192606492841065) (-0.8178165527216037,0.57547900578088007) (0.98696828923793967,-0.1609148720247241) (-0.84180585911294958,0.53978041420850698) (-0.97394876496252525,0.22676817066768637) (-0.013498874484146051,-0.9999088860429528) (0.92479769524763811,-0.38045922628404794) (0.66210602925835582,0.74941017208183858) (-0.93186362327087457,0.36280874799882562) (0.23133023042685436,-0.97287528722373129) (0.1146874155016554,-0.99340162911359764) (0.97468988880603047,0.2235612235144705) (-0.82318490851153558,0.56777337591582833) (-0.86686734458902803,-0.49853887199010566) (0.99904170045045393,-0.043768490504740576) (-0.99008148739416613,0.14049429995324889) (-0.33839797212354344,-0.94100308844481184) (-0.87650109982857538,-0.48139985666730012) (0.64902775759220865,0.7607647270180381)
