# Created by Octave 5.1.0, Fri Sep 17 15:06:00 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
8.1584683107193273e-14


# name: H
# type: complex matrix
# rows: 18
# columns: 18
 (1,0) (1,-5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257839e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-8.3266726846886741e-17) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16)
 (1,0) (-0.93479044854551596,0.35519968652586553) (-0.91967014454870977,-0.39269176872676348) (0.081593096952259359,0.99666572456854252) (0.1756205949201384,0.98445792527659337) (0.78890167083835983,-0.61451944944683645) (0.99450223776671354,0.10471532398363845) (-0.96684604317490896,0.25535999842775287) (0.54050443857448194,-0.84134116259771896) (-0.76811923224619738,0.6403068366443635) (-0.8619180886345118,-0.50704754065533997) (0.053722348614561849,-0.99855591193449733) (-0.098760966393130423,0.99511118550496314) (0.34959824034331322,0.93689971200169397) (-0.30693247628967013,-0.95173129348503149) (0.7038624343526152,-0.71033631014274412) (0.90616179318256895,0.42293120548873009) (-0.73742945571236862,-0.67542416143321127)
 (1,-5.5511151231257827e-17) (0.44943156126296979,-0.89331476632860629) (-0.76412614453078376,0.64506684556293969) (0.40745636040807764,0.91322467901552185) (0.54050443857448094,-0.84134116259772107) (-0.99995899270521138,0.009056097833987975) (-0.2690317260852777,0.96313131522112672) (0.625634186107354,-0.78011657152876246) (-0.4157099037625695,-0.90949726547896514) (-0.76135520671496559,-0.64833498224915465) (-0.61793600055470366,0.78622840143208916) (-0.15540324413373099,-0.98785111819176152) (-0.83156922889943696,0.55542111730433619) (0.54050443857448149,-0.84134116259772052) (-0.15946242325986376,0.98720399896277422) (0.96305055835896858,-0.2693206676890586) (-0.45819046582235839,0.88885403584024458) (0.90616179318256895,0.42293120548872998)
 (1,-5.5511151231257827e-17) (-0.69684635749233981,0.71722043616287079) (-0.41960301873095157,0.90770772094979701) (-0.93891788318566505,-0.3441412626148605) (-0.51234704918330887,0.85877849367177006) (-0.50330368361261046,-0.86410960072318155) (-0.94247881318846716,0.33426589220388342) (-0.41005112283187239,-0.91206253988655961) (-0.68927884909722559,-0.72449614780701499) (0.99994489841838052,0.010497624829197638) (0.69636680633280412,0.71768605325577395) (0.96017026542187556,0.27941557114750493) (0.88054235306647377,-0.47396747193890604) (-0.98235995795154218,-0.18699976741548191) (-0.98426888176561422,0.17667701714673362) (0.87551830108847961,0.48318495885027551) (0.96305055835896836,-0.26932066768905849) (0.70386243435261509,-0.71033631014274401)
 (1,0) (-0.91027511541346418,-0.41400388193712173) (0.92348558317495677,0.3836331290021901) (-0.41641299226256251,-0.90917557153442141) (0.82191439943131117,-0.56961102518075224) (-0.61793600055470432,0.7862284014320875) (0.35925155767697436,-0.93324076116866428) (0.98182823580887035,0.18977174544289427) (-0.59099680549602507,-0.80667389687127877) (0.6173856196192179,0.78666066171341975) (-0.23631019843691364,-0.9716776678069261) (0.99730731801114991,0.073335621913281634) (-0.92156148247804914,0.3882324484285955) (0.060919662789089446,0.99814267251012967) (-0.61793600055470355,0.78622840143208994) (-0.98426888176561445,0.17667701714673373) (-0.15946242325986382,0.98720399896277422) (-0.30693247628966991,-0.9517312934850316)
 (1,0) (-0.051137109918733104,-0.99869164209437478) (-0.90962194369814153,0.41543702235455016) (-0.81154103702838465,-0.5842954263203618) (0.28984441586302284,0.95707377698536034) (0.81679919447055505,0.57692207091794578) (-0.4686885942225737,-0.88336345953727669) (-0.91259324190137237,-0.40886865230284286) (0.47666920048376593,0.87908274542853237) (-0.52743015037476693,0.84959839717106933) (0.98414499609501682,0.17736579901756466) (0.12680741023095027,-0.99192735656928011) (-0.88500480721712638,-0.46558188453007437) (0.90308928346244577,-0.42945284501943354) (0.060919662789089335,0.99814267251012945) (-0.98235995795154207,-0.18699976741548208) (0.54050443857448138,-0.84134116259772029) (0.3495982403433131,0.93689971200169386)
 (1,0) (0.0059853881079264398,0.99998208740416905) (0.75866197622113118,0.65148446323473297) (-0.98832367176354829,0.15236902517184656) (-0.69338674375721576,-0.72056562753281839) (0.82606968319118768,-0.56356798925454576) (0.88054235306647388,-0.47396747193890609) (0.92533299795476531,-0.37915543368920196) (0.21959908548388293,0.97559020170081745) (-0.67146135199699397,0.74103957571398915) (-0.12598955234177187,-0.99203156839927253) (-0.83138570333225426,-0.555695791143621) (0.55070967108768598,-0.8346968660361036) (-0.88500480721712649,-0.46558188453007437) (-0.92156148247804903,0.38823244842859539) (0.88054235306647388,-0.47396747193890609) (-0.83156922889943685,0.55542111730433597) (-0.098760966393130423,0.99511118550496325)
 (1,0) (0.44578398922316903,0.89514056714701462) (-0.95573486254886275,-0.29422928560683503) (0.86334580319698817,0.50461274667030387) (-0.90962194369814131,0.41543702235455104) (-0.04390469583899298,0.99903572392747053) (-0.55861354663084217,-0.82942805927971464) (0.75189604513753427,0.65928168282346267) (-0.99653830552997291,-0.083134863994895239) (-0.52743015037476648,0.84959839717107011) (-0.39106054245866928,-0.92036495594515744) (0.1706598147100043,0.98533000951110239) (-0.83138570333225414,-0.55569579114362089) (0.12680741023095035,-0.99192735656927999) (0.9973073180111498,0.073335621913281579) (0.96017026542187556,0.27941557114750487) (-0.15540324413373097,-0.98785111819176141) (0.053722348614561793,-0.99855591193449722)
 (1,0) (-0.4049058852560079,-0.91435836742769971) (0.9937075368879138,-0.11200594239662331) (0.98670966831327034,0.16249317049376888) (-0.95573486254886042,-0.29422928560683681) (-0.91027511541346218,-0.41400388193712306) (-0.99548346838300084,-0.094935052410318188) (-0.61793600055470388,0.78622840143208961) (0.32748916627343938,0.94485493382504326) (0.61738561961921545,0.78666066171341986) (0.51174592106094541,0.85913684141554747) (-0.39106054245866928,-0.92036495594515744) (-0.12598955234177189,-0.99203156839927242) (0.98414499609501693,0.17736579901756461) (-0.23631019843691364,-0.97167766780692588) (0.69636680633280412,0.71768605325577384) (-0.61793600055470355,0.78622840143208894) (-0.86191808863451169,-0.50704754065533975)
 (0.99999999999999989,-8.6736173798840355e-19) (0.62560966918966199,-0.78013623285705858) (-0.5184823229102975,-0.85508834679788603) (-0.66364519796506938,-0.74804749262189496) (-0.51848232291029828,-0.8550883467978857) (0.62560966918966288,-0.78013623285705636) (0.99999999999999989,-1.6740081543176188e-16) (-0.7681192322461976,0.64030683664436394) (-0.76135520671496593,-0.64833498224915498) (0.99994489841838041,0.010497624829197603) (0.61738561961921568,0.78666066171342008) (-0.52743015037476648,0.84959839717107011) (-0.67146135199699386,0.74103957571398893) (-0.52743015037476704,0.84959839717106955) (0.61738561961921812,0.78666066171341964) (0.99994489841838041,0.010497624829197659) (-0.76135520671496526,-0.64833498224915465) (-0.76811923224619716,0.6403068366443635)
