# Created by Octave 5.1.0, Fri Sep 17 15:12:27 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.1976854801228385e-13


# name: H
# type: complex matrix
# rows: 24
# columns: 24
 (1,0) (1,-6.2450045135165055e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-8.3266726846886741e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999978,-5.5511151231257815e-17) (0.99999999999999978,-1.6653345369377348e-16) (1,-5.5511151231257827e-17) (0.99999999999999989,-8.3266726846886741e-17) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257839e-17) (1,-8.3266726846886741e-17) (1,-5.5511151231257827e-17)
 (1,0) (0.54711033475962267,-0.83706050056086878) (0.2409286305049862,-0.97054283522315021) (0.51035020144622467,0.85996666905397956) (0.65027180353470437,0.75970163980849836) (-0.69287307377939811,0.72105957009909161) (0.30122830303574216,-0.95355204863195975) (-0.91040399706111441,0.41372039124890253) (-0.70908909217738303,-0.70511889731807142) (-0.80430140553259355,0.59422154880001909) (0.73308528662275119,-0.68013672341466547) (0.27124827749528158,0.96250941395699741) (-0.26711763996110566,0.96366392815213753) (0.019632638341319564,0.99980726118175289) (-0.9570631647475355,-0.28987945543523874) (0.8516105692123821,0.52417500742191248) (-0.9670259346932778,-0.25467791743806789) (-0.88825598691325602,-0.45934878002750373) (0.82622043991648431,0.56334694874846836) (-0.75348022908584611,-0.65747056540710658) (-0.18306771249369755,-0.98310030650098157) (-0.80086346889456839,-0.59884697894383498) (0.98906852218156593,0.14745663236888629) (0.9927866982887118,-0.11989400193919747)
 (1,0) (0.64352239612310924,-0.76542728308309749) (-0.58783699588339444,-0.8089793979272808) (0.98522965687355823,-0.17123820606631765) (-0.43266375742429686,0.90155536325368757) (-0.98425163214576128,-0.17677308793592877) (0.37014648982597875,0.92897339901070752) (0.00037317374830897476,0.99999993037067481) (0.88872626438656388,0.45843824773845204) (0.96470474546639162,0.26333392123808103) (-0.30194562147666248,0.95332515002546292) (0.78485103567575454,0.6196844776163879) (-0.99329178497940329,-0.11563489911108799) (-0.93198340587159367,-0.36250093955738188) (0.38448520553762827,-0.92313115358690356) (-0.56856980127551593,-0.8226350230068743) (-0.59827973715686289,-0.80128731183484714) (0.6562489546650867,0.75454443838715057) (-0.36619822820074421,-0.93053686528940638) (-0.13431805081076664,-0.99093827316659644) (-0.60799593131647822,0.79394014100724797) (-0.54646526499751291,0.8374817694440867) (-0.61355623294495432,-0.78965102989510327) (0.98906852218156582,0.14745663236888623)
 (1,-5.5511151231257827e-17) (0.41769948776924198,-0.90858523976416861) (-0.70070044647620655,-0.71345559378846057) (0.25594541649560004,-0.9666912349736565) (0.85628042615615596,0.51651121167098701) (-0.48457857093698409,-0.87474773997345556) (-0.32942183297993333,0.94418285091190923) (-0.81556205462145603,-0.57866962514169418) (0.59255045351412561,-0.80553333887568179) (-0.95292461184802246,0.30320732862893435) (0.80834026409956961,-0.58871556581717499) (-0.99328496602333693,0.11569345820753257) (-0.71087748772172021,0.70331585894991422) (-0.05171295956143529,-0.9986619897710125) (0.86927895334105965,0.49432186000446265) (0.71624035684786913,-0.69785367464994896) (0.47524980391509231,0.87985091002889027) (0.30704538990634284,0.95169487155141352) (0.26229704726300496,0.96498718074237011) (-0.19331559636906059,0.98113662667361146) (-0.89300056216707557,0.45005554764860611) (0.91178022328925001,-0.41067849276362861) (-0.5464652649975128,0.83748176944408659) (-0.80086346889456828,-0.59884697894383476)
 (1,0) (0.063110471390430578,0.9980065472735522) (0.99948246751709158,0.03216826271257367) (0.37392279153312791,0.92745983523388931) (-0.46144130965072705,0.88717073765302956) (0.6179848578788566,-0.7861899995754511) (0.66600098887569281,-0.74595085817806972) (0.66903248676866967,0.74323316102561598) (-0.72646898107825364,-0.68719925751642319) (-0.60050836551668418,-0.79961847336369152) (-0.12692673830890927,-0.99191209444298034) (-0.99969799876485754,-0.024574606111557956) (0.46851840715775045,0.88345373515219472) (0.99168452688165931,0.12869265380548978) (-0.38913810383073666,-0.92117942668462749) (-0.91031991166810866,-0.41390537375173919) (0.40214084255344607,-0.91557781905767255) (0.61315368178171314,0.78996364632654403) (-0.34826196575283641,-0.93739724941455282) (0.1888644096921035,0.98200317451200358) (-0.80706835148217682,0.59045802224700172) (-0.89300056216707568,0.450055547648606) (-0.60799593131647822,0.79394014100724786) (-0.18306771249369752,-0.98310030650098157)
 (1,-2.7755575615628914e-17) (0.72275619719515038,0.69110308884854788) (-0.35627299788918987,0.93438190852298098) (-0.94945156582199353,0.31391356160281308) (-0.78770281909754147,-0.6160554104833309) (0.98999072293314072,-0.14113245022430121) (0.91530456506906488,-0.40276240286765785) (-0.88401947620111498,-0.46745006759771141) (0.97279524318893473,0.23166660274838929) (-0.30070831913932872,0.95371615630668582) (0.35490877123324671,-0.93490093812216624) (0.21613458877828132,0.97636357958172637) (0.88741762290607884,0.46096633559916667) (-0.31754644518878239,-0.94824271953333106) (0.57061737302250182,-0.82121605780993978) (0.94402951797919443,0.32986098463439162) (-0.76327080200657471,0.64607869706734666) (-0.4755371357720356,-0.87969564765419173) (-0.99250741111438379,-0.12218444615834917) (-0.85468816350107879,-0.51914173707298139) (0.1888644096921035,0.98200317451200336) (-0.19331559636906073,0.98113662667361146) (-0.13431805081076659,-0.99093827316659644) (-0.753480229085846,-0.65747056540710647)
 (1,0) (0.13810582021379558,0.99041747885579723) (-0.28487871548793858,0.95856356985957947) (0.63036526834901019,-0.7762986721998687) (0.9849148993587391,-0.17303942042541315) (-0.65314800486226399,0.75723027128109588) (0.52531181133038329,0.85090980772158831) (0.012269519417166697,-0.99992472661359399) (-0.85171957808538867,-0.52399786288309003) (0.43571510251446877,-0.90008463459877175) (-0.9167914009414958,-0.39936640714978544) (-0.80842203563401305,0.58860327241815313) (0.78697243177539955,-0.61698816165750925) (-0.25515393096192068,-0.96690044550340259) (-0.67907134887928744,-0.73407227377913165) (-0.4273383314493806,0.90409178210735819) (0.99234830550123121,-0.12346999865892605) (-0.58766162295089752,0.80910680191845896) (0.57663192868086688,0.81700405067893145) (-0.9925074111143839,-0.12218444615834928) (-0.34826196575283652,-0.93739724941455282) (0.2622970472630049,0.96498718074237022) (-0.36619822820074421,-0.93053686528940638) (0.82622043991648431,0.56334694874846836)
 (1,0) (-0.019521737440880427,-0.99980943272570166) (0.88060576709092686,-0.47384964172847061) (-0.66362415397783359,0.74806616168438211) (0.81134346111746314,-0.58456974613978685) (0.0068799222879186162,0.99997633305459288) (0.91338079969081876,0.40710626961047991) (-0.99997369602052744,0.0072530867253003395) (-0.19516873271409835,0.98076968028725886) (0.77556259600737754,-0.63127067069070808) (-0.78055153691150825,-0.62509143189223204) (-0.44600355288391702,-0.89503118985593078) (-0.81767487284084583,-0.57568029523747555) (0.95886455783710867,0.28386398102585225) (0.53316491989154235,0.84601132864580753) (-0.71258923276904818,-0.70158148873927662) (0.10046042182802845,-0.99494105536264565) (-0.97014821090947789,0.24251278083667985) (-0.58766162295089752,0.80910680191845896) (-0.47553713577203566,-0.87969564765419195) (0.61315368178171314,0.78996364632654426) (0.30704538990634267,0.95169487155141375) (0.6562489546650867,0.75454443838715068) (-0.88825598691325625,-0.45934878002750362)
 (1,-5.5511151231257827e-17) (-0.10147131061050413,0.99483846584407176) (0.96805001939431101,-0.25075717327860081) (-0.9979344181447759,-0.064240929959389431) (0.89625175623561093,-0.44354570164142304) (-0.32985086313091022,-0.94403305455465469) (-0.98417119968336897,0.17722034226859362) (0.88490092570731049,-0.46577929503397275) (-0.95590337698466643,-0.29368134749981839) (0.79385956215534093,0.60810113926429199) (0.33122844594474576,0.94355059037500855) (0.076627754387472768,0.99705977115593858) (-0.78434527007996524,0.62032450967472397) (-0.11627645653373248,0.99321688752052528) (0.99452809441393175,0.10446946645500407) (-0.46873043573423456,-0.88334125830077403) (-0.84838612727764784,-0.52937791703360193) (0.10046042182802828,-0.99494105536264532) (0.9923483055012311,-0.12346999865892605) (-0.7632708020065746,0.64607869706734666) (0.40214084255344595,-0.91557781905767277) (0.47524980391509231,0.87985091002889015) (-0.59827973715686289,-0.80128731183484703) (-0.9670259346932778,-0.25467791743806789)
 (1,-2.7755575615628914e-17) (-0.31588905779876775,0.94879613361512272) (-0.99617831953775793,-0.087342748313343599) (-0.86571092247829362,-0.50054430243663894) (0.78405464015469561,0.62069180859093809) (0.048381499340505202,-0.99882892955779101) (0.958904793423629,-0.2837280337738709) (-0.65075891645633921,0.7592844214473059) (0.999177510576718,0.040549998245522079) (-0.82773555889470452,0.56111838727782715) (-0.93875490980459841,0.34458557618936869) (0.64497211326435566,-0.76420610643419395) (0.99796439746770249,-0.063773516344363929) (0.8112605747483681,0.58468476964852389) (-0.15252862836986519,0.98829905267970786) (-0.92149194677880442,-0.38839746654916352) (-0.46873043573423445,-0.88334125830077392) (-0.71258923276904795,-0.70158148873927639) (-0.42733833144938038,0.90409178210735819) (0.94402951797919443,0.32986098463439156) (-0.91031991166810866,-0.41390537375173903) (0.71624035684786924,-0.69785367464994907) (-0.56856980127551582,-0.82263502300687419) (0.85161056921238198,0.52417500742191214)
