# Created by Octave 5.2.0, Fri Sep 17 14:09:41 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
6.0958143255496888e-14


# name: H
# type: complex matrix
# rows: 26
# columns: 26
 (1,0) (1,-1.3877787807814457e-17) (1,0) (1,-6.9388939039072284e-18) (1,5.5511151231257827e-17) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,1.3877787807814457e-17) (1,0) (1.0000000000000002,5.5511151231257827e-17) (0.99999999999999989,2.7755575615628914e-17) (0.99999999999999989,0) (1.0000000000000002,0) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,0)
 (1,0) (-0.65023247100456605,0.75973530499200626) (-0.99912287229139096,-0.041874647033754653) (-0.60916435055806262,-0.79304400508999096) (-0.13361186537897524,0.99103373778593018) (0.6317113243749104,0.77520371687479417) (0.030883091665184215,-0.99952300356179935) (0.83536018173265147,0.5497029805045559) (-0.98880322352297889,0.14922528321489723) (-0.93160677014908078,-0.36346777823130055) (0.97131281871357356,0.23780539986024818) (0.4224153672910872,-0.90640237062594697) (-0.16446782400970306,-0.98638244857941049) (0.38207673783063023,0.92413060029884553) (-0.88996675374389389,-0.45602541292186261) (-0.15034153075566042,-0.98863412045611954) (0.99167491040704103,0.12876673510339448) (0.72826177174825779,0.6852990528302868) (0.90131755437973016,0.43315893868987854) (-0.74241712192013587,-0.66993792031786248) (-0.67964435367993858,-0.73354178647912027) (0.72698435191703137,-0.68665402647022633) (-0.40393813918922938,0.91478630275509842) (0.99122710424718674,-0.13216969321950195) (-0.96670796845606621,0.25588220673494599) (-0.30319996964760265,0.95292695334201427)
 (1,0) (0.92112271500486798,0.38927232614464213) (-0.90401413149119236,-0.42750257316678852) (0.60489011719029606,-0.79630895142872127) (-0.73728498473238147,-0.67558186127824083) (0.75640215373613318,0.65410685810755653) (-0.81971869938497111,-0.5727663169902808) (-0.95389266732974609,-0.30014792888597902) (-0.12385611745335484,0.99230018752864324) (-0.085740680349397358,-0.99631748741714943) (-0.29938160103789591,0.95413345867335841) (-0.93298921332619689,-0.35990433147846901) (0.037150369020835461,0.99930968677463339) (-0.76129621781397894,-0.64840424793652551) (-0.97444322774342496,0.22463391530438048) (0.99989398418253428,0.014560920148720402) (-0.94609502971652448,0.32388917046682564) (0.54474969720763899,-0.83859869269644416) (0.78018405099485744,-0.62555003522760089) (-0.76694761646234944,0.64170971132025145) (0.94885680133244499,-0.31570677940956704) (0.23906879680183002,0.97100263150813637) (0.79662354792855394,-0.60447574218137379) (0.99969277562327674,-0.024786172891926639) (0.64373314627420886,0.76525004827697196) (-0.96670796845606599,0.25588220673494594)
 (1,0) (0.82298765744479363,-0.56805925368180687) (0.76452736270263999,0.64459127490134882) (0.045466431909206906,-0.9989658670692636) (-0.5041484370405882,-0.86361701779754962) (-0.31148462381743108,0.95025119264608815) (-0.84289952025029447,0.53807099788208623) (0.11986202098359827,0.99279055994994603) (-0.91559017102488216,-0.40211271892670508) (-0.68523239801749503,0.72832448860874721) (-0.40137712533471159,0.91591287973149638) (-0.54121658218983781,-0.84088323277536592) (0.44547708315077528,-0.89529334208821032) (0.98551002306144342,-0.16961719973350109) (-0.13263363033336989,-0.99116513261140859) (-0.11844218133707002,-0.99296095073276514) (-0.92010537873557219,-0.39167089759371898) (0.77509109707795942,0.63184950045915622) (-0.95882780856847272,0.28398808692580679) (0.95015956734299833,0.31176400784337788) (-0.92659046247206711,-0.37607195435953611) (-0.68271990585437381,0.7306801832198514) (0.90763919473820898,0.41975122653183061) (-0.8663720933059208,0.49939903478152359) (0.99969277562327696,-0.024786172891926583) (0.99122710424718663,-0.13216969321950195)
 (1,0) (-0.74494203151016691,0.66712920014754706) (-0.90909022589558663,0.41659928130172291) (0.17710057182911348,-0.98419275929962069) (0.95170549118878023,0.30701247212633498) (0.47168385010871611,-0.88176773900308814) (0.88690229822662603,0.46195704713785829) (-0.98929983204963823,-0.14589668367224201) (-0.13694636984141606,-0.99057846321594212) (0.60711753429201565,0.79461204342445213) (-0.90337964237660173,0.42884172108077689) (0.55562160346010225,0.83143528537609246) (-0.82276129171527634,0.56838706605183198) (0.97962268776997785,0.2008466818404657) (-0.90659998615290238,-0.4219910723078843) (-0.98856364363382054,0.15080425221267729) (0.14247546469625971,-0.98979833398505235) (-0.27710291276939009,-0.96084024464773532) (0.30153965433303287,0.95345363645261461) (0.83715696679654761,0.54696271622844983) (-0.29329454901911978,-0.95602212710568102) (-0.97163067663572522,0.23650333659465173) (-0.26763956457906196,-0.96351910384378514) (0.9076391947382092,0.41975122653183078) (0.79662354792855428,-0.6044757421813739) (-0.40393813918922949,0.91478630275509853)
 (1,0) (0.95764914510415344,0.28793769270674607) (-0.89314024362284061,-0.44977828451508545) (0.070213004207313967,-0.99753202156130505) (-0.10357934089081478,-0.99462119429490603) (0.7056018040878409,-0.70860856194939115) (-0.10606977108346885,0.99435868963986085) (0.6023097419276876,-0.79826247236044034) (-0.40701450686631901,-0.91342169407145557) (0.98362665836180407,-0.18021819264433322) (0.67624715946104541,-0.73667481246535582) (0.91189458298463089,-0.41042449917528762) (-0.92080779522390122,-0.39001667176532029) (-0.15773048627774106,0.98748219918061719) (-0.25701140313660004,0.96640837054412787) (0.99141986214689459,-0.13071593988735042) (0.4241963742830821,0.90557022700897571) (-0.88599613152149814,-0.46369262979795195) (-0.9692576525820481,0.24604796871979495) (-0.99992799669851706,-0.012000059103607824) (-0.83406332390053728,0.5516687155567076) (-0.10026224698892916,0.99496104538254726) (-0.97163067663572511,0.23650333659465173) (-0.68271990585437403,0.7306801832198514) (0.23906879680183002,0.97100263150813648) (0.72698435191703148,-0.68665402647022633)
 (1,0) (-0.99438413775301027,0.10583093397113172) (-0.46174400960662254,-0.88701322966030194) (-0.53827343758240842,0.84277025718354392) (0.57256941302638864,0.81985624792802403) (0.999530392510113,-0.030643016310065885) (0.0002401890335971546,-0.99999997115461392) (-0.99211747678768991,0.12531126147488889) (-0.95007717111102363,0.31201501395553788) (-0.65159167982532351,0.75856989314262457) (0.6853049386851191,0.72825623307582055) (0.35680443190647981,-0.93417910347635902) (0.16793885919099033,-0.98579741304876034) (0.692885820361405,-0.72104732156919016) (0.98348296676545599,-0.18100070188321635) (0.64796158833567707,0.7616730138592982) (0.72833278489680564,0.68522357989525151) (-0.87902647339785911,0.47677296385777046) (0.11597166366099956,-0.9932525223867793) (0.32252465186251406,0.94656106456000155) (-0.021597426432390765,0.99976674838259016) (-0.83406332390053717,0.55166871555670771) (-0.29329454901911967,-0.95602212710568113) (-0.926590462472067,-0.37607195435953611) (0.94885680133244532,-0.31570677940956715) (-0.67964435367993847,-0.73354178647912027)
 (1,5.5511151231257827e-17) (-0.11537076537748781,-0.99332249873654455) (-0.63122769422890168,0.77559757480181934) (-0.37805003232006473,-0.92578516571761815) (0.99267406738611408,-0.12082299424823534) (-0.51937340403757415,-0.85454740487489778) (0.73337852219932376,0.67982052276813199) (0.23893584800944273,0.97103535493616733) (-0.45453615313559592,0.89072828937487669) (-0.7187147406793416,0.69530505645380303) (0.12593272610698486,-0.99203878376566645) (-0.41538300063382905,0.90964661423238125) (0.81161080796936769,-0.5841985076900742) (-0.50032462493432239,0.86583790035105834) (0.40363745634787462,-0.9149190149040608) (0.91537413190062511,0.40260427052774389) (-0.9853302599214584,-0.17065836892198166) (-0.7735285835506821,-0.63376141443770106) (0.64291073142660526,-0.76594111484924654) (0.026836516551862366,-0.99963983583056593) (0.32252465186251411,0.94656106456000155) (-0.99992799669851706,-0.012000059103607796) (0.83715696679654761,0.54696271622844983) (0.95015956734299833,0.31176400784337788) (-0.76694761646234966,0.64170971132025145) (-0.74241712192013576,-0.66993792031786259)
 (1,0) (-0.026231770516173647,-0.99965588790122528) (-0.72281449660227148,-0.69104211413024963) (-0.76096540089313458,0.64879246191948803) (-0.55052642528129836,0.83481773763318878) (-0.99949463113386305,-0.031788084789469595) (0.31593467530101699,-0.94878094465605767) (-0.82792347084377083,-0.56084108838957558) (0.90234506705413886,0.43101436166682572) (-0.10949382054419787,0.9939874764113652) (0.30308923379304142,-0.9529621799204554) (0.98528740684933946,-0.17090560524483556) (-0.89112411136221126,0.45375964799539836) (-0.98397528082612362,0.17830492624476574) (-0.26033829345595211,0.96551746382985848) (0.89177208864667756,-0.45248485268652) (-0.98188320239781235,0.18948714164559188) (0.98155065199216573,0.19120229489667218) (0.92095358657572457,0.38967228715076602) (0.64291073142660515,-0.76594111484924676) (0.11597166366099948,-0.99325252238677941) (-0.96925765258204799,0.24604796871979509) (0.30153965433303309,0.95345363645261449) (-0.95882780856847305,0.2839880869258069) (0.78018405099485755,-0.62555003522760122) (0.90131755437973038,0.43315893868987843)
 (1,5.5511151231257827e-17) (-0.25697980214855587,0.96641677411336868) (0.41899893057992676,0.90798672687043092) (0.33355428379749963,0.94273089466736848) (-0.85209677632763858,-0.52338426014931572) (-0.85317264758182609,0.52162863554277483) (0.3758493866438738,0.92668076410348799) (0.43987153817959357,-0.89806070501916457) (0.99999717250354814,-0.0023780212171339854) (-0.93246847012262224,-0.36125136986200684) (0.098017405216499431,0.99518470058307473) (-0.95649735208894437,-0.29174100748238585) (-0.70679817707416603,-0.70741525067292377) (-0.9664466730854584,-0.25686733556847763) (0.98820617285854895,-0.15312922622497571) (0.94423402033150694,-0.32927513548489978) (0.70496738030603756,-0.70923972865628637) (-0.99323550877441513,-0.11611728600698884) (0.98155065199216573,0.19120229489667231) (-0.77352858355068221,-0.63376141443770106) (-0.87902647339785922,0.47677296385777057) (-0.88599613152149814,-0.46369262979795184) (-0.2771029127693902,-0.9608402446477351) (0.77509109707795965,0.63184950045915633) (0.54474969720763911,-0.83859869269644438) (0.72826177174825779,0.68529905283028691)
