# Created by Octave 5.2.0, Sat Sep 18 04:01:02 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.3233238008199267e-13


# name: H
# type: complex matrix
# rows: 54
# columns: 54
 (1,0) (0.99999999999999989,5.5511151231257821e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (0.99999999999999978,5.5511151231257815e-17) (1,1.1102230246251565e-16) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999989,5.5511151231257821e-17) (1.0000000000000002,5.5511151231257839e-17) (1,0) (0.99999999999999989,5.4643789493269417e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,-6.1629758220391547e-33) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (0.99999999999999989,-6.1629758220391547e-33) (0.99999999999999978,-1.2325951644078309e-32) (1,4.8572257327350599e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,0) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,5.2041704279304207e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1.0000000000000002,5.5511151231257839e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999989,5.5511151231257821e-17) (1,0) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,-6.1629758220391547e-33) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,8.3266726846886741e-17) (0.99999999999999978,2.7755575615628901e-17) (0.99999999999999989,5.5511151231257821e-17) (1,8.3266726846886741e-17) (0.99999999999999989,5.5511151231257821e-17) (1,0)
 (1,0) (0.93935197170043883,0.34295462274548516) (0.99485259429595507,0.10133269769728298) (-0.66916180187504137,-0.74311673572282599) (-0.14038071578809749,0.99009759854007429) (-0.075794383137632426,-0.99712346852573153) (0.88116527936450928,0.47280836545313776) (0.17096661120352066,-0.98527682295565255) (0.78750730174580852,-0.61630532181463094) (0.4579847286660208,0.88896006001884675) (0.11364988132043785,-0.99352086262737926) (-0.20891333668267631,-0.97793415819067842) (-0.88471646888463107,-0.46612956319494514) (0.51227735881669711,0.85882006709426051) (-0.90596857020276034,0.4233449536781636) (-0.99936233766635829,-0.035705994651212991) (0.90274491717672434,-0.43017625981867985) (-0.56144237253797069,-0.82751583810760754) (-0.75751142821946371,-0.65282190229564807) (0.96320695551336799,0.26876078741265408) (-0.99793479197746704,-0.064235122486767715) (-0.30060931211420627,0.95374736773960467) (0.87046840533407122,0.49222429370679932) (0.20386724139700063,0.97899854335191805) (0.8438592023063628,0.53656467148226439) (0.92514371406760376,0.37961705483447428) (-0.73570279644015135,-0.67730450707945422) (0.86388357561467699,0.50369154031331553) (-0.40172650031152479,-0.91575969497868592) (-0.58956006844627762,0.80772453577542125) (-0.5683875696292825,0.82276094382932308) (-0.23485857588138614,-0.9720295516778118) (-0.92538225849582711,0.37903519053138374) (-0.90347633689792772,0.42863796922986597) (-0.31850134480326864,-0.94792240893361623) (-0.85868677660336623,-0.51250075091312874) (-0.16266535829975068,0.98668129667548399) (0.82991365192545585,0.55789186259323975) (-0.99685268487084988,-0.079276255371822424) (-0.98076916164978811,0.19517133897366401) (0.60362419318626048,-0.79726898434608373) (0.064308027091134312,0.9979300965757304) (-0.65938279944995393,-0.75180737146528587) (0.94795798241681406,-0.31839545155709298) (-0.99987803443084666,-0.015617818756351487) (0.71891707824974549,-0.6950958456219184) (0.60059606369141361,-0.79955260507259951) (-0.82524490789241223,0.5647750366275448) (0.50756102774345946,0.86161580946266536) (0.99361994721059987,0.11278031967149799) (-0.80339417597721863,0.59544756108820096) (0.24379665393954336,-0.96982637184595166) (0.98930661582688839,-0.14585067665646945) (-0.46426611063837542,0.88569575956573066)
 (1,0) (-0.13235583133271089,-0.99120226690228375) (-0.03123334250267451,-0.99951212014467905) (-0.44073484877687319,0.89763733939360391) (-0.8796092578000293,-0.47569691358309474) (-0.40577538904689436,-0.91397282981707995) (-0.99780972539883483,0.066149466358410902) (-0.98357765536211805,-0.18048544504297132) (-0.56113691709975844,0.82772299730512366) (-0.051755670578819524,-0.99865977718286836) (-0.74772994992834563,-0.66400295329174153) (0.54749978863943116,0.83680582062971975) (0.97837177554677113,-0.20685422116422647) (-0.85989656104109624,0.51046831861507058) (-0.11278132119523973,0.99361983353265304) (-0.77342492007286034,-0.6338879183343773) (0.77819103232111642,0.62802764048646342) (-0.047157199133829486,0.99888748043503495) (0.93318178967898602,-0.35940471256165463) (-0.47995562899081701,0.87729276424693603) (0.14589757866753839,0.98929970006007273) (-0.99360028378418175,0.11295342431283006) (0.94369504861935638,0.33081664893307589) (0.98499191974790068,-0.17260045779586863) (0.9925974376563852,-0.12145092324877349) (0.45550317043150029,-0.89023416117718868) (-0.60571892530989624,0.79567869364551014) (-0.70975716623558216,0.70444642449034844) (-0.93292614538181395,0.36006778148430718) (-0.2625781498282575,-0.96491072915206455) (-0.68328551898177592,0.73015128538529939) (-0.11507863011687691,-0.99335638563932527) (0.44588608663733342,-0.89508971491311662) (-0.96734664037862961,-0.25345705227548604) (0.31538063082547696,-0.9489652563187575) (0.96407451880326611,-0.26563192992231027) (-0.97618463453381021,-0.21694137295613175) (0.96312016360914909,0.26907164556951424) (-0.18728463403468246,0.98230568859927492) (-0.56454214585753459,-0.8254042437197493) (0.99951335421965903,-0.0311938252954993) (0.10070980232669124,-0.99491584353417484) (-0.95425430335156958,-0.29899619485038792) (-0.04394246607475516,0.99903406332080102) (0.71121406655662511,0.70297549852892405) (0.94439198261299029,0.32882181067609334) (-0.8212986712850201,0.57049845972225155) (0.90529609959655377,-0.42478108721465813) (0.044507147984476303,0.99900906591396277) (0.61993475785342844,-0.78465336041159706) (0.84555703561937656,0.53388509954350039) (0.6414958277767584,-0.76712652342688015) (-0.92758509814237322,0.37361194534463577) (0.98930661582688839,-0.1458506766564695)
 (1,0) (0.87928695640338228,0.47629239790162048) (0.11488016667716072,-0.99337935719654835) (-0.81507024458773214,0.57936214614668691) (-0.73601205699067829,-0.67696842759788423) (-0.53648109903847996,0.84391233571649149) (0.2192258161256937,-0.97567414721515711) (-0.24932736901742719,0.96841925995864386) (-0.94401851762364553,0.32989246487856383) (-0.96472366422457578,-0.26326460393510231) (-0.97834458323285101,-0.20698279266388175) (-0.61474982754896057,0.78872216244284854) (0.051886909577080809,-0.99865296705839746) (0.56449405219764714,0.82543713572475064) (0.6774611382306821,-0.73555856747589399) (0.2908433411993307,-0.95677068876508264) (-0.92557123985454848,-0.37857348025728543) (0.22725799048085188,-0.97383458850186921) (0.78633323242753272,-0.61780259596416942) (0.99870746113533393,0.05082722766998804) (0.65278598859731563,-0.75754237709254602) (-0.95376161829646822,-0.30056409543473911) (-0.85366143991326204,-0.52082832680761026) (-0.27465905080859171,0.96154168178447796) (0.85808660173874829,0.51350499892060064) (0.91551759477689698,0.40227793085617608) (-0.97857092176786886,0.20591005577772359) (-0.96992160785910664,0.24341749034940996) (0.86676143311012033,0.49872298731148446) (0.39727570671295726,-0.91769930415998424) (0.88457031207870696,0.46640686421726163) (0.78903928604021722,0.61434274235571729) (0.35013463458790883,0.93669938489463711) (-0.16479686417177297,0.98632752854168604) (-0.078396523501313098,0.99692225629830744) (-0.8443361950841779,0.53581376398033442) (-0.040893433732980211,0.99916351368408463) (-0.5760597012821308,-0.8174076220336719) (-0.87846258928385046,-0.47781113342900827) (0.13789696602682172,-0.99044657945827586) (-0.9811379679053357,-0.19330878907744437) (-0.050799594677080895,0.99870886707821127) (-0.89032226122573688,0.45533094685721731) (-0.99207538957559294,-0.12564402651314849) (0.20449508452136023,-0.9788675908449529) (0.98763940213029389,0.15674313815831187) (0.90255840096926765,-0.43056745445957478) (0.48808634477984547,-0.87279534831451189) (0.73434350016800098,0.67877803718226604) (-0.21322209635634332,0.97700375517466997) (-0.17628368155197627,0.9843394046864542) (0.81679873670302794,-0.57692271901905345) (0.64149582777675818,-0.76712652342688004) (0.24379665393954336,-0.96982637184595166)
 (1,0) (-0.10359556991297136,0.99461950407902555) (-0.34445808453213717,0.93880169791093371) (-0.76059208653850008,-0.64923006545831807) (0.74957359024133319,-0.66192101705016126) (-0.9124803562109014,-0.40912051956511281) (-0.68771586346513613,-0.72597995229786072) (0.14602880044012273,-0.98928033915671243) (-0.79101165973285092,0.611801074015632) (0.4904456711706292,-0.87147176869362331) (-0.99103250221288552,-0.13362102962358774) (-0.96934330431113225,0.24571031396173884) (0.62106073422732511,0.78376244130541095) (0.66850957743137207,0.74370353292325453) (0.28361628619843654,-0.95893785106387797) (-0.86091014968237012,-0.5087570286235672) (0.92266584140494767,-0.38560049935717244) (-0.89863340340785536,0.43870036047354211) (-0.76851069711363396,-0.63983693893203508) (0.5972897576683347,0.80202552664145488) (-0.13077454833374674,-0.99141213302445841) (-0.69635706861500513,0.71769550158121986) (0.54270014617437456,-0.83992651544186459) (0.99537291164269814,0.096087287233730445) (-0.82628461112390039,-0.56325282193685067) (-0.6306326343984856,0.77608149084463163) (0.79061791996666275,-0.61230981098426829) (0.074126303676289362,-0.99724886116921307) (-0.61723888950512973,0.78677579607056802) (-0.61661531463293573,-0.78726460212569327) (-0.69384325894735732,0.72012605286387932) (0.99999824666760595,0.0018726082653034992) (0.026517421947663267,-0.99964835133823404) (0.50018991813918467,-0.86591572672628903) (0.39390362565485881,0.91915174682745293) (0.93222138777333596,0.36188849688537572) (0.79707609910365151,-0.60387887215708014) (-0.92624552463097554,-0.37692071858825915) (-0.71033720247886967,0.70386153380796035) (-0.055422046513195489,0.99846301722211594) (0.51422017752594618,-0.85765821224144156) (0.99326822663653758,-0.11583708367491341) (0.79283980956873079,0.60943009144857596) (-0.86394870585699479,-0.50357981854719491) (0.10449219226718887,0.99452570693532016) (0.69030626324672562,-0.72351728584902752) (0.84971076767436582,0.52724909795867991) (-0.96126640747561909,-0.27562092420372797) (0.26551166179417462,0.9641076482692672) (-0.57519245580460165,0.81801811641642319) (0.78429982910451612,-0.62038196142910951) (-0.17628368155197643,0.98433940468645398) (0.84555703561937645,0.53388509954350039) (-0.80339417597721863,0.59544756108820107)
 (1,0) (-0.55045840957912584,-0.83486258709060501) (0.74671619894662944,-0.66514278033419139) (-0.96730823022665613,-0.25360360355439554) (-0.99634231210176016,0.085451723889688358) (0.16072307025606453,0.98699954138158785) (0.01900737481980086,0.99981934353285107) (0.9986846897499021,0.051272706766298581) (-0.12004283873849902,0.99276871267561739) (0.47612224218314031,0.87937910510683559) (0.30170135015880928,0.95340248337853251) (0.53235563158373345,-0.84652080985707834) (-0.64139500986707443,-0.7672108193434295) (0.8418431358439159,-0.53972227546441309) (0.50683955152172688,0.86204041031337775) (0.8198215793246495,-0.57261905144139158) (0.74725473419928012,0.66453770563961512) (0.3468061180215754,0.93793684035909708) (-0.62553878052020451,-0.78019307486371314) (-0.033412395124235605,0.99944165004869734) (-0.061944724002889195,0.99807958158065024) (-0.68804566844787096,-0.72566738808501285) (0.93869244076821934,0.34475571299777263) (-0.53510470946662858,-0.84478574201192269) (-0.2670948554896696,-0.96367024348111574) (-0.054698539910154165,0.99850291423295201) (-0.88068642812921671,-0.4736997100579674) (-0.87434565727844005,-0.48530369007285934) (0.95574469494724301,0.29419734546763643) (-0.35486421321139389,0.93491785210351963) (-0.83759458985710866,-0.54629232379935799) (-0.39239540337174328,-0.91979663372548104) (0.96867899598975205,0.24831633600769443) (0.21955513880784228,-0.97560009277524617) (0.66932781975404232,0.74296720634446678) (-0.69688324733433904,0.71718459240613031) (0.92133747753498918,-0.38876374893945997) (-0.83574539861006991,-0.5491171356842699) (-0.45033867079798079,-0.89285781711530565) (-0.94294503873456326,0.33294842532421487) (-0.22747523588677343,-0.97378386567978081) (-0.44146253317701251,-0.89727968426847604) (0.19697607118943022,0.980408296261704) (-0.56601875990226058,-0.82439236012878525) (-0.37983498085003131,-0.92505426182611417) (-0.2332454644328365,-0.97241789027223846) (-0.45572358986915795,0.89012134545620714) (0.82925565394692025,0.55886944843770681) (-0.37528708808157218,0.92690862630534099) (0.46364865054851867,-0.88601914699657536) (-0.57519245580460177,0.81801811641642341) (-0.21322209635634337,0.97700375517467042) (0.61993475785342855,-0.78465336041159728) (0.99361994721060021,0.11278031967149793)
 (1,-5.5511151231257827e-17) (0.97203738851921617,0.23482613849557255) (-0.56003420025742268,-0.82846948920405528) (-0.99999553075514847,0.002989727367089634) (0.2804174548652742,-0.95987814383226944) (0.2710117723759935,0.96257603296239536) (-0.21630783665255282,0.97632521211054168) (0.9992088268349828,0.039770848307005779) (0.74798990471907367,-0.66371010421595289) (-0.89228516387778534,0.45147224313748618) (0.87979546507846018,-0.47535243727930582) (0.80805043622357742,-0.58911331042413795) (-0.80357117118078814,0.59520868008383099) (0.22176672787913732,-0.975099747926222) (-0.4354463940215455,0.90021466214099966) (-0.57190133364849405,-0.82032241501197323) (0.39253901421598475,-0.91973535450059951) (0.017725494288894583,-0.99984289108450208) (0.24170173443414278,-0.97035059209108931) (-0.49404532146023594,-0.86943615081456838) (-0.015322188190007413,-0.99988260838413945) (-0.96784086882844422,-0.25156321795008674) (-0.34962427299689497,-0.93688999766855918) (-0.03364488944454308,0.99943385044447219) (-0.11106203228599099,-0.99381347595235714) (0.0059844137808182096,-0.99998209323552389) (0.63329053576829542,-0.77391414078456178) (-0.61506109135401243,-0.78847945686771748) (0.019710425238956497,0.99980573069816991) (-0.72848569976250022,0.68506100840840534) (-0.65675198718905747,-0.75410664187714493) (-0.22587132677918265,0.9741571452999831) (0.78643051290509036,0.61767875823265606) (-0.95382781889498525,0.30035394437569146) (-0.97680317688847018,0.21413909876664738) (-0.30337244445868117,-0.95287205853837753) (-0.68118737245552108,-0.73210912001363815) (0.99683889849665164,0.079449420664866766) (0.85375244013544238,0.52067914396754866) (0.70085649891621515,0.71330229771598697) (-0.1943449509138665,0.98093324954060312) (0.91836897176831045,-0.39572519719272004) (-0.27688423651912591,0.96090328314936135) (0.5934429569075752,0.80487605064183332) (0.64350673976071837,0.76544044567982683) (-0.95545331264479316,-0.29514228323995084) (-0.95656582174613725,-0.29151642949778755) (-0.23769917929915885,-0.9713388184153392) (0.052326759783995425,0.99863001667810336) (-0.37528708808157213,0.92690862630534099) (0.26551166179417474,0.96410764826926743) (0.73434350016800121,0.67877803718226604) (0.044507147984476414,0.99900906591396299) (0.50756102774345968,0.86161580946266547)
 (1,-2.7755575615628914e-17) (0.77227357705493327,-0.6352901086769549) (0.76490790922229301,-0.6441396513250679) (0.71397257347529053,0.70017366726053765) (-0.78369253195448163,-0.62114894780461016) (-0.67481468922911458,0.73798721885992924) (0.73142781005109803,0.68191887984118416) (0.79692860146784805,-0.60407350890640843) (-0.091780019428693044,-0.99577930689167704) (0.78435346454979926,-0.62031414835446608) (0.98422932612339653,0.17689724022348335) (-0.9849906502862239,0.1726077021709097) (-0.37769123996545362,0.92593159966239336) (-0.80029575760467664,0.59960545391111675) (0.9495986141235131,0.31346845464050138) (-0.52455889568304626,-0.85137416272740163) (-0.86724317794820904,0.4978847962152404) (-0.33312363934715661,0.94288315336954986) (0.30450096002579952,0.95251202897567999) (-0.49880473206648096,-0.86671439313541299) (0.99681011898823735,0.079809690405716643) (0.73275409938958225,-0.68049351931356594) (-0.96390245697765553,0.26625561671528597) (-0.030120263440403972,-0.99954628193509898) (0.42452076042765063,0.90541820390686256) (-0.6891779208375941,-0.72459215661637633) (0.28438756749307775,0.95870939885628059) (0.17432451068586849,-0.98468825776188296) (0.51714603421750915,0.855897177991085) (-0.90994610986101043,0.41472650885711937) (-0.92784299602290587,-0.37297101057754994) (0.40887857496850644,0.91258879619011524) (-0.93180723369268259,-0.36295354969746496) (-0.68540131442692731,0.72816552938314782) (0.99531273064897907,-0.096708677005079652) (0.75433193198598503,-0.65649321122635418) (0.37788718453969045,-0.925851648894501) (-0.93057650230493971,-0.36609749160285837) (-0.63749650357380094,0.7704532483747335) (-0.77300594037269088,0.63439878321804288) (0.39290936888159811,-0.91957720059006687) (-0.61594811365164825,0.78778672322461507) (-0.82842688130604958,0.56009722578275001) (0.88286625823280207,0.46962449901385345) (-0.99618657869906835,0.087248498095068155) (0.59359930107033898,-0.80476075312406048) (0.094452763696859982,0.99552934433397056) (0.22603250370412756,-0.97411976022932822) (-0.23769917929915882,-0.97133881841533898) (0.82925565394692025,0.5588694484377067) (-0.96126640747561931,-0.27562092420372786) (0.48808634477984558,-0.87279534831451211) (0.90529609959655377,-0.42478108721465824) (-0.82524490789241223,0.56477503662754502)
 (0.99999999999999989,0) (-0.58150322174181712,-0.81354410028214608) (-0.99991177651223595,-0.013283041524588979) (0.73982997862004252,0.67279387834244375) (0.998534297596264,-0.054122606403751022) (0.9300325483126618,-0.3674771544995088) (0.96573049328270599,0.25954694054051564) (-0.99882690843350885,0.048423207134173363) (-0.75674000331545699,0.65371596843133783) (-0.99947112862421239,-0.032518656900972553) (-0.0448983393130023,0.99899156108894882) (-0.53755095741371495,0.84323126613260613) (-0.6124856607774245,-0.79048169829670423) (0.9006089446598855,0.43463033580113575) (-0.88700338703238524,0.46176291686651966) (0.57783926055163648,0.81615059208772178) (0.38639915011389214,0.92233166311867565) (-0.49438330423797638,-0.86924400975257909) (-0.9967790893778653,-0.080196302776585682) (0.53360075449604294,-0.84573650435656056) (0.14174189661807135,-0.98990364922204033) (0.83348584074890308,-0.55254081593226645) (-0.93363462178989487,-0.358226734059923) (-0.1250198022137507,0.99215424660404139) (-0.90712286068238768,0.42086591169563992) (0.52363358299168572,-0.85194358426088823) (0.5512813973060311,-0.83431937588929983) (0.74441596480417882,-0.66771616076343643) (0.93519785096149111,0.35412565503929461) (0.77304965467168074,0.63434551422075458) (-0.70118854066324765,0.71297589751866497) (0.67818979600796825,-0.73488679440487381) (0.20828162581930917,0.97806889550075404) (-0.86350813199627319,-0.50433491449264833) (-0.51381782444141566,-0.857899320017384) (0.50501659883515193,0.86310963087024761) (0.047373845444251717,-0.99887722907663834) (-0.99996197282385435,-0.0087208317393284163) (-0.49380866754334685,-0.8695705835980565) (-0.88891587164344599,0.45807048927034533) (0.5320071144748314,-0.84673988340467576) (-0.59010981775757076,-0.80732298554303938) (-0.85577359306786072,-0.51735051696864442) (0.94974411459269259,-0.31302734193125031) (0.44945204080675005,0.89330446266356922) (0.96747329355706935,-0.25297317299238758) (-0.30423447700213835,0.9525971777216411) (0.094452763696859982,0.99552934433397033) (-0.95656582174613691,-0.29151642949778761) (-0.45572358986915795,0.89012134545620691) (0.84971076767436571,0.52724909795867991) (0.90255840096926765,-0.43056745445957478) (-0.82129867128501988,0.57049845972225133) (0.60059606369141361,-0.79955260507259962)
 (1,-5.5511151231257827e-17) (0.28996083458620836,0.95703851249887983) (0.39629842193424991,-0.91812175705209342) (-0.20528323591419034,0.97870260705313261) (-0.97261245776099903,-0.23243280105894881) (0.71493680825979733,-0.69918907328082014) (0.50386385724674887,0.8637830823536824) (0.97805535643661623,-0.20834519371860594) (-0.97717537276592337,-0.21243420360143916) (-0.25868587557172806,-0.96596149911872176) (-0.87862274131987073,0.47751657399042857) (0.7241469182180118,0.68964573574796773) (0.91783897929617519,0.39695290411402079) (0.96364121445554662,-0.26719956924111865) (-0.59056024337738966,-0.80699355570043985) (0.88593890549749066,0.46380195744078978) (0.13381420759427787,0.99100643683374479) (0.99780281629461154,-0.06625360212503506) (-0.90041756136547901,0.43502668330189181) (-0.28773179300928409,-0.95771102911664496) (-0.99985354870672993,0.017113770436666065) (0.19542823829973782,0.98071800415566046) (0.65562707473726456,0.75508485541126824) (0.88551965000326538,-0.4646019258011021) (-0.99887387954012108,-0.047444417716597354) (-0.63596917541810649,-0.77171446009389633) (-0.79550449207417784,-0.60594769006062288) (0.89268888672339186,0.4506734422179226) (-0.21626572288919788,-0.9763345415907464) (-0.93997248801873201,-0.34125023335944249) (-0.79761843488113682,-0.60316235984829558) (0.10406755741960461,0.99457023054820914) (-0.95889809984220697,0.28375065483449569) (0.27034129887467057,-0.9627645517585055) (-0.90484411531716147,0.42574302927458901) (-0.79863003358756257,0.6018222905907753) (-0.8469680805138734,-0.53164374405295578) (0.99998744307419662,-0.0050113564959359813) (0.52793386212006632,0.84928548629244294) (-0.21203174668834657,0.97726277857917498) (-0.89064679424530202,0.45469581909290319) (0.14709395502849287,0.98912252445997617) (-0.91118610399195943,0.41199500469296196) (-0.41189321463136541,-0.91123212176735779) (-0.81167079461348701,-0.58411516088140625) (0.30330117615436969,0.95289474578432654) (0.96747329355706957,-0.25297317299238775) (0.59359930107033887,-0.80476075312406048) (-0.95545331264479283,-0.29514228323995095) (-0.23324546443283642,-0.97241789027223835) (0.69030626324672562,-0.72351728584902764) (0.98763940213029411,0.15674313815831192) (0.94439198261299029,0.32882181067609323) (0.71891707824974549,-0.6950958456219184)
