# Created by Octave 5.1.0, Fri Sep 17 15:10:58 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2664474571133143e-13


# name: H
# type: complex matrix
# rows: 23
# columns: 23

# name: N
# type: scalar
23


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 22
 (-1.1102230246251565e-16,-1.1102230246251565e-15) (5.5511151231257827e-16,2.2204460492503131e-16) (-1.1102230246251565e-16,-7.7715611723760958e-16) (5.5511151231257827e-17,-3.3306690738754696e-16) (1.1102230246251565e-16,-1.2212453270876722e-15) (-9.1593399531575415e-16,6.6613381477509392e-16) (-2.2204460492503131e-16,-7.2164496600635175e-16) (-5.5511151231257827e-16,-1.3877787807814457e-17) (1.6653345369377348e-16,-1.1102230246251565e-16) (1.1102230246251565e-16,-2.2204460492503131e-16) (-1.1102230246251565e-15,8.8817841970012523e-16) (2.7755575615628914e-16,-3.3306690738754696e-16) (0,1.6653345369377348e-16) (5.5511151231257827e-16,-2.2204460492503131e-16) (-5.5511151231257827e-17,-9.9920072216264089e-16) (5.5511151231257827e-16,7.7715611723760958e-16) (1.6653345369377348e-16,-3.3306690738754696e-16) (5.5511151231257827e-16,1.1102230246251565e-16) (-8.8817841970012523e-16,-5.5511151231257827e-16) (5.5511151231257827e-16,3.3306690738754696e-16) (-7.7715611723760958e-16,7.7715611723760958e-16) (1.3877787807814457e-16,2.2204460492503131e-16)


# name: is_convergent
# type: scalar
1.552356918916534e-14


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 23
 1.8871853366990896 1.8871853366990905 1.8871853366990896 1.8871853366990907 1.8871853366990896 1.8871853366990894 1.8871853366990903 1.8871853366990909 1.8871853366990912 1.8871853366990896 1.8871853366990909 1.8871853366990905 1.8871853366990903 1.8871853366990901 1.8871853366990905 1.8871853366990907 1.8871853366990907 1.8871853366990905 1.8871853366990901 1.8871853366990903 1.8871853366990894 1.8871853366990907 1.8871853366990896


# name: spectrum
# type: scalar
4.7958315233127191


# name: x
# type: complex matrix
# rows: 1
# columns: 23
 (1.8719664942131229,-0.23918599372765703) (-0.064568750472606753,-1.8860804255159604) (1.8064999052190698,-0.54591811427681025) (1.5727492184912362,1.0430380581681888) (0.35688017919575604,-1.8531338410242422) (-1.0225751921791906,-1.5861300297868857) (0.85829070336126945,-1.6807157890540791) (-1.2549467580217053,1.4094598715759425) (-1.7633460204443923,-0.67236843117072875) (-0.29757517971348135,1.8635765365207153) (1.7236351852248857,-0.76847266919965007) (-0.54318282604000534,-1.807324241122011) (-1.8032232925457108,0.55664553557238261) (-0.4126570988767197,-1.8415163897719473) (0.67149089557386166,1.7636803769996061) (-0.70739180068963436,-1.7495900478023809) (-0.46408345016670327,-1.8292334586742691) (1.8258782351827028,0.47711336738573856) (0.49343174010656754,-1.8215360586349816) (1.6022906338471699,-0.99706229481296382) (0.82228684545668085,1.6986208637718294) (1.024204546809522,1.585078402271245) (-1.3921606606512986,1.2741103523584587)


# name: x0
# type: complex matrix
# rows: 1
# columns: 23
 (1.8719664942131229,-0.23918599372765703) (-0.064568750472606753,-1.8860804255159604) (1.8064999052190698,-0.54591811427681025) (1.5727492184912362,1.0430380581681888) (0.35688017919575604,-1.8531338410242422) (-1.0225751921791906,-1.5861300297868857) (0.85829070336126945,-1.6807157890540791) (-1.2549467580217053,1.4094598715759425) (-1.7633460204443923,-0.67236843117072875) (-0.29757517971348135,1.8635765365207153) (1.7236351852248857,-0.76847266919965007) (-0.54318282604000534,-1.807324241122011) (-1.8032232925457108,0.55664553557238261) (-0.4126570988767197,-1.8415163897719473) (0.67149089557386166,1.7636803769996061) (-0.70739180068963436,-1.7495900478023809) (-0.46408345016670327,-1.8292334586742691) (1.8258782351827028,0.47711336738573856) (0.49343174010656754,-1.8215360586349816) (1.6022906338471699,-0.99706229481296382) (0.82228684545668085,1.6986208637718294) (1.024204546809522,1.585078402271245) (-1.3921606606512986,1.2741103523584587)


