# Created by Octave 5.1.0, Fri Sep 17 16:13:32 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.3243125461732204e-13


# name: H
# type: complex matrix
# rows: 39
# columns: 39
 (1,0) (1,-1.6653345369377348e-16) (0.99999999999999978,-5.5511151231257815e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-4.8572257327350599e-17) (1,0) (1,-5.5511151231257827e-17) (1,-8.3266726846886741e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16) (1,5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,0) (0.99999999999999989,-5.5511151231257821e-17) (0.99999999999999989,-1.1102230246251565e-16) (0.99999999999999989,-5.5511151231257821e-17) (1,0) (1,-8.3266726846886741e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-1.1102230246251565e-16) (1,-1.1102230246251565e-16) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,-6.9388939039072296e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17)
 (1,0) (0.30307198271554847,0.95296766644669884) (0.065717844555467864,0.99783824586301695) (-0.96967438672426209,-0.2444004577142336) (0.042801328684293816,0.99908360323991841) (-0.79906838129464275,0.60124015336233105) (0.3714805404646172,-0.92844074019622613) (0.30025945501288231,0.95385756781364739) (-0.9080247426031034,-0.41891653920628191) (-0.48322859668016543,-0.87549421662882354) (-0.79833312182482441,-0.60221609626232209) (-0.16235912216873649,-0.98673173428678052) (0.9578084694885497,-0.2874072646541872) (-0.56474866122338963,-0.82526295787851101) (0.66598488976108272,0.74596523150205818) (-0.94874929619792769,0.31602970266089964) (0.16568216141274,-0.98617920348666988) (0.80171946595693921,0.59770050853727774) (0.98325075692988517,-0.18225791888641713) (0.65830473811574231,-0.75275153389040961) (-0.33217341355248875,-0.94321833279940348) (0.17755004712759087,-0.98411177249588411) (-0.56540557558695814,0.82481303038639031) (0.85115975529247068,0.52490672597182553) (0.12286961070061957,0.99242282257426873) (0.060959364325694543,0.99814024861289308) (-0.98555608756518509,0.16934933794734675) (-0.99882540855266033,0.048454135320035785) (0.92347218087342109,-0.38366538956868129) (-0.99396384946998251,-0.10970809426297112) (-0.85157994839879059,0.52422475283518755) (-0.45788683039520078,-0.88901048956164541) (-0.45537490027147454,-0.89029978108654229) (0.32687256885100857,0.94506842277834202) (0.84169226713232503,-0.53995752374575412) (0.99971150482205473,0.024018891032334094) (-0.57212118968067249,-0.8201690949544318) (0.361744610891228,0.93227723156320519) (0.86495996907630357,0.50184086311849896)
 (1,-5.5511151231257827e-17) (0.74038324905116804,0.67218497790744802) (-0.62207548797802192,0.78295727039022078) (-0.33781044804150273,-0.9412141632986617) (-0.31612172996334059,-0.94871863681756841) (-0.93687812750204491,-0.34965607989603387) (0.71047627016141346,0.70372115893834442) (0.90040916489085832,-0.43504406188402084) (-0.3879797164188814,-0.92166791180312058) (0.56283583526759939,0.82656870406435268) (0.37443774164239674,0.92725205722809889) (0.042519819574401929,0.99909562352327463) (-0.83067866355074005,-0.5567521512500484) (-0.98825373759861512,-0.15282195562931172) (-0.28007419649207133,-0.9599783562452443) (-0.99998603697358968,0.0052844922040725106) (0.62942872865739097,0.77705821888758142) (0.27765646797935267,-0.96068042854490943) (0.99766311868253599,-0.068324970696198417) (0.0095562293896123141,-0.99995433819742663) (-0.98939461849433008,0.14525250047575344) (-0.77388970860663342,0.63332039199187284) (0.96799151564130603,0.25098291903324338) (-0.5873694647507145,0.80931891852251825) (0.096152314527721161,0.9953666321566953) (-0.75842457869910307,0.65176081381522877) (-0.68666558165492675,-0.72697343759624466) (0.73551604536595971,-0.67750730402647297) (-0.56698027783519644,0.82373136673670799) (-0.68981810901547913,0.72398271835335137) (0.56727692165593657,-0.82352710590275291) (0.999844254180565,0.017648438517603504) (-0.096510135302298072,0.99533200178831405) (0.23700793570205758,-0.97150771402714553) (0.98997854355308867,0.14121785759777422) (0.4782888043319008,-0.87820260740375911) (-0.89605161566244873,-0.44394988688895415) (0.065794663393444863,-0.9978331835877895) (0.36174461089122811,0.9322772315632053)
 (1,0) (0.99806471430364541,0.062183808680259411) (0.50490078112809855,0.86317738687724854) (-0.27862840685561419,-0.96039898526242884) (-0.017264608640142731,-0.99985095553712533) (0.82727735124664648,-0.56179372025177787) (0.44650060067605751,0.8947833333248445) (0.66313608327765405,0.7484988544113963) (-0.34506039583933235,0.93858048308240694) (0.50780831097007528,0.86147009194151325) (-0.9136589040946006,-0.40648174247886393) (-0.17581420973869694,-0.98442336606460001) (0.99934893024906912,0.036079296141163952) (0.93572738688333124,0.35272405281819486) (-0.97900973039310779,0.20381351229890232) (0.97245036048526767,-0.23311005210430824) (0.86214725592929053,0.50665778301886877) (0.94605835963798834,0.32399626565606987) (-0.89237752188554176,-0.451289661341161) (-0.52308918793822268,-0.8522779484781543) (-0.041076478007195216,0.99915600531374693) (0.91994083911564961,0.39205720568202107) (-0.95959774723315738,-0.28137548490415604) (0.92324392040444603,-0.38421434569290758) (-0.76739115067735342,0.64117924316222774) (-0.21123694036175222,0.97743488531288181) (-0.48812023378216984,-0.87277639597576218) (0.90677440043651081,-0.42161616040304617) (-0.69469219799470527,-0.71930713192994666) (-0.46876585542906812,-0.88332246251516455) (-0.83669720931421665,-0.547665755662888) (-0.47742101655632341,0.87867466843555142) (-0.99638922033899524,0.084903012857318438) (-0.13340775630489404,0.99106123451464612) (-0.99923816131335919,-0.039026875036282771) (0.5105731609426758,-0.85983431387971765) (-0.25684271764483613,0.96645321583241417) (-0.89605161566244895,-0.44394988688895431) (-0.57212118968067271,-0.82016909495443191)
 (1,-5.5511151231257827e-17) (-0.95498853182052579,-0.29664272128484309) (-0.82218999306350671,-0.56921315454426213) (0.94709878214690535,0.32094220173708715) (-0.28011100507207776,0.95996761655667873) (-0.99858373204482742,0.053202726390892019) (0.923710500133895,0.38309125798220778) (-0.15805980799674491,-0.9874295403197294) (0.95038014058798104,0.3110909647932093) (-0.44130661820651301,0.89735637777146882) (0.75000599866353213,0.6614310258588707) (-0.64893780850718363,-0.7608414556856733) (0.99009867999451728,0.14037308813698823) (0.9989854980388122,0.045033040183256157) (-0.9711577186303344,-0.23843801195431263) (-0.082203537137243932,0.99661556203087953) (0.85757246599358494,0.51436316505916513) (-0.97798355807249782,-0.20868195930616001) (-0.68584052847342569,0.72775185984186408) (0.22317259363728004,-0.97477894594067327) (-0.27634473478873944,-0.96105857654699745) (-0.73703599506416462,0.67585349150520557) (0.0420727196160679,-0.99911455112219616) (0.99233744872426188,-0.1235572250393403) (-0.99581202167480687,-0.09142438125540836) (0.98907662454076273,-0.14740227537949246) (0.79501703620279018,0.60658710186364129) (-0.99871594120801332,-0.050660327446563125) (0.2181313171731204,0.97591942724198333) (-0.99880107607898871,0.048953145184489344) (-0.90871221651459311,0.41742317563491405) (-0.75637358534577581,-0.65413989282964269) (-0.59238328857993106,0.80565627870154777) (0.98179741545105303,0.18993113229176817) (-0.98515704031230467,-0.17165548614332116) (0.62266804759100425,-0.78248610371635818) (0.5105731609426758,-0.85983431387971754) (0.47828880433190091,-0.87820260740375899) (0.99971150482205484,0.024018891032334178)
 (1,0) (0.32587377444768562,0.94541328694239257) (0.20981795443808987,-0.97774046965205175) (0.67603445500794879,0.73687001271737596) (-0.25697283682118061,0.96641862623610209) (-0.37571081429501424,-0.92673695513979415) (-0.29872283958478119,0.95433991067669643) (-0.064110700656596131,0.9979427929802992) (-0.24692444607047531,0.96903473515286787) (-0.2104342905242052,-0.97760800394205738) (0.88163103213703353,-0.47193932149481777) (0.51037684299982033,-0.85995085797360349) (-0.8530108747128764,-0.52189313812462967) (-0.46471404864859245,-0.88546081392043163) (0.65015335633815496,0.75980300949800972) (0.99451289437890367,-0.10461406652116978) (0.97485544850015249,0.22283818014327395) (0.40220394611416915,0.91555010006563298) (-0.99999572656043778,-0.0029235014729891984) (0.12020367358220141,0.9927492517536054) (-0.99055351251211987,0.13712672551293881) (-0.99213352064555749,0.12518417316678176) (-0.16446776634516369,-0.98638245819430115) (0.54019555137832076,-0.8415395215146293) (0.26776817791791285,0.96348336928798106) (0.0065337934361232586,-0.99997865454385315) (-0.94204153688454717,0.33549626344297762) (-0.83686448478164555,-0.54741011509758508) (-0.93337162117687578,0.35891143306065315) (-0.13359052387300713,-0.99103661482880401) (0.81108105059329128,-0.58493378203731961) (0.80176682172301894,0.5976369831128) (-0.21454938734431589,0.97671314130105702) (-0.96188013352643886,-0.27347140385634372) (0.91976468291125368,-0.3924702894094802) (-0.98515704031230467,-0.17165548614332121) (-0.99923816131335885,-0.039026875036282715) (0.98997854355308867,0.14121785759777433) (0.84169226713232503,-0.53995752374575401)
 (1,0) (-0.25946871714819042,0.96575151297912676) (-0.98512685769161346,-0.1718286188463572) (-0.85661701055921458,0.51595280522601572) (-0.97702002157937795,0.21314754850345213) (0.18416570439086094,-0.98289520973815803) (-0.84414598066245627,-0.53611338663702457) (-0.84256079885484914,-0.53860124418077437) (0.87565629943229917,-0.48293482506911023) (0.95062488671138612,0.31034227034834216) (-0.84396976942792279,0.53639074217568139) (-0.084084172200150242,-0.99645865543203338) (0.72737626182329407,-0.68623886055510641) (-0.49629579648658551,0.8681534901097534) (0.80105642371087382,-0.59858884556224834) (-0.4429992950124701,-0.89652195991980865) (0.59078424678756625,-0.80682958160174578) (0.13464477004657915,0.9908939327188877) (0.026815302246603723,0.99964040512847585) (-0.96135286612007831,0.27531920892431605) (0.99381424486255665,0.11105515165117402) (-0.57395124922582008,0.81888946965516685) (0.86532481524048011,-0.50121149640548812) (0.81791274762341692,-0.57534227836576723) (0.52517531103843385,0.85099406148085655) (-0.97173745814771206,-0.23606421251986387) (-0.39562754924911503,0.91841104211302849) (0.98388277808370839,0.1788146498200982) (-0.72766079204334033,-0.6859371485222675) (0.9513479933914597,0.30811847635291745) (0.11515293024704171,0.99334777528090346) (-0.50555794763679096,-0.86279265271632632) (0.67291613714356857,-0.7397187792477482) (-0.89886460090722742,-0.4382264588496349) (-0.96188013352643886,-0.27347140385634383) (0.98179741545105281,0.18993113229176817) (-0.13340775630489393,0.99106123451464589) (0.23700793570205764,-0.97150771402714531) (0.32687256885100846,0.94506842277834191)
 (1,-5.5511151231257827e-17) (0.99968556702453848,0.025075228470095079) (-0.50527383725345087,0.86295906588155913) (0.68352381612720448,-0.72992821070767233) (-0.96843025820324025,0.24928464653164203) (-0.50281745209444972,-0.86439262483506052) (-0.78259199792379897,0.62253495065388642) (-0.8287903207037477,-0.55955929472021049) (0.97209928388639266,-0.23456978123271352) (-0.78048853057023793,0.62517009977150284) (-0.96215952153008355,0.27248679808203646) (0.92251741461709857,-0.38595546339983949) (-0.99908807099010866,0.042696913299024031) (-0.52043013296593976,0.85390425499645706) (-0.12319216873307276,0.99238283417380957) (0.58937716500046555,0.8078580057015059) (-0.040489685570308964,0.99917995644549351) (0.034849414957976665,-0.99939257465576925) (0.99989261512015337,0.014654631628988557) (0.85457836123347308,-0.51932246678871141) (0.9597919609051575,-0.28071229360651917) (-0.81226379778311175,-0.58329025605692775) (-0.99967346058590922,0.025553320727312478) (0.35283545487078505,-0.93568538611336982) (0.91980582874689287,-0.39237384903079553) (0.2772453018363959,0.96079916871823257) (0.39046498262082235,-0.9206177802687282) (-0.77043673873035168,-0.63751645595587647) (0.11873108959600986,-0.99292644660284135) (0.93160817958304654,-0.36346416568069329) (-0.094262465197462619,0.99554738091910933) (-0.25517939847693816,-0.96689372455971012) (0.62085219587924634,0.78392764390083736) (0.67291613714356868,-0.73971877924774843) (-0.21454938734431583,0.97671314130105713) (-0.59238328857993117,0.80565627870154788) (-0.99638922033899513,0.084903012857318494) (-0.096510135302298183,0.99533200178831416) (-0.45537490027147465,-0.89029978108654229)
 (1,0) (-0.98643827872421963,-0.16413263620498797) (-0.90808585519425777,-0.41878404887974485) (0.31589750813888406,0.94879332014493223) (-0.92557749261029854,0.37855819258501361) (0.41159223060144079,0.91136811207575719) (0.32076899440308881,-0.94715745904766591) (0.87558582723077538,-0.48306258305999894) (-0.99741650091369205,0.071835393122659824) (0.96421726534970331,-0.26511330634568087) (-0.42930031266914759,0.90316180252608769) (-0.99943101050727012,-0.033729145207318345) (0.21331698267245164,0.9769830422804282) (-0.98557710202169091,0.16922699539531383) (0.28723077666008578,-0.95786141008981263) (0.96249104787099427,0.27131344008028013) (-0.0089551833832338668,0.99995990154134307) (-0.40490275453137636,-0.91435975380202728) (0.94785253478314613,0.31870922845936678) (0.35674700858191843,0.93420103396852039) (0.91637319387929761,-0.40032507982819976) (0.93349642061713334,0.35858671572577827) (-0.12536465382431747,0.99211073150707751) (0.84138597701253826,-0.54043467476343121) (-0.65199460754927263,0.75822360272327949) (-0.99996314834840094,-0.0085849837014443653) (0.99976460759682384,0.021696299149123549) (-0.6782213805405003,-0.73485764538292542) (0.69635164282696138,-0.71770076601059363) (-0.76372366476363707,-0.64554330906609136) (-0.43586119062201528,-0.900013901286841) (-0.091451179514466741,0.99580956099317153) (-0.25517939847693799,-0.96689372455971001) (-0.50555794763679129,-0.86279265271632644) (0.80176682172301872,0.59763698311279989) (-0.75637358534577581,-0.65413989282964258) (-0.47742101655632341,0.87867466843555142) (0.99984425418056522,0.017648438517603504) (-0.45788683039520078,-0.8890104895616453)
 (1,0) (-0.98597092123141028,-0.16691717253202154) (0.83933901676521472,0.54360832861132846) (-0.91464301335938136,0.40426248665053161) (0.11116962081383108,-0.99380144667237702) (0.52921363638570473,0.84848861339644321) (-0.41870557352634463,0.90812204174217426) (-0.47696060694477038,0.87892467221194581) (0.3928414621794134,-0.91960621224127281) (-0.99494214887991494,0.10044959124962546) (0.75363138007417052,-0.65729730181060442) (-0.6862011235857931,0.72741186269512792) (0.21611483467427595,-0.97636795227706563) (0.33299752563434371,0.94292770026201089) (0.91176223359845898,-0.41071843078141795) (-0.90243431907375604,-0.43082745938239242) (0.60834405719589801,0.79367342658957296) (-0.43099435462223451,-0.90235462335146477) (0.99225515212758031,-0.12421639616521403) (0.052223970355444134,0.99863539739001583) (0.22580919385245363,0.97417154955978091) (0.97080270869695928,0.23987934631111346) (-0.12715603083152649,-0.99188272684988932) (-0.40490842586536435,-0.91435724236385418) (-0.97621984112872129,0.21678289089919908) (0.90219500140729791,-0.43132838932266765) (-0.30889633979315562,0.9510957108842365) (0.43392219611329891,-0.90095034697824083) (0.78785073017372353,-0.61586624113092203) (-0.21329733941707185,-0.97698733103229085) (-0.58554055423781515,0.8106431146582771) (-0.43586119062201528,-0.90001390128684111) (-0.094262465197462883,0.99554738091910933) (0.11515293024704172,0.99334777528090379) (0.81108105059329139,-0.58493378203731961) (-0.90871221651459311,0.41742317563491399) (-0.83669720931421665,-0.54766575566288811) (0.56727692165593679,-0.82352710590275302) (-0.85157994839879092,0.52422475283518744)
