# Created by Octave 5.1.0, Wed Jun 23 18:56:40 2021 GMT <unknown@Ola>
# name: H
# type: complex matrix
# rows: 8
# columns: 8
 (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983)
 (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662)
 (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472)
 (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508)
 (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468)
 (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666)
 (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873) (-1.2704160506964148,1.6899680311540977)
 (-1.2704160506964148,1.6899680311540977) (0.11531936282052802,2.1110780025258666) (-1.446939289025674,-1.5415302728340468) (1.8736935435264779,-0.97939848536595508) (-1.4469392890256743,-1.5415302728340472) (0.11531936282052827,2.1110780025258662) (-1.2704160506964153,1.6899680311540983) (-1.9692272316954504,-0.76947579438147873)


# name: K
# type: complex matrix
# rows: 8
# columns: 8
 (1,0) (1.0000000000000002,5.5511151231257839e-17) (1,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,6.9388939039072299e-18) (1.0000000000000002,5.5511151231257839e-17)
 (1,-5.5511151231257827e-17) (-0.85553494003394592,0.51774507856773744) (-0.4142135623730947,0.91017972112445433) (0.41421356237309492,-0.910179721124455) (0.85553494003394559,-0.5177450785677371) (-1,2.7755575615628914e-16) (-0.82561524647045514,-0.5642335197376438) (0.82561524647045481,0.56423351973764335)
 (0.99999999999999989,0) (-0.41421356237309531,0.91017972112445522) (-0.65685424949238025,-0.75401756937342124) (0.96775087020140549,0.25190921623557644) (-0.65685424949238014,-0.75401756937342124) (-0.41421356237309492,0.91017972112445444) (1.0000000000000004,1.6653345369377348e-16) (-0.82561524647045492,-0.5642335197376438)
 (1,0) (0.41421356237309481,-0.91017972112445489) (0.9677508702014056,0.25190921623557627) (0.63013819561776374,-0.77648300330631159) (-0.63013819561776341,0.77648300330631093) (-0.96775087020140549,-0.25190921623557616) (-0.41421356237309498,0.91017972112445489) (-1.0000000000000002,1.6653345369377348e-16)
 (1,1.1102230246251565e-16) (0.85553494003394626,-0.51774507856773722) (-0.65685424949238003,-0.75401756937342068) (-0.63013819561776385,0.77648300330631148) (-0.13708498984760387,0.99055928926969428) (-0.63013819561776352,0.77648300330631093) (-0.65685424949238014,-0.75401756937342135) (0.8555349400339457,-0.51774507856773699)
 (1,0) (-1.0000000000000004,5.5511151231257827e-17) (-0.4142135623730952,0.91017972112445478) (-0.96775087020140593,-0.25190921623557627) (-0.63013819561776407,0.77648300330631137) (0.63013819561776374,-0.77648300330631137) (0.9677508702014056,0.25190921623557655) (0.41421356237309515,-0.91017972112445489)
 (1,0) (-0.82561524647045503,-0.56423351973764357) (1,-1.1102230246251565e-16) (-0.41421356237309509,0.910179721124455) (-0.65685424949238014,-0.75401756937342079) (0.9677508702014056,0.25190921623557633) (-0.65685424949238036,-0.75401756937342124) (-0.41421356237309492,0.91017972112445444)
 (0.99999999999999989,0) (0.82561524647045548,0.5642335197376438) (-0.82561524647045492,-0.56423351973764335) (-1.0000000000000004,2.2204460492503131e-16) (0.85553494003394603,-0.51774507856773733) (0.4142135623730947,-0.91017972112445467) (-0.4142135623730952,0.91017972112445511) (-0.85553494003394603,0.51774507856773733)


# name: y
# type: complex matrix
# rows: 1
# columns: 8
 (-0.93141784484140067,-0.36395164281948289) (-0.60088960834286254,0.79933202024287831) (0.054544498805403102,0.99851134077188508) (-0.6843827124208034,-0.72912296832533274) (0.88623170252531847,-0.46324223624263289) (-0.68438271242080317,-0.72912296832533263) (0.054544498805403234,0.99851134077188508) (-0.60088960834286242,0.79933202024287831)


